displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-19.4,-4.90265679840767,243.62438768763045,1982305712.1711066,0.012389410701069416,8.164905365628503e-06,0.9999983670202602,printed_shape_reconstructed_peak_density
-19.2,-4.852113944815838,238.6270971335107,2130254874.621772,0.013314092966386075,9.574147012426072e-06,0.9999980851724308,printed_shape_reconstructed_peak_density
-19.0,-4.801571091224007,233.68159197373416,2287884775.1178703,0.014299279844486689,1.1214996210209225e-05,0.9999977570032734,printed_shape_reconstructed_peak_density
-18.8,-4.751028237632175,228.78787220830085,2455717323.6837444,0.015348233273023404,1.3123497905789082e-05,0.9999973753038633,printed_shape_reconstructed_peak_density
-18.6,-4.700485384040344,223.94593783721078,2634294012.527771,0.016464337578298568,1.5340972430695353e-05,0.9999969318102208,printed_shape_reconstructed_peak_density
-18.4,-4.649942530448512,219.15578886046384,2824176017.6411567,0.01765110011025723,1.7914735226213632e-05,0.9999964170593735,printed_shape_reconstructed_peak_density
-18.2,-4.599399676856681,214.41742527806022,3025944247.1882377,0.018912151544926484,2.089890707607576e-05,0.99999582022732,printed_shape_reconstructed_peak_density
-18.0,-4.54885682326485,209.73084708999977,3240199332.6413527,0.020251245829008453,2.4355325188345855e-05,0.999995128946826,printed_shape_reconstructed_peak_density
-17.8,-4.498313969673018,205.09605429628246,3467561558.567192,0.02167225974104495,2.8354566523930998e-05,0.9999943291027749,printed_shape_reconstructed_peak_density
-17.6,-4.447771116081187,200.51304689690843,3708670726.9425073,0.02317919204339067,3.297709592031022e-05,0.9999934046025657,printed_shape_reconstructed_peak_density
-17.4,-4.397228262489354,195.9818248918775,3964185951.8656235,0.024776162199160148,3.8314552813377356e-05,0.9999923371187973,printed_shape_reconstructed_peak_density
-17.2,-4.346685408897522,191.5023882811898,4234785380.539003,0.026467408628368768,4.447119172635266e-05,0.9999911058012083,printed_shape_reconstructed_peak_density
-17.0,-4.296142555305691,187.0747370648454,4521165836.427289,0.028257286477670555,5.1565493181955166e-05,0.9999896869545434,printed_shape_reconstructed_peak_density
-16.799999999999997,-4.245599701713858,182.6988712428441,4824042380.5466385,0.030150264878416492,5.9731963312836076e-05,0.9999880536786953,printed_shape_reconstructed_peak_density
-16.6,-4.195056848122028,178.37479081518617,5144147786.916617,0.03215092366822886,6.912314220715868e-05,0.9999861754671183,printed_shape_reconstructed_peak_density
-16.4,-4.144513994530196,174.10249578187134,5482231928.305056,0.0342639495519066,7.99118429438941e-05,0.9999840177591286,printed_shape_reconstructed_peak_density
-16.2,-4.093971140938364,169.88198614289976,5839061068.52174,0.03649413167826088,9.22936453601325e-05,0.9999815414412893,printed_shape_reconstructed_peak_density
-16.0,-4.043428287346533,165.7132618982714,6215417057.669203,0.038846356610432516,0.0001064896708664092,0.9999787022926261,printed_shape_reconstructed_peak_density
-15.799999999999999,-3.9928854337547004,161.59632304798615,6612096426.938295,0.041325602668364346,0.00012274966710357815,0.9999754503679265,printed_shape_reconstructed_peak_density
-15.6,-3.9423425801628693,157.53116959204425,7029909379.745187,0.04393693362340742,0.0001413554339363803,0.9999717293128362,printed_shape_reconstructed_peak_density
-15.399999999999999,-3.8917997265710373,153.51780153044544,7469678676.243628,0.04668549172652267,0.0001626246252273582,0.9999674756038842,printed_shape_reconstructed_peak_density
-15.2,-3.841256872979206,149.5562188631899,7932238408.5143,0.04957649005321438,0.00018691496405620522,0.9999626177059241,printed_shape_reconstructed_peak_density
-15.0,-3.790714019387374,145.64642159027755,8418432664.030872,0.052615204150192954,0.00021462891257359088,0.9999570751387835,printed_shape_reconstructed_peak_density
-14.799999999999999,-3.7401711657955428,141.78840971170848,8929114075.33057,0.05580696297081606,0.0002462188415388085,0.9999507574441467,printed_shape_reconstructed_peak_density
