trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,3.0666666666666664,12.223876314540856,0.061125927822233306,0.033511479278477196,0.8768679885663183,0.48073124573680354
across,0.3,1.4,12,3.0833333333333335,12.290310424945972,0.0640537048740924,0.029168098369621146,0.9100837775624554,0.41442432097748727
across,0.3,1.4,12,3.1,12.356744535351085,0.06650347814391741,0.02327476818483714,0.9438647692452766,0.3303321016455421
across,0.3,1.4,12,3.1166666666666667,12.423178645756197,0.06834447869049506,0.01613635416152275,0.9732413108195724,0.22978544539243606
across,0.3,1.4,12,3.1333333333333333,12.48961275616131,0.06947864447992663,0.008146912963239857,0.9931953937750134,0.11645990633731367
across,0.3,1.4,12,3.15,12.556046866566424,0.06984757106829631,-0.00024040682132449483,0.9999940767903902,-0.003441857657576014
across,0.3,1.4,12,3.1666666666666665,12.622480976971538,0.06943638142864927,-0.008548974926822755,0.9925058825858727,-0.12219686179455579
across,0.3,1.4,12,3.183333333333333,12.68891508737665,0.06827416096739747,-0.01631631771700339,0.9726114663811689,-0.23243694943763202
across,0.3,1.4,12,3.2,12.755349197781765,0.06643094148293821,-0.02313007533329442,0.9443923788360467,-0.3288206727023002
across,0.3,1.4,12,3.216666666666667,12.821783308186879,0.06401155687780258,-0.028658766267021817,0.9127011930840553,-0.40862762038675504
across,0.3,1.4,12,3.2333333333333334,12.88821741859199,0.06114699509712579,-0.032674445846276594,0.881977049477669,-0.4712923553322983
across,0.3,1.4,12,3.25,12.954651528997104,0.05798410093943546,-0.03506526818498217,0.855698565066698,-0.517474603959261
across,0.3,1.4,12,3.2666666666666666,13.021085639402218,0.054674617953129834,-0.03583709347000707,0.8363503766625906,-0.5481952639856923
across,0.3,1.4,12,3.283333333333333,13.087519749807331,0.051364581566428674,-0.03510448305473744,0.8256045648219933,-0.5642491493525597
across,0.3,1.4,12,3.3,13.153953860212443,0.0481849904145491,-0.03307254670931288,0.8244780983036376,-0.5658938640925674
across,0.3,1.4,12,3.3166666666666664,13.220387970617557,0.04524450222317175,-0.030012016327032084,0.8333315619189889,-0.5527734688908814
across,0.3,1.4,12,3.3333333333333335,13.286822081022672,0.042624649337014986,-0.026230516314147443,0.8516586477875454,-0.5240968876540768
