quench,g0,g1,sites,correlation_distance,scaled_time,time,phase_shift_scaled,sigma_z_correlation,spin_z_correlation,absolute_spin_z_correlation,cluster_magnetization
g0_0.8_g1_1.6,0.8,1.6,256,48,1.45,6.026637129029069,-0.06666666666666665,0.00042301485446075246,0.00010575371361518812,0.00010575371361518812,0.010283662461165678
g0_0.8_g1_1.6,0.8,1.6,256,48,1.4666666666666666,6.099247214920986,-0.06666666666666665,2.0245604888851857e-05,5.061401222212964e-06,5.061401222212964e-06,0.002249755813908026
g0_0.8_g1_1.6,0.8,1.6,256,48,1.4833333333333334,6.171857300812903,-0.06666666666666665,0.0001236108169196681,3.0902704229917026e-05,3.0902704229917026e-05,0.005559020078207761
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5,6.2444673867048195,-0.06666666666666665,0.0006891750796506454,0.00017229376991266136,0.00017229376991266136,0.013126072143358857
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5166666666666666,6.317077472596735,-0.06666666666666665,0.0016705202523761677,0.0004176300630940419,0.0004176300630940419,0.020435999194902164
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5333333333333332,6.389687558488652,-0.06666666666666665,0.00301942009796657,0.0007548550244916425,0.0007548550244916425,0.027474625101930734
g0_0.8_g1_1.6,0.8,1.6,256,48,1.55,6.462297644380569,-0.06666666666666665,0.004686513735766509,0.0011716284339416273,0.0011716284339416273,0.034229058326831416
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5666666666666667,6.534907730272485,-0.06666666666666665,0.006621975392561158,0.0016554938481402894,0.0016554938481402894,0.0406877604217815
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5833333333333333,6.6075178161644015,-0.06666666666666665,0.008776168041317587,0.002194042010329397,0.002194042010329397,0.04684060215592234
g0_0.8_g1_1.6,0.8,1.6,256,48,1.5999999999999999,6.680127902056317,-0.06666666666666665,0.011100260592299491,0.002775065148074873,0.002775065148074873,0.0526788871187962
g0_0.8_g1_1.6,0.8,1.6,256,48,1.6166666666666667,6.752737987948235,-0.06666666666666665,0.013546785041763567,0.0033866962604408917,0.0033866962604408917,0.05819532851046458
g0_0.8_g1_1.6,0.8,1.6,256,48,1.6333333333333333,6.825348073840151,-0.06666666666666665,0.016070112668807403,0.004017528167201851,0.004017528167201851,0.06338397405655352
g0_0.8_g1_1.6,0.8,1.6,256,48,1.65,6.897958159732068,-0.06666666666666665,0.018626836596295496,0.004656709149073874,0.004656709149073874,0.06824008462094602
g0_0.8_g1_1.6,0.8,1.6,256,48,1.6666666666666667,6.970568245623984,-0.06666666666666665,0.021176059890659307,0.005294014972664827,0.005294014972664827,0.0727599819451931
g0_0.8_g1_1.6,0.8,1.6,256,48,1.6833333333333333,7.043178331515901,-0.06666666666666665,0.02367960100552729,0.005919900251381822,0.005919900251381822,0.07694088803348856
