scaled_time,time,work_density,rate,mean_work_density
1.0625,2.4879552172435906,0.135,7.669521395606976e-05,0.13030270868140287
1.0625,2.4879552172435906,0.14,0.00032405525372784794,0.13030270868140287
1.0625,2.4879552172435906,0.145,0.0007380743602269178,0.13030270868140287
1.0625,2.4879552172435906,0.15,0.001314629111125995,0.13030270868140287
1.0625,2.4879552172435906,0.155,0.002049776309144588,0.13030270868140287
1.0625,2.4879552172435906,0.16,0.0029397333770686297,0.13030270868140287
1.0625,2.4879552172435906,0.165,0.003980862017592818,0.13030270868140287
1.0625,2.4879552172435906,0.17,0.005169654656920437,0.13030270868140287
1.0625,2.4879552172435906,0.17500000000000002,0.006502723259626059,0.13030270868140287
1.0625,2.4879552172435906,0.18,0.007976790157300045,0.13030270868140287
1.0625,2.4879552172435906,0.185,0.009588680578609898,0.13030270868140287
1.0625,2.4879552172435906,0.19,0.011335316606377162,0.13030270868140287
1.0625,2.4879552172435906,0.195,0.013213712320029242,0.13030270868140287
1.0625,2.4879552172435906,0.2,0.015220969910761661,0.13030270868140287
1.0625,2.4879552172435906,0.20500000000000002,0.017354276582895733,0.13030270868140287
1.0625,2.4879552172435906,0.21,0.019610902078834536,0.13030270868140287
1.0625,2.4879552172435906,0.215,0.021988196687093453,0.13030270868140287
1.0625,2.4879552172435906,0.22,0.02448358961328008,0.13030270868140287
1.0625,2.4879552172435906,0.225,0.027094587612716783,0.13030270868140287
1.0625,2.4879552172435906,0.23,0.02981877380061132,0.13030270868140287
1.0625,2.4879552172435906,0.23500000000000001,0.03265380657130354,0.13030270868140287
1.0625,2.4879552172435906,0.24,0.03559741857212577,0.13030270868140287
1.0625,2.4879552172435906,0.245,0.03864741568975086,0.13030270868140287
1.0625,2.4879552172435906,0.25,0.041801676017676426,0.13030270868140287
1.0625,2.4879552172435906,0.255,0.04505814878270113,0.13030270868140287
1.0625,2.4879552172435906,0.26,0.04841485321595476,0.13030270868140287
1.0625,2.4879552172435906,0.265,0.05186987736041712,0.13030270868140287
