chi_over_J,alpha,energy_over_J,overlap,f1_alpha
2.03,295,2.343873299659508,-0.0001305482852561269,3.4352842305169566e-09
2.03,296,2.344702077684538,1.2275568975549737e-05,3.036903899617153e-11
2.03,297,2.346680806489648,-3.7340333774595864e-05,2.8088660247275765e-10
2.03,298,2.346931621472879,-0.0030724648337061536,1.901632241322936e-06
2.03,299,2.3473775958103493,-0.005983856196670429,7.2123363488985475e-06
2.03,300,2.3478889987045974,0.0005333440225611343,5.7290657424700844e-08
2.03,301,2.347928575258998,5.776706672543929e-05,6.720879537051744e-10
2.03,302,2.360580861553086,-0.0008690126668493552,1.5170937863396614e-07
2.03,303,2.361038288433862,-0.00010308843956260612,2.1347166665558996e-09
2.03,304,2.3613041548035114,-0.0008221212517072686,1.3575907361367626e-07
2.03,305,2.3621997590507386,0.009672417448170057,1.8788368110448055e-05
2.03,306,2.3625232424484963,0.00020844561343118153,8.725218364359753e-09
2.03,307,2.363638069130041,6.36329203048687e-05,8.129377269083438e-10
2.03,308,2.363968727626392,-8.04146977747952e-05,1.2981820729124443e-09
2.03,309,2.3789690930341854,-0.0001335339513965381,3.568964898515048e-09
2.03,310,2.3801736932724658,0.000242825961388774,1.179897857892976e-08
2.03,311,2.3804978857627574,-6.563783707565068e-05,8.620541153536239e-10
2.03,312,2.3811204800021906,-9.430433423036642e-05,1.7792427883170528e-09
2.03,313,2.381329567041792,-0.002606851999218752,1.3595227878853631e-06
2.03,314,2.3839836298221444,0.03534468520525819,0.0002497879267512704
2.03,315,2.384129422304898,-0.0006310172145606271,7.96146447842601e-08
2.03,316,2.3846215092038756,-0.0014427476649978167,4.1614873537871933e-07
2.03,317,2.385911813125391,0.0006004839762719509,7.207068447331495e-08
2.03,318,2.38605625746405,7.275708714215994e-05,1.0580199819367093e-09
2.03,319,2.386641880763555,0.0019193406278839235,7.362012414628881e-07
2.03,320,2.3867204134597144,-0.0048737942041054165,4.747008300367615e-06
2.03,321,2.386815357648296,-0.00014873691537753387,4.420943022014229e-09
2.03,322,2.4128022888573843,1.3435787012817433e-05,3.588839777724699e-11
2.03,323,2.5347311914563697,-0.00018194502568160274,6.425492844889785e-09
2.03,324,2.534821027006999,-0.005766428874240238,6.454050772003077e-06
2.03,325,2.5350533008779284,-0.0082406142187521,1.3180081196452552e-05
2.03,326,2.5353012696152692,0.00017969359453685085,6.266762133993065e-09
2.03,327,2.535497261552943,0.002816547274234197,1.539556348093993e-06
2.03,328,2.5362934092409763,-0.002853167951926089,1.5796070946967259e-06
2.03,329,2.536644987938161,-0.00046494686337678347,4.1944152028760915e-08
2.03,330,2.536760627753516,-0.0019018797783459096,7.018125849490253e-07
2.03,331,2.5402653251329426,-0.04186402776473038,0.00033981444175910735
2.03,332,2.5404180542530983,0.0007463733892510287,1.0800882606155653e-07
2.03,333,2.5409462814949317,0.0005186625030077268,5.215214537455287e-08
2.03,334,2.5413002065888635,-4.087188655819379e-05,3.2383370324355044e-10
2.03,335,2.5467227394178487,0.0009079446804608032,1.5963759457202647e-07
2.03,336,2.546964363929722,5.557711077479488e-05,5.981195660112607e-10
2.03,337,2.547068471697256,0.0025257870725654305,1.235323761045774e-06
2.03,338,2.5475466342262703,2.4092614260651216e-06,1.123867126333488e-12
2.03,339,2.5479201369022664,6.329977635372834e-05,7.757469180349985e-10
2.03,340,2.5481243501703377,-0.0014210935645434287,3.909704038793484e-07
2.03,341,2.5485261318880945,-0.0039160401709272845,2.968650247440479e-06
2.03,342,2.5487589610024997,6.051176433841023e-06,7.088018060773723e-12
2.03,343,2.548828869757255,-0.00012093007668367728,2.830792024531068e-09
2.03,344,2.5895729795751135,0.0006193611636165343,7.367420586625415e-08
2.03,345,2.5897695232970137,5.3290965123087067e-05,5.454039783265177e-10
2.03,346,2.589922512640411,-0.00025336754617142737,1.2328219012096965e-08
2.03,347,2.5901512447657553,-0.0017294733861126866,5.743902513087579e-07
2.03,348,2.5902964665604067,-5.9249008815125165e-05,6.74107813848135e-10
2.03,349,2.5915631702239845,-4.3893243559606824e-05,3.698766415385839e-10
2.03,350,2.591792121435073,-0.0006389985249098874,7.838666331203219e-08
2.03,351,2.5932064739657568,-0.00039377412716688255,2.9759040117056133e-08
2.03,352,2.5936607296201695,3.963323416571559e-05,3.014433651976637e-10
2.03,353,2.5937648675050444,-0.0012828477759161956,3.1581174331825854e-07
2.03,354,2.5940737730570147,-0.001135614117894588,2.474650355432737e-07
2.03,355,2.594364751558097,-0.00030368220585728624,1.7695658238938004e-08
2.03,356,2.5944334484527567,4.731735550833466e-05,4.295989744798702e-10
2.03,357,2.6084733280044246,0.02470738348870912,0.00011681737276109409
2.03,358,2.6085363839389317,0.00045383854420121244,3.9414083932516685e-08
2.03,359,2.608743032200843,0.0010719450493313404,2.1987535544134283e-07
2.03,360,2.6091158467183,-0.0016986164199899825,5.520662068497145e-07
2.03,361,2.609775430659442,-4.743263700436188e-05,4.304277487918879e-10
