chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-0.9975,2.3647519615368505e-11
1.0,ground,0,-0.9949999999999999,1.449418172195221e-10
1.0,ground,0,-0.9924999999999999,2.6873540611615207e-11
1.0,ground,0,-0.99,1.3110654335126256e-10
1.0,ground,0,-0.9875,3.4944240276210285e-11
1.0,ground,0,-0.9849999999999999,1.0806662705116945e-10
1.0,ground,0,-0.9824999999999999,5.472721905954466e-11
1.0,ground,0,-0.98,8.338146750827482e-11
1.0,ground,0,-0.9775,9.01594702637854e-11
1.0,ground,0,-0.9750000000000001,9.324262363694162e-11
1.0,ground,0,-0.9724999999999999,1.4499239393966827e-10
1.0,ground,0,-0.97,2.7993788727867316e-10
1.0,ground,0,-0.9675,2.0949792352305476e-10
1.0,ground,0,-0.9650000000000001,1.2244714633581243e-09
1.0,ground,0,-0.9624999999999999,2.350584380962133e-10
1.0,ground,0,-0.96,5.835633832209444e-09
1.0,ground,0,-0.9575,1.4979039303269387e-10
1.0,ground,0,-0.9550000000000001,3.69727656993157e-08
1.0,ground,0,-0.9524999999999999,3.8341554833951935e-09
1.0,ground,0,-0.95,7.032218755598284e-07
1.0,ground,0,-0.9475,5.094685571672061e-06
1.0,ground,0,-0.9450000000000001,1.0349535977261568e-05
1.0,ground,0,-0.9424999999999999,8.555935214822317e-06
1.0,ground,0,-0.94,2.6532045038018046e-06
1.0,ground,0,-0.9375,1.2208014999353225e-07
1.0,ground,0,-0.935,3.426869212584939e-08
1.0,ground,0,-0.9324999999999999,1.117814648316719e-08
1.0,ground,0,-0.9299999999999999,2.850938086332053e-09
1.0,ground,0,-0.9275,1.8043375160224188e-09
1.0,ground,0,-0.925,4.476921127639449e-10
1.0,ground,0,-0.9224999999999999,1.8655683467029053e-10
1.0,ground,0,-0.9199999999999999,2.017116364833855e-10
1.0,ground,0,-0.9175,1.9259205004650946e-11
1.0,ground,0,-0.915,1.7074233489319109e-10
1.0,ground,0,-0.9124999999999999,2.1495752345344599e-10
1.0,ground,0,-0.9099999999999999,1.7480842852071375e-10
1.0,ground,0,-0.9075,4.784596467637966e-10
1.0,ground,0,-0.905,2.405744816243076e-10
1.0,ground,0,-0.9025000000000001,6.99566249483823e-10
1.0,ground,0,-0.8999999999999999,4.181871567781351e-10
1.0,ground,0,-0.8975,8.290482197895397e-10
1.0,ground,0,-0.895,7.566649847788816e-10
1.0,ground,0,-0.8925000000000001,8.500113224627265e-10
1.0,ground,0,-0.8899999999999999,1.3165100552501113e-09
1.0,ground,0,-0.8875,7.78495285124151e-10
1.0,ground,0,-0.885,2.2998137867262882e-09
1.0,ground,0,-0.8825000000000001,7.180474131250212e-10
1.0,ground,0,-0.8799999999999999,7.507769556329186e-09
1.0,ground,0,-0.8775,3.7000888648192093e-09
1.0,ground,0,-0.875,5.685048447533574e-10
1.0,ground,0,-0.8725,4.2967400956824764e-09
1.0,ground,0,-0.8699999999999999,8.876779558061094e-09
1.0,ground,0,-0.8674999999999999,3.007236641716377e-10
1.0,ground,0,-0.865,6.160882697300727e-09
1.0,ground,0,-0.8625,8.924970592316045e-10
1.0,ground,0,-0.8599999999999999,6.214240509556316e-09
1.0,ground,0,-0.8574999999999999,2.1393218175154744e-09
1.0,ground,0,-0.855,6.225852189984505e-09
1.0,ground,0,-0.8525,4.328056384491024e-09
1.0,ground,0,-0.8499999999999999,5.833726379943855e-09
1.0,ground,0,-0.8474999999999999,7.776921722717801e-09
1.0,ground,0,-0.845,4.900595490197323e-09
1.0,ground,0,-0.8425,1.2811251676491754e-08
1.0,ground,0,-0.8400000000000001,3.4314413860836477e-09
1.0,ground,0,-0.8374999999999999,1.9443306000637014e-08
1.0,ground,0,-0.835,1.9891080634641327e-09
1.0,ground,0,-0.8325,3.069707666177494e-08
1.0,ground,0,-0.8300000000000001,2.8820771616719293e-10
1.0,ground,0,-0.8274999999999999,4.069165248644176e-08
1.0,ground,0,-0.825,7.365895743185344e-10
1.0,ground,0,-0.8225,5.577039070849534e-08
1.0,ground,0,-0.8200000000000001,5.647161192150972e-09
1.0,ground,0,-0.8174999999999999,7.30352392573124e-08
1.0,ground,0,-0.815,2.0474457705961326e-08
1.0,ground,0,-0.8125,9.205927924884512e-08
1.0,ground,0,-0.81,5.586162678892186e-08
1.0,ground,0,-0.8074999999999999,1.1112152715241922e-07
1.0,ground,0,-0.8049999999999999,1.336728848311167e-07
1.0,ground,0,-0.8025,1.2650198508881244e-07
1.0,ground,0,-0.8,3.015510051011404e-07
1.0,ground,0,-0.7974999999999999,1.3097024769874991e-07
1.0,ground,0,-0.7949999999999999,6.730762999405297e-07
1.0,ground,0,-0.7925,1.1146066581635957e-07
1.0,ground,0,-0.79,1.5538886463665179e-06
1.0,ground,0,-0.7874999999999999,5.2240890232819495e-08
1.0,ground,0,-0.7849999999999999,3.924367353057188e-06
1.0,ground,0,-0.7825,5.664625690432411e-09
1.0,ground,0,-0.78,1.1896557840718389e-05
1.0,ground,0,-0.7775000000000001,9.850529553565736e-07
1.0,ground,0,-0.7749999999999999,5.301722800958591e-05
1.0,ground,0,-0.7725,2.3600006588529335e-05
