gamma_initial_prime,a_minus,role,provenance
4.380781,2.0410718185825063,curve,supplement_eq_11
4.3907805,2.034837617385493,curve,supplement_eq_11
4.40078,2.028629137529573,curve,supplement_eq_11
4.4107795,2.0224462259710756,curve,supplement_eq_11
4.4207790000000005,2.016288730821947,curve,supplement_eq_11
4.430778500000001,2.010156501339572,curve,supplement_eq_11
4.440778,2.004049387916684,curve,supplement_eq_11
4.4507775,1.9979672420713688,curve,supplement_eq_11
4.460777,1.9919099164371716,curve,supplement_eq_11
4.4707765,1.9858772647532899,curve,supplement_eq_11
4.4807760000000005,1.9798691418548626,curve,supplement_eq_11
4.4907755,1.973885403663352,curve,supplement_eq_11
4.500775,1.9679259071770145,curve,supplement_eq_11
4.5107745,1.9619905104614668,curve,supplement_eq_11
4.520774,1.9560790726403379,curve,supplement_eq_11
4.5307735000000005,1.950191453886012,curve,supplement_eq_11
4.540773000000001,1.944327515410456,curve,supplement_eq_11
4.5507725,1.9384871194561422,curve,supplement_eq_11
4.560772,1.9326701292870454,curve,supplement_eq_11
4.5707715,1.926876409179742,curve,supplement_eq_11
4.580771,1.9211058244145764,curve,supplement_eq_11
4.5907705000000005,1.9153582412669272,curve,supplement_eq_11
4.60077,1.909633526998545,curve,supplement_eq_11
4.6107695,1.9039315498489775,curve,supplement_eq_11
4.620769,1.898252179027081,curve,supplement_eq_11
4.6307685,1.8925952847026035,curve,supplement_eq_11
4.6407680000000004,1.8869607379978557,curve,supplement_eq_11
4.650767500000001,1.8813484109794572,curve,supplement_eq_11
4.660767,1.8757581766501656,curve,supplement_eq_11
4.6707665,1.8701899089407774,curve,supplement_eq_11
4.680766,1.8646434827021126,curve,supplement_eq_11
4.6907655,1.8591187736970725,curve,supplement_eq_11
4.7007650000000005,1.8536156585927737,curve,supplement_eq_11
4.7107645,1.8481340149527576,curve,supplement_eq_11
4.720764,1.8426737212292716,curve,supplement_eq_11
4.7307635,1.8372346567556306,curve,supplement_eq_11
4.740763,1.8318167017386435,curve,supplement_eq_11
4.7507625,1.8264197372511175,curve,supplement_eq_11
4.760762000000001,1.821043645224429,curve,supplement_eq_11
4.7707615,1.8156883084411735,curve,supplement_eq_11
4.780761,1.8103536105278735,curve,supplement_eq_11
4.7907605,1.8050394359477688,curve,supplement_eq_11
4.80076,1.7997456699936647,curve,supplement_eq_11
4.8107595000000005,1.7944721987808563,curve,supplement_eq_11
4.820759,1.7892189092401143,curve,supplement_eq_11
4.8307585,1.7839856891107413,curve,supplement_eq_11
4.840758,1.7787724269336922,curve,supplement_eq_11
4.8507575,1.7735790120447628,curve,supplement_eq_11
4.860757,1.7684053345678372,curve,supplement_eq_11
4.870756500000001,1.7632512854082083,curve,supplement_eq_11
4.880756,1.7581167562459532,curve,supplement_eq_11
