series_kind,branch,alpha,gamma_prime,y,z,provenance
bifurcation,lower_alpha_gt_half,0.7704599999999999,3.69740442209569,0.2582029166572264,-0.9546806058464337,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.771458,3.6838111236360693,0.2590841770485684,-0.954417173369613,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.772456,3.670317409049534,0.2599648167045103,-0.9541533924909353,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.773454,3.656922188009684,0.26084483529520636,-0.9538892658187718,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7744519999999999,3.643624386049292,0.26172423249744425,-0.9536247959477226,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.77545,3.630422944273008,0.2626030079945972,-0.9533599854586938,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.776448,3.6173168190762817,0.2634811614765759,-0.9530948369189718,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.777446,3.6043049818703463,0.2643586926397822,-0.9528293528822985,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7784439999999999,3.5913864188131197,0.26523560118706163,-0.9525635358889463,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.779442,3.578560130545874,0.2661118868276574,-0.9522973884657907,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.78044,3.5658251319355294,0.26698754927716356,-0.9520309131263853,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.781438,3.553180451822427,0.26786258825747894,-0.9517641123710336,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.782436,3.5406251327734424,0.26873700349676277,-0.9514969886868627,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.783434,3.528158230840337,0.269610794729388,-0.9512295445478947,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.784432,3.5157788153231704,0.270483961695897,-0.9509617824151186,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7854300000000001,3.503485968538695,0.271356504142957,-0.950693704736562,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.786428,3.491278785593587,0.2722284218233149,-0.9504253139473617,independent_discriminant_zero
