sample_id,rank,branch,concurrence,ensemble_average_concurrence,ensemble_average_entanglement,reconstruction_error,concurrence_gap,entanglement_gap,hjw_converse_error,phase_closure_error,component_entanglement_spread
random_rank_2_15,2,positive_concurrence,0.3232925566672046,0.32329255666720447,0.17834240721568956,3.2645195983917296e-16,1.1102230246251565e-16,4.163336342344337e-16,1.9711833153720758e-16,0.0,1.3600232051658168e-15
random_rank_2_16,2,positive_concurrence,0.09128684195178621,0.09128684195178621,0.021597201930910987,2.348100576831428e-16,0.0,9.71445146547012e-17,4.476830286076688e-16,0.0,5.238864897449957e-16
random_rank_2_17,2,positive_concurrence,0.3716993160008265,0.3716993160008265,0.2228034658655041,5.72216886040717e-16,0.0,2.7755575615628914e-16,3.1031676915590914e-16,0.0,3.3306690738754696e-16
random_rank_2_18,2,positive_concurrence,0.19613329364716858,0.19613329364716853,0.07887362991860065,3.4916669945856553e-16,5.551115123125783e-17,1.5265566588595902e-16,2.306595211858756e-16,0.0,5.412337245047638e-16
random_rank_2_19,2,positive_concurrence,0.33853935540016133,0.33853935540016145,0.19199850886613146,3.5494494082647e-16,1.1102230246251565e-16,5.551115123125783e-17,3.0719792850046133e-16,0.0,3.885780586188048e-16
random_rank_2_20,2,positive_concurrence,0.4418045531486118,0.44180455314861156,0.2925009941282512,6.413317501482357e-16,2.220446049250313e-16,3.3306690738754696e-16,4.228172738757786e-16,0.0,4.996003610813204e-16
random_rank_2_21,2,positive_concurrence,0.4976230042787181,0.4976230042787183,0.3519742971016673,3.4113018481408466e-16,2.220446049250313e-16,4.440892098500626e-16,2.710446449973855e-16,0.0,1.3877787807814457e-15
random_rank_2_22,2,positive_concurrence,0.3857408868032341,0.38574088680323404,0.23628306822494866,6.47560693746323e-16,5.551115123125783e-17,2.220446049250313e-16,2.2112791711737587e-16,0.0,2.498001805406602e-16
random_rank_2_23,2,positive_concurrence,0.39705178786761275,0.39705178786761275,0.24732173258803603,4.0808102353746853e-16,0.0,4.996003610813204e-16,2.5374444910834164e-16,0.0,1.1102230246251565e-16
random_rank_2_24,2,positive_concurrence,0.04552210833135251,0.045522108331352396,0.006404616199792599,4.507611442137103e-16,1.1102230246251565e-16,1.0495077029659683e-15,5.091110481300368e-16,0.0,2.7347915598774364e-15
random_rank_2_25,2,positive_concurrence,0.8501833826977384,0.8501833826977384,0.7896049948965131,2.0116809626885868e-16,0.0,0.0,3.7980541443560803e-16,0.0,4.440892098500626e-16
random_rank_2_26,2,positive_concurrence,0.22285841451307237,0.2228584145130722,0.09741447116849883,6.219626109180997e-16,1.6653345369377348e-16,5.551115123125783e-17,3.67892276137748e-16,0.0,6.522560269672795e-16
random_rank_2_27,2,positive_concurrence,0.46736561004264854,0.46736561004264887,0.3193249988773139,1.0084698216892683e-15,3.3306690738754696e-16,2.7755575615628914e-16,4.139887681951012e-16,0.0,9.43689570931383e-16
random_rank_2_28,2,positive_concurrence,0.5332183215816315,0.5332183215816315,0.3915592736899495,3.722674746993166e-16,0.0,1.1102230246251565e-16,5.011399652273759e-16,0.0,6.106226635438361e-16
random_rank_2_29,2,positive_concurrence,0.37412798486138577,0.37412798486138577,0.22511689425901565,2.2319359694621864e-16,0.0,6.661338147750939e-16,1.9242142079520307e-16,0.0,6.661338147750939e-16
random_rank_2_30,2,positive_concurrence,0.6045650949046982,0.6045650949046983,0.47443096740773016,4.622834643961091e-16,1.1102230246251565e-16,2.220446049250313e-16,2.3013707539344676e-16,0.0,5.551115123125783e-17
random_rank_2_31,2,positive_concurrence,0.1221089378167654,0.12210893781676521,0.03555352583505848,9.10394589831334e-16,1.942890293094024e-16,4.787836793695988e-16,2.92242990056151e-16,0.0,1.0269562977782698e-15
random_rank_3_0,3,positive_concurrence,0.4686845881024402,0.46868458810244035,0.32072832187250433,3.5666184660932957e-16,1.6653345369377348e-16,4.440892098500626e-16,4.043543303612093e-16,0.0,6.106226635438361e-16
random_rank_3_1,3,positive_concurrence,0.1275665034324565,0.1275665034324565,0.03829758489718054,7.251810701716361e-16,0.0,7.91033905045424e-16,4.544992577004131e-16,0.0,9.992007221626409e-16
