k_over_pi,rho_band0,rho_band1,rho_band2
1.805555555555555525e-01,1.266977396095784192e-01,2.482375999881968887e-01,6.250646604022229713e-01
1.833333333333333759e-01,1.352010966567989414e-01,2.458122607317227426e-01,6.189866426114801756e-01
1.861111111111111160e-01,1.440224889665609465e-01,2.434129875465535775e-01,6.125645234868876132e-01
1.888888888888889395e-01,1.531629689162001262e-01,2.410295505833970620e-01,6.058074805004054486e-01
1.916666666666666796e-01,1.626234286659561934e-01,2.386520014686034086e-01,5.987245698654413140e-01
1.944444444444445030e-01,1.724046129607840760e-01,2.362707360021695790e-01,5.913246510370478992e-01
1.972222222222222432e-01,1.825071275645332725e-01,2.338765591791731879e-01,5.836163132562913747e-01
2.000000000000000666e-01,1.929314428693716943e-01,2.314607524194804700e-01,5.756078047111505835e-01
2.027777777777778068e-01,2.036778923972341337e-01,2.290151427139222873e-01,5.673069648888371397e-01
2.055555555555555747e-01,2.147466661063791304e-01,2.265321732024758172e-01,5.587211606911525186e-01
2.083333333333333703e-01,2.261377986260854900e-01,2.240049744950193544e-01,5.498572268788990414e-01
2.111111111111111382e-01,2.378511527579362517e-01,2.214274358328394698e-01,5.407214114092273594e-01
