series,t1,E,root_index,beta_real,beta_imag,abs_beta
transition,1.2018504251546631,0.9560120240480963,1,-0.29061575476862456,-0.4494042038405968,0.5351837584879964
transition,1.2018504251546631,0.9607214428857715,1,-0.2882002829660138,-0.4509570403571138,0.5351837584879964
transition,1.2018504251546631,0.9654308617234469,1,-0.28577294152309546,-0.452499150543485,0.5351837584879964
transition,1.2018504251546631,0.9701402805611223,1,-0.28333373043986937,-0.45403045332264386,0.5351837584879964
transition,1.2018504251546631,0.9748496993987976,1,-0.2808826497163357,-0.45555086701450614,0.5351837584879964
transition,1.2018504251546631,0.979559118236473,1,-0.27841969935249433,-0.45706030932668473,0.5351837584879964
transition,1.2018504251546631,0.9842685370741483,1,-0.27594487934834533,-0.45855869734502386,0.5351837584879964
transition,1.2018504251546631,0.9889779559118237,1,-0.2734581897038886,-0.4600459475239513,0.5351837584879964
transition,1.2018504251546631,0.9936873747494991,1,-0.2709596304191242,-0.4615219756766406,0.5351837584879964
transition,1.2018504251546631,0.9983967935871744,1,-0.2684492014940522,-0.4629866969649817,0.5351837584879964
transition,1.2018504251546631,1.0031062124248498,1,-0.26592690292867244,-0.4644400258893525,0.5351837584879964
transition,1.2018504251546631,1.007815631262525,1,-0.2633927347229851,-0.46588187627818844,0.5351837584879964
transition,1.2018504251546631,1.0125250501002006,1,-0.2608466968769899,-0.4673121612773433,0.5351837584879964
transition,1.2018504251546631,1.0172344689378758,1,-0.2582887893906872,-0.46873079333923773,0.5351837584879964
transition,1.2018504251546631,1.0219438877755511,1,-0.25571901226407684,-0.4701376842117881,0.5351837584879964
transition,1.2018504251546631,1.0266533066132264,1,-0.2531373654971588,-0.47153274492711095,0.5351837584879964
transition,1.2018504251546631,1.031362725450902,1,-0.250543849089933,-0.4729158857899985,0.5351837584879964
transition,1.2018504251546631,1.0360721442885772,1,-0.24793846304239964,-0.4742870163661564,0.5351837584879964
transition,1.2018504251546631,1.0407815631262525,1,-0.24532120735455862,-0.4756460454702001,0.5351837584879964
transition,1.2018504251546631,1.045490981963928,1,-0.24269208202640974,-0.476992881153403,0.5351837584879964
transition,1.2018504251546631,1.0502004008016033,1,-0.2400510870579534,-0.4783274306911876,0.5351837584879964
transition,1.2018504251546631,1.0549098196392785,1,-0.23739822244918932,-0.47964960057035727,0.5351837584879964
transition,1.2018504251546631,1.059619238476954,1,-0.2347334882001175,-0.4809592964760566,0.5351837584879964
transition,1.2018504251546631,1.0643286573146293,1,-0.2320568843107381,-0.48225642327845747,0.5351837584879964
transition,1.2018504251546631,1.0690380761523046,1,-0.22936841078105108,-0.48354088501916054,0.5351837584879964
transition,1.2018504251546631,1.07374749498998,1,-0.22666806761105632,-0.4848125848973061,0.5351837584879964
transition,1.2018504251546631,1.0784569138276554,1,-0.2239558548007538,-0.48607142525538544,0.5351837584879964
transition,1.2018504251546631,1.0831663326653307,1,-0.2212317723501437,-0.48731730756474495,0.5351837584879964
transition,1.2018504251546631,1.087875751503006,1,-0.218495820259226,-0.4885501324107753,0.5351837584879964
transition,1.2018504251546631,1.0925851703406815,1,-0.21574799852800045,-0.489769799477775,0.5351837584879964
transition,1.2018504251546631,1.0972945891783568,1,-0.21298830715646744,-0.49097620753348153,0.5351837584879964
transition,1.2018504251546631,1.102004008016032,1,-0.21021674614462665,-0.49216925441325937,0.5351837584879964
transition,1.2018504251546631,1.1067134268537075,1,-0.2074333154924781,-0.49334883700393584,0.5351837584879964
transition,1.2018504251546631,1.1114228456913828,1,-0.20463801520002203,-0.4945148512272747,0.5351837584879964
transition,1.2018504251546631,1.1161322645290581,1,-0.20183084526725834,-0.4956671920230772,0.5351837584879964
transition,1.2018504251546631,1.1208416833667336,1,-0.19901180569418675,-0.49680575333190063,0.5351837584879964
transition,1.2018504251546631,1.125551102204409,1,-0.1961808964808077,-0.49793042807738175,0.5351837584879964
transition,1.2018504251546631,1.1302605210420842,1,-0.19333811762712094,-0.4990411081481561,0.5351837584879965
transition,1.2018504251546631,1.1349699398797595,1,-0.1904834691331265,-0.5001376843793589,0.5351837584879963
transition,1.2018504251546631,1.139679358717435,1,-0.18761695099882425,-0.5012200465336984,0.5351837584879964
transition,1.2018504251546631,1.1443887775551103,1,-0.18473856322421447,-0.5022880832820852,0.5351837584879964
transition,1.2018504251546631,1.1490981963927855,1,-0.1818483058092971,-0.5033416821838088,0.5351837584879964
transition,1.2018504251546631,1.153807615230461,1,-0.17894617875407184,-0.504380729666245,0.5351837584879963
transition,1.2018504251546631,1.1585170340681363,1,-0.1760321820585391,-0.5054051110040809,0.5351837584879964
transition,1.2018504251546631,1.1632264529058116,1,-0.17310631572269866,-0.5064147102980436,0.5351837584879964
transition,1.2018504251546631,1.1679358717434871,1,-0.17016857974655042,-0.5074094104531172,0.5351837584879964
transition,1.2018504251546631,1.1726452905811624,1,-0.1672189741300946,-0.5083890931562328,0.5351837584879964
transition,1.2018504251546631,1.1773547094188377,1,-0.16425749887333116,-0.5093536388534156,0.5351837584879964
transition,1.2018504251546631,1.182064128256513,1,-0.16128415397626003,-0.5103029267263711,0.5351837584879964
transition,1.2018504251546631,1.1867735470941885,1,-0.1582989394388811,-0.5112368346684963,0.5351837584879964
transition,1.2018504251546631,1.1914829659318638,1,-0.15530185526119467,-0.512155239260294,0.5351837584879964
transition,1.2018504251546631,1.196192384769539,1,-0.15229290144320054,-0.5130580157441745,0.5351837584879964
transition,1.2018504251546631,1.2009018036072145,1,-0.1492720779848986,-0.5139450379986252,0.5351837584879963
transition,1.2018504251546631,1.2056112224448898,1,-0.14623938488628918,-0.5148161785117265,0.5351837584879964
transition,1.2018504251546631,1.2103206412825651,1,-0.14319482214737206,-0.5156713083539946,0.5351837584879964
transition,1.2018504251546631,1.2150300601202406,1,-0.14013838976814708,-0.5165102971505301,0.5351837584879964
transition,1.2018504251546631,1.219739478957916,1,-0.13707008774861465,-0.5173330130524487,0.5351837584879964
transition,1.2018504251546631,1.2244488977955912,1,-0.13398991608877447,-0.5181393227075718,0.5351837584879964
transition,1.2018504251546631,1.2291583166332667,1,-0.13089787478862655,-0.518929091230352,0.5351837584879964
transition,1.2018504251546631,1.233867735470942,1,-0.12779396384817104,-0.5197021821710107,0.5351837584879964
transition,1.2018504251546631,1.2385771543086173,1,-0.12467818326740794,-0.5204584574838579,0.5351837584879964
transition,1.2018504251546631,1.2432865731462925,1,-0.12155053304633713,-0.5211977774947715,0.5351837584879964
