curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,4.27046577981008,-0.19126372699954564,-0.40425015366013567,0.4472135954999579
C_beta,1.0,4.287967688743729,-0.18415964592423326,-0.40753555036715644,0.44721359549995804
C_beta,1.0,4.3054695976773765,-0.17699915509244696,-0.4106961152684061,0.4472135954999579
C_beta,1.0,4.322971506611024,-0.16978444782695276,-0.41373088025441945,0.4472135954999579
C_beta,1.0,4.340473415544672,-0.1625177340574985,-0.4166389157493767,0.44721359549995804
C_beta,1.0,4.3579753244783195,-0.15520123964389207,-0.4194193309958415,0.44721359549995804
C_beta,1.0,4.375477233411968,-0.14783720569420025,-0.4220712743276078,0.447213595499958
C_beta,1.0,4.392979142345616,-0.14042788787827853,-0.4245939334305728,0.447213595499958
C_beta,1.0,4.410481051279263,-0.13297555573683686,-0.42698653559155636,0.4472135954999579
C_beta,1.0,4.427982960212911,-0.12548249198626066,-0.42924834793498984,0.44721359549995804
C_beta,1.0,4.44548486914656,-0.11795099181939313,-0.4313786776474024,0.447213595499958
C_beta,1.0,4.462986778080207,-0.11038336220249882,-0.4333768721896359,0.447213595499958
C_beta,1.0,4.480488687013855,-0.1027819211686168,-0.4352423194967239,0.4472135954999579
C_beta,1.0,4.497990595947503,-0.09514899710752767,-0.4369744481653724,0.447213595499958
C_beta,1.0,4.51549250488115,-0.08748692805254656,-0.4385727276289858,0.4472135954999579
C_beta,1.0,4.532994413814799,-0.07979806096436208,-0.4400366683201844,0.4472135954999579
C_beta,1.0,4.5504963227484465,-0.07208475101214265,-0.44136582182076295,0.44721359549995804
C_beta,1.0,4.567998231682094,-0.06434936085212471,-0.44255978099904547,0.447213595499958
C_beta,1.0,4.585500140615742,-0.05659425990391142,-0.44361818013459337,0.4472135954999579
C_beta,1.0,4.60300204954939,-0.04882182362469727,-0.4445406950302289,0.447213595499958
C_beta,1.0,4.620503958483038,-0.041034432781645834,-0.44532704311133925,0.447213595499958
C_beta,1.0,4.638005867416686,-0.03323447272263692,-0.4459769835124323,0.4472135954999579
C_beta,1.0,4.655507776350333,-0.025424332645614674,-0.4464903171509155,0.4472135954999579
C_beta,1.0,4.673009685283981,-0.017606404866754376,-0.4468668867880769,0.4472135954999579
C_beta,1.0,4.69051159421763,-0.009783084087674017,-0.4471065770772485,0.44721359549995804
C_beta,1.0,4.708013503151277,-0.00195676666191729,-0.4472093145991381,0.44721359549995804
C_beta,1.0,4.725515412084925,0.005870150139073472,-0.4471750678843184,0.4472135954999579
C_beta,1.0,4.743017321018573,0.013695268860261513,-0.44700384742286636,0.447213595499958
C_beta,1.0,4.760519229952221,0.02151619259737849,-0.44669570566114974,0.4472135954999579
C_beta,1.0,4.778021138885869,0.029330525731116247,-0.4462507369857627,0.4472135954999579
C_beta,1.0,4.7955230478195165,0.03713587466092891,-0.44566907769461395,0.44721359549995804
C_beta,1.0,4.813024956753164,0.04492984853821272,-0.4449509059551776,0.447213595499958
C_beta,1.0,4.830526865686813,0.05271005999864524,-0.444096441749919,0.4472135954999579
C_beta,1.0,4.8480287746204604,0.06047412589345495,-0.4431059468089123,0.44721359549995804
C_beta,1.0,4.865530683554108,0.06821966801940355,-0.4419797245296694,0.44721359549995804
C_beta,1.0,4.883032592487756,0.07594431384724937,-0.4407181198842073,0.4472135954999579
C_beta,1.0,4.9005345014214035,0.08364569724847491,-0.43932151931338004,0.44721359549995804
C_beta,1.0,4.918036410355052,0.0913214592200536,-0.43779035060850774,0.44721359549995804
C_beta,1.0,4.9355383192887,0.0989692486070321,-0.43612508278034123,0.4472135954999579
C_beta,1.0,4.953040228222347,0.10658672282271264,-0.4343262259153991,0.44721359549995804
C_beta,1.0,4.970542137155995,0.11417154856620673,-0.43239433101972363,0.447213595499958
C_beta,1.0,4.988044046089644,0.12172140253714704,-0.4303299898501031,0.447213595499958
C_beta,1.0,5.005545955023291,0.12923397214733373,-0.4281338347328113,0.4472135954999579
C_beta,1.0,5.023047863956939,0.1367069562291032,-0.42580653836991994,0.447213595499958
C_beta,1.0,5.040549772890587,0.144138065740195,-0.4233488136332441,0.447213595499958
C_beta,1.0,5.058051681824234,0.15152502446490648,-0.4207614133459835,0.44721359549995804
C_beta,1.0,5.075553590757883,0.15886556971131838,-0.4180451300521252,0.4472135954999579
C_beta,1.0,5.0930554996915305,0.16615745300437637,-0.41520079577368163,0.4472135954999579
C_beta,1.0,5.110557408625178,0.17339844077462138,-0.41222928175583323,0.4472135954999579
C_beta,1.0,5.128059317558826,0.1805863150423505,-0.4091314982000591,0.447213595499958
C_beta,1.0,5.145561226492474,0.1877188740970049,-0.4059083939853336,0.4472135954999579
C_beta,1.0,5.163063135426122,0.19479393317157215,-0.40256095637747724,0.447213595499958
C_beta,1.0,5.18056504435977,0.20180932511180202,-0.3990902107267466,0.447213595499958
C_beta,1.0,5.198066953293417,0.2087629010400241,-0.3954972201537618,0.447213595499958
C_beta,1.0,5.215568862227066,0.21565253101336898,-0.39178308522386207,0.447213595499958
C_beta,1.0,5.233070771160714,0.2224761046761875,-0.3879489436099937,0.4472135954999579
C_beta,1.0,5.250572680094361,0.22923153190647377,-0.38399596974422967,0.44721359549995804
C_beta,1.0,5.268074589028009,0.235916743456087,-0.3799253744580307,0.4472135954999579
C_beta,1.0,5.285576497961657,0.24252969158458118,-0.3757384046113572,0.44721359549995804
C_beta,1.0,5.303078406895305,0.24906835068644656,-0.3714363427107441,0.44721359549995804
C_beta,1.0,5.320580315828953,0.25553071791156967,-0.3670205065164586,0.447213595499958
C_beta,1.0,5.3380822247626005,0.2619148137787265,-0.36249224863885726,0.44721359549995804
C_beta,1.0,5.355584133696248,0.2682186827819135,-0.3578529561240696,0.447213595499958
C_beta,1.0,5.373086042629897,0.27444039398933817,-0.3531040500291336,0.447213595499958
