register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
6,1,3,0;1;2;4;5,1,0.007897222710368409,-0.001474006457516512
6,1,4,0;1;2;3;5,1,0.008040388616951291,-0.001439814919213972
6,1,5,0;1;2;3;4,1,0.008561892715295198,-0.001576218478580756
6,1,0;1,2;3;4;5,2,0.012668351485344141,-0.0025306273801075597
6,1,0;2,1;3;4;5,2,0.013815559715134039,-0.002336321981262027
6,1,0;3,1;2;4;5,2,0.013219908394587298,-0.002374286805498195
6,1,0;4,1;2;3;5,2,0.012964790592740942,-0.0023925575767484134
6,1,0;5,1;2;3;4,2,0.013040012354082042,-0.00228385678302325
6,1,1;2,0;3;4;5,2,0.012658643058027852,-0.0022463957787122787
6,1,1;3,0;2;4;5,2,0.012835155446310675,-0.0025191577437582682
6,1,1;4,0;2;3;5,2,0.012717201395659477,-0.0024962829587885306
6,1,1;5,0;2;3;4,2,0.013100386630179393,-0.002395672854332854
6,1,2;3,0;1;4;5,2,0.013027131748769469,-0.0026715063089162703
6,1,2;4,0;1;3;5,2,0.012301733744344272,-0.002595636326916228
6,1,2;5,0;1;3;4,2,0.012964587726392147,-0.002481380587314117
6,1,3;4,0;1;2;5,2,0.012161597581546993,-0.0021630733222528682
6,1,3;5,0;1;2;4,2,0.012452203239099362,-0.002681383737993992
6,1,4;5,0;1;2;3,2,0.013528632947133742,-0.0028011270998553966
6,1,0;1;2,3;4;5,3,0.013219242311046242,-0.002562846473548119
6,1,0;1;3,2;4;5,3,0.013883679959574919,-0.0028375060774496826
6,1,0;1;4,2;3;5,3,0.013988732141598882,-0.0027232299954211606
6,1,0;1;5,2;3;4,3,0.01351847714021893,-0.0023760177264471587
6,1,0;2;3,1;4;5,3,0.013239904663624532,-0.002876957121418782
6,1,0;2;4,1;3;5,3,0.013517880637661725,-0.0028869749732936957
6,1,0;2;5,1;3;4,3,0.013600480820428732,-0.0024342789647062543
6,1,0;3;4,1;2;5,3,0.012971641635400285,-0.0026096216994667214
6,1,0;3;5,1;2;4,3,0.013390814517791512,-0.002575693759054123
6,1,0;4;5,1;2;3,3,0.01347077725553122,-0.0026637471901929622
6,1,1;2;3,0;4;5,3,0.013470777255531174,-0.002663747190192961
6,1,1;2;4,0;3;5,3,0.013390814517791458,-0.0025756937590540835
6,1,1;2;5,0;3;4,3,0.01297164163540031,-0.002609621699466705
6,1,1;3;4,0;2;5,3,0.013600480820428754,-0.0024342789647062444
6,1,1;3;5,0;2;4,3,0.013517880637661756,-0.002886974973293711
6,1,1;4;5,0;2;3,3,0.013239904663624489,-0.002876957121418797
6,1,2;3;4,0;1;5,3,0.013518477140218858,-0.0023760177264471488
6,1,2;3;5,0;1;4,3,0.013988732141598861,-0.002723229995421176
6,1,2;4;5,0;1;3,3,0.013883679959574935,-0.0028375060774496865
6,1,3;4;5,0;1;2,3,0.013219242311046294,-0.0025628464735481292
6,1,0;1;2;3,4;5,4,0.01352863294713373,-0.00280112709985538
6,1,0;1;2;4,3;5,4,0.012452203239099487,-0.002681383737993958
6,1,0;1;2;5,3;4,4,0.012161597581547005,-0.0021630733222528574
6,1,0;1;3;4,2;5,4,0.012964587726392106,-0.0024813805873140885
6,1,0;1;3;5,2;4,4,0.012301733744344137,-0.0025956363269162234
6,1,0;1;4;5,2;3,4,0.013027131748769214,-0.00267150630891625
6,1,0;2;3;4,1;5,4,0.013100386630179489,-0.0023956728543328954
6,1,0;2;3;5,1;4,4,0.012717201395659456,-0.0024962829587885735
6,1,0;2;4;5,1;3,4,0.012835155446310758,-0.002519157743758288
6,1,0;3;4;5,1;2,4,0.012658643058027885,-0.002246395778712301
6,1,1;2;3;4,0;5,4,0.013040012354082023,-0.002283856783023259
