beta_eps,fermion,boson,ex2,ex3,ex4
-1.94000,0.87435214,nan,1.74870429,0.93296465,1.67459316
-1.92000,0.87213843,nan,1.74427687,0.93170293,1.66960699
-1.90000,0.86989153,nan,1.73978305,0.93041924,1.66456717
-1.88000,0.86761113,nan,1.73522225,0.92911326,1.65947374
-1.86000,0.86529695,nan,1.73059390,0.92778466,1.65432678
-1.84000,0.86294871,nan,1.72589741,0.92643314,1.64912638
-1.82000,0.86056613,nan,1.72113225,0.92505836,1.64387264
-1.80000,0.85814894,nan,1.71629787,0.92366001,1.63856569
-1.78000,0.85569687,nan,1.71139373,0.92223777,1.63320566
-1.76000,0.85320966,nan,1.70641932,0.92079129,1.62779272
-1.74000,0.85068707,nan,1.70137413,0.91932027,1.62232703
-1.72000,0.84812884,nan,1.69625767,0.91782436,1.61680880
-1.70000,0.84553473,nan,1.69106947,0.91630325,1.61123824
-1.68000,0.84290453,nan,1.68580906,0.91475659,1.60561558
-1.66000,0.84023800,nan,1.68047601,0.91318406,1.59994106
-1.64000,0.83753494,nan,1.67506987,0.91158532,1.59421495
-1.62000,0.83479513,nan,1.66959026,0.90996005,1.58843753
-1.60000,0.83201839,nan,1.66403677,0.90830790,1.58260911
-1.58000,0.82920452,nan,1.65840904,0.90662855,1.57673000
-1.56000,0.82635335,nan,1.65270671,0.90492166,1.57080054
-1.54000,0.82346473,nan,1.64692945,0.90318690,1.56482109
-1.52000,0.82053848,nan,1.64107696,0.90142394,1.55879200
-1.50000,0.81757448,nan,1.63514895,0.89963244,1.55271367
-1.48000,0.81457258,nan,1.62914516,0.89781207,1.54658650
-1.46000,0.81153267,nan,1.62306535,0.89596250,1.54041091
-1.44000,0.80845465,nan,1.61690930,0.89408341,1.53418733
-1.42000,0.80533842,nan,1.61067683,0.89217446,1.52791622
-1.40000,0.80218389,nan,1.60436778,0.89023533,1.52159804
-1.38000,0.79899100,nan,1.59798200,0.88826570,1.51523328
-1.36000,0.79575970,nan,1.59151940,0.88626524,1.50882242
-1.34000,0.79248994,nan,1.58497988,0.88423363,1.50236598
-1.32000,0.78918171,nan,1.57836341,0.88217055,1.49586448
-1.30000,0.78583498,nan,1.57166997,0.88007570,1.48931847
-1.28000,0.78244978,nan,1.56489955,0.87794875,1.48272848
-1.26000,0.77902611,nan,1.55805222,0.87578940,1.47609510
-1.24000,0.77556401,nan,1.55112803,0.87359736,1.46941888
-1.22000,0.77206355,nan,1.54412710,0.87137230,1.46270042
-1.20000,0.76852478,nan,1.53704957,0.86911395,1.45594032
-1.18000,0.76494780,nan,1.52989561,0.86682201,1.44913919
-1.16000,0.76133271,nan,1.52266543,0.86449619,1.44229764
-1.14000,0.75767964,nan,1.51535928,0.86213622,1.43541632
-1.12000,0.75398872,nan,1.50797743,0.85974181,1.42849585
-1.10000,0.75026011,nan,1.50052021,0.85731270,1.42153689
-1.08000,0.74649398,nan,1.49298797,0.85484862,1.41454010
-1.06000,0.74269055,nan,1.48538109,0.85234931,1.40750614
-1.04000,0.73885001,nan,1.47770001,0.84981454,1.40043568
-1.02000,0.73497260,nan,1.46994520,0.84724404,1.39332940
-1.00000,0.73105858,nan,1.46211716,0.84463760,1.38618799
