measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
170,0.0009765624999995689,-0.05920095533682632,0.05920900934071867,-7778.560000000001,0.2528483072916667,0.001953125
171,0.015624999999999847,0.04059494080239604,0.04349815908460994,-7870.848000000003,0.24711100260416666,0.0029296875
172,-0.01367187500000036,-0.033829117335329076,0.0364873861177133,-7974.560000000003,0.24267578125,0.001708984375
173,-0.025390625000000198,0.05412658773652796,0.05978604634771138,-7936.928000000002,0.24466959635416666,0.001708984375
174,-0.001953125000000321,-0.010148735200598342,0.01033496605884558,-7886.720000000002,0.24796549479166666,0.0009765625
175,-0.01953125000000018,0.016914558667665353,0.025837415147115628,-7791.4400000000005,0.2514241536458333,0.0028076171875
176,0.05664062499999975,-0.02706329386826325,0.06277405734370348,-7976.384000000002,0.241943359375,0.00244140625
177,0.08300781249999975,-0.049052220136227544,0.09641793005622991,-7962.432000000002,0.2435302734375,0.00146484375
178,0.02148437499999975,-0.013531646934131374,0.02539062499999953,-7954.448000000002,0.24405924479166666,0.0013427734375
179,0.024414062499999667,-0.04228639666916159,0.048828124999999445,-7962.528000000002,0.24161783854166666,0.003662109375
180,0.056640624999999674,-0.03721202906886212,0.06777090458163021,-7920.192000000001,0.24576822916666666,0.00146484375
181,-0.004882812500000297,-0.011840191067364843,0.01280749711777697,-7808.016000000002,0.2501220703125,0.0032958984375
182,0.04785156249999981,0.018606014534431756,0.051341560265995755,-7782.224000000002,0.2519124348958333,0.0028076171875
183,-0.05175781250000014,0.05243513186976153,0.0736770941947662,-7934.336000000001,0.24544270833333334,0.0009765625
184,-0.022460937500000305,0.0050743676003000455,0.023027004145609018,-7946.8960000000025,0.24361165364583334,0.0023193359375
185,0.05371093749999983,0.01860601453443176,0.05684231332365331,-7797.728000000001,0.2507731119791667,0.003173828125
186,0.10058593749999967,-0.03890348493562863,0.10784716947092549,-7804.9760000000015,0.2513427734375,0.0020751953125
187,0.02441406249999979,0.015223102800898855,0.028771327856750555,-7815.856000000002,0.24991861979166666,0.0030517578125
188,0.05957031249999975,-0.028754749735029735,0.06614724305420308,-7969.312000000002,0.24210611979166666,0.002685546875
189,0.04492187499999971,-0.03721202906886209,0.05833275204323413,-7916.928000000002,0.24466959635416666,0.0029296875
190,0.05078124999999966,-0.05412658773652697,0.07421874999999944,-7849.968000000001,0.24853515625,0.0025634765625
191,0.06835937499999975,-0.010148735200598443,0.06910861723810177,-7897.280000000002,0.24613444010416666,0.00244140625
192,0.041992187499999716,-0.0016914558667659486,0.04202623982685519,-7990.832000000002,0.24149576822916666,0.0020751953125
193,0.03906249999999977,0.010148735200599349,0.04035933265580424,-8066.688000000002,0.23673502604166666,0.0029296875
194,0.07714843749999989,0.045669308402695424,0.08965247982444154,-8042.016000000001,0.23994954427083334,0.000732421875
195,0.033203124999999716,-0.023680382134730244,0.04078244730043132,-8166.832000000002,0.2313232421875,0.0030517578125
196,0.0039062499999997606,-0.013531646934131383,0.014084184669780689,-8118.944000000003,0.23502604166666666,0.001708984375
197,0.08007812499999976,0.006765823467066362,0.08036343988844115,-8159.1680000000015,0.23225911458333334,0.00244140625
198,0.06835937499999975,0.003382911733533372,0.06844302917162177,-8032.080000000002,0.23697916666666666,0.0047607421875
199,0.08300781249999974,-0.0152231028008979,0.08439217851745397,-8046.144000000001,0.23909505208333334,0.00146484375
