particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
600,1.25,1,midpoint_nearest,8,-300.48350285179407,-299.7740847693908,-0.12879381059246953,0.7094180824032605
700,1.25,1,midpoint_nearest,10,-350.0862562356258,-349.35625723087344,0.2787432667503822,0.7299990047523579
800,1.25,1,midpoint_nearest,11,-400.3731889466921,-399.6869178941428,-0.03005342041745962,0.686271052549273
900,1.25,1,midpoint_nearest,12,-450.645719685855,-449.98865906595563,-0.3171893759052864,0.6570606198993687
1000,1.25,1,midpoint_nearest,14,-500.26905428371794,-499.5974405030475,0.06675260661728544,0.671613780670441
1100,1.25,1,midpoint_nearest,15,-550.5357637607452,-549.8925233092159,-0.21414353498062155,0.6432404515293229
1200,1.25,1,midpoint_nearest,17,-600.1686447965467,-599.506787242433,0.1622839805102103,0.6618575541136806
1300,1.25,1,midpoint_nearest,18,-650.4313712571245,-649.7973304376584,-0.11435084739150625,0.6340408194661222
1400,1.25,1,midpoint_nearest,20,-700.0706234231883,-699.4154467291066,0.2569649238525926,0.6551766940816606
600,1.25,1,straddling,8,-300.48350285179407,-299.7740847693908,-0.12879381059246953,0.7094180824032605
700,1.25,1,straddling,10,-350.0862562356258,-349.35625723087344,0.2787432667503822,0.7299990047523579
