panel,kind,depth,L,p,scaled_x,I3,standard_error
b,scan,7,8,0.7375000000000002,,-0.125,0.35355339059327373
e,collapse,7,8,0.7375000000000002,0.26400723097870615,-0.125,0.35355339059327373
b,scan,7,8,0.7550000000000001,,-0.08333333333333333,0.35355339059327373
e,collapse,7,8,0.7550000000000001,0.38824592790986157,-0.08333333333333333,0.35355339059327373
b,scan,7,8,0.7725000000000002,,0.0,0.35355339059327373
e,collapse,7,8,0.7725000000000002,0.5124846248410178,0.0,0.35355339059327373
b,scan,7,8,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,8,0.7900000000000001,0.6367233217721732,0.0,0.35355339059327373
b,scan,7,12,0.5100000000000001,,-11.541666666666666,0.3980981573144277
e,collapse,7,12,0.5100000000000001,-1.9799908663502828,-11.541666666666666,0.3980981573144277
b,scan,7,12,0.5275000000000001,,-10.541666666666668,0.6422230117532358
e,collapse,7,12,0.5275000000000001,-1.7979227407088778,-10.541666666666668,0.6422230117532358
b,scan,7,12,0.5450000000000002,,-7.874999999999999,0.5805631502503164
e,collapse,7,12,0.5450000000000002,-1.6158546150674717,-7.874999999999999,0.5805631502503164
b,scan,7,12,0.5625000000000001,,-9.333333333333334,0.511766315719159
e,collapse,7,12,0.5625000000000001,-1.4337864894260668,-9.333333333333334,0.511766315719159
b,scan,7,12,0.5800000000000001,,-6.625,0.9437293044088436
e,collapse,7,12,0.5800000000000001,-1.251718363784662,-6.625,0.9437293044088436
b,scan,7,12,0.5975000000000001,,-5.25,0.49099025303098287
e,collapse,7,12,0.5975000000000001,-1.069650238143256,-5.25,0.49099025303098287
b,scan,7,12,0.6150000000000001,,-4.541666666666666,0.5268109356351308
e,collapse,7,12,0.6150000000000001,-0.887582112501851,-4.541666666666666,0.5268109356351308
b,scan,7,12,0.6325000000000001,,-3.7916666666666665,0.4361515500410088
e,collapse,7,12,0.6325000000000001,-0.7055139868604462,-3.7916666666666665,0.4361515500410088
b,scan,7,12,0.6500000000000001,,-3.333333333333333,0.43186564636231084
e,collapse,7,12,0.6500000000000001,-0.5234458612190401,-3.333333333333333,0.43186564636231084
b,scan,7,12,0.6675000000000002,,-1.2916666666666665,0.35355339059327373
e,collapse,7,12,0.6675000000000002,-0.34137773557763407,-1.2916666666666665,0.35355339059327373
b,scan,7,12,0.6850000000000002,,-0.625,0.35355339059327373
e,collapse,7,12,0.6850000000000002,-0.15930960993622914,-0.625,0.35355339059327373
b,scan,7,12,0.7025000000000001,,-0.5,0.35355339059327373
e,collapse,7,12,0.7025000000000001,0.022758515705175758,-0.5,0.35355339059327373
b,scan,7,12,0.7200000000000002,,-0.125,0.35355339059327373
e,collapse,7,12,0.7200000000000002,0.20482664134658182,-0.125,0.35355339059327373
b,scan,7,12,0.7375000000000002,,-0.08333333333333333,0.35355339059327373
e,collapse,7,12,0.7375000000000002,0.3868947669879867,-0.08333333333333333,0.35355339059327373
b,scan,7,12,0.7550000000000001,,-0.041666666666666664,0.35355339059327373
e,collapse,7,12,0.7550000000000001,0.5689628926293916,-0.041666666666666664,0.35355339059327373
b,scan,7,12,0.7725000000000002,,0.0,0.35355339059327373
e,collapse,7,12,0.7725000000000002,0.7510310182707977,0.0,0.35355339059327373
b,scan,7,12,0.7900000000000001,,-0.041666666666666664,0.35355339059327373
e,collapse,7,12,0.7900000000000001,0.9330991439122026,-0.041666666666666664,0.35355339059327373
b,scan,7,16,0.5100000000000001,,-14.875,0.5702182121993382
e,collapse,7,16,0.5100000000000001,-2.5967238469933096,-14.875,0.5702182121993382
b,scan,7,16,0.5275000000000001,,-13.541666666666666,0.5632160345616073
e,collapse,7,16,0.5275000000000001,-2.357944642672086,-13.541666666666666,0.5632160345616073
b,scan,7,16,0.5450000000000002,,-12.083333333333334,0.7911966023006314
e,collapse,7,16,0.5450000000000002,-2.1191654383508616,-12.083333333333334,0.7911966023006314
b,scan,7,16,0.5625000000000001,,-10.75,0.7203118813050401
e,collapse,7,16,0.5625000000000001,-1.880386234029638,-10.75,0.7203118813050401
b,scan,7,16,0.5800000000000001,,-8.75,0.6228136361680155
e,collapse,7,16,0.5800000000000001,-1.6416070297084147,-8.75,0.6228136361680155
b,scan,7,16,0.5975000000000001,,-8.0,0.6636838030841121
e,collapse,7,16,0.5975000000000001,-1.40282782538719,-8.0,0.6636838030841121
b,scan,7,16,0.6150000000000001,,-5.333333333333334,0.6330826571575394
e,collapse,7,16,0.6150000000000001,-1.1640486210659666,-5.333333333333334,0.6330826571575394
b,scan,7,16,0.6325000000000001,,-5.333333333333333,0.4755948656056709
e,collapse,7,16,0.6325000000000001,-0.9252694167447433,-5.333333333333333,0.4755948656056709
b,scan,7,16,0.6500000000000001,,-3.5,0.6236095644623235
e,collapse,7,16,0.6500000000000001,-0.6864902124235184,-3.5,0.6236095644623235
b,scan,7,16,0.6675000000000002,,-1.625,0.41517590458266207
e,collapse,7,16,0.6675000000000002,-0.44771100810229353,-1.625,0.41517590458266207
b,scan,7,16,0.6850000000000002,,-1.4166666666666665,0.3605000935649219
e,collapse,7,16,0.6850000000000002,-0.20893180378107024,-1.4166666666666665,0.3605000935649219
b,scan,7,16,0.7025000000000001,,-0.75,0.3549536075208469
e,collapse,7,16,0.7025000000000001,0.029847400540153106,-0.75,0.3549536075208469
