panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
b,size_scaling,7,12,0.7025000000000001,,3.916666666666667,0.05934343434343435,,0.6066755076885296
e,probability_scan_and_collapse,7,12,0.7025000000000001,0.09882522351390716,3.916666666666667,0.05934343434343435,-0.04166666666666696,0.6066755076885296
b,size_scaling,7,12,0.7200000000000002,,2.875,0.043560606060606064,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.7200000000000002,0.29647567054172147,2.875,0.043560606060606064,-1.083333333333334,0.536374895732446
b,size_scaling,7,12,0.7375000000000002,,2.166666666666667,0.03282828282828283,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.7375000000000002,0.4941261175695345,2.166666666666667,0.03282828282828283,-1.791666666666667,0.536374895732446
b,size_scaling,7,12,0.7550000000000001,,1.1666666666666667,0.01767676767676768,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.7550000000000001,0.6917765645973476,1.1666666666666667,0.01767676767676768,-2.791666666666667,0.536374895732446
b,size_scaling,7,12,0.7725000000000002,,0.75,0.011363636363636364,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.7725000000000002,0.8894270116251619,0.75,0.011363636363636364,-3.208333333333334,0.536374895732446
b,size_scaling,7,12,0.7900000000000001,,1.0,0.015151515151515152,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.7900000000000001,1.087077458652975,1.0,0.015151515151515152,-2.958333333333334,0.536374895732446
b,size_scaling,7,16,0.5100000000000001,,20.625,0.234375,,0.6864525508494486
e,probability_scan_and_collapse,7,16,0.5100000000000001,-2.7477584389223693,20.625,0.234375,15.66666666666666,0.6864525508494486
b,size_scaling,7,16,0.5275000000000001,,18.333333333333336,0.20833333333333337,,0.610130126476624
e,probability_scan_and_collapse,7,16,0.5275000000000001,-2.4860671590250014,18.333333333333336,0.20833333333333337,13.374999999999996,0.610130126476624
b,size_scaling,7,16,0.5450000000000002,,17.791666666666664,0.20217803030303028,,0.8097783116949503
