campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
steady,d44_m11,32,11,44,0.30000000000000004,65,half_chain_entropy,106.1388888888889,1.242824522856221,0.3587725364132537,12
steady,d44_m11,32,11,44,0.4,65,half_chain_entropy,87.77777777777777,0.9778696008307831,0.2822866386360023,12
steady,d44_m11,32,11,44,0.5,65,half_chain_entropy,70.30555555555556,1.141134765130111,0.32941723191475497,12
steady,d44_m11,32,11,44,0.6000000000000001,65,half_chain_entropy,52.305555555555564,1.2181981505513513,0.35166351507356347,12
steady,d44_m11,32,11,44,0.7000000000000001,65,half_chain_entropy,35.38888888888889,1.0620480817487163,0.30658687294497355,12
steady,d44_m11,32,11,44,0.8,65,half_chain_entropy,17.694444444444446,0.7171539334827385,0.20702450827332902,12
steady,d44_m11,32,11,44,0.9,65,half_chain_entropy,0.7500000000000001,0.5149286505444373,0.1486470975026408,12
steady,d44_m11,32,11,44,1.0,65,half_chain_entropy,0.0,0.0,0.0,12
steady,d84_m21,32,21,84,0.0,65,half_chain_entropy,335.05555555555554,0.4224348215419381,0.12194642896615475,12
steady,d84_m21,32,21,84,0.1,65,half_chain_entropy,286.25,1.0261726477695208,0.2962305272123819,12
steady,d84_m21,32,21,84,0.2,65,half_chain_entropy,250.7222222222222,1.2130047285070544,0.3501643032659184,12
steady,d84_m21,32,21,84,0.30000000000000004,65,half_chain_entropy,216.0,1.2633129445864186,0.3646870343138538,12
steady,d84_m21,32,21,84,0.4,65,half_chain_entropy,181.3611111111111,0.9894221692261761,0.2856215778724581,12
steady,d84_m21,32,21,84,0.5,65,half_chain_entropy,147.30555555555557,1.266972318252787,0.3657434044995254,12
steady,d84_m21,32,21,84,0.6000000000000001,65,half_chain_entropy,114.27777777777779,0.8144321109212612,0.23510629923853268,12
steady,d84_m21,32,21,84,0.7000000000000001,65,half_chain_entropy,81.66666666666666,0.9428090415820632,0.2721655269759087,12
steady,d84_m21,32,21,84,0.8,65,half_chain_entropy,48.77777777777777,0.8448696430838989,0.24389285793231605,12
steady,d84_m21,32,21,84,0.9,65,half_chain_entropy,16.36111111111111,1.0195892749349071,0.294330071173262,12
steady,d84_m21,32,21,84,1.0,65,half_chain_entropy,0.0,0.0,0.0,12
steady,d3_m11,32,11,3,0.0,193,half_chain_entropy,169.30555555555557,2.883104153909386,0.8322804796806562,12
steady,d3_m11,32,11,3,0.1,193,half_chain_entropy,94.88888888888887,3.052845446442601,0.8812805701489795,12
steady,d3_m11,32,11,3,0.2,193,half_chain_entropy,57.138888888888886,2.066854015620242,0.596649361147003,12
steady,d3_m11,32,11,3,0.30000000000000004,193,half_chain_entropy,27.527777777777775,2.3026481607463505,0.6647172677279511,12
steady,d3_m11,32,11,3,0.4,193,half_chain_entropy,4.833333333333333,1.7609685122142589,0.5083478222806787,12
steady,d3_m11,32,11,3,0.5,193,half_chain_entropy,0.7777777777777778,0.640916851685467,0.18501675842438592,12
steady,d3_m11,32,11,3,0.6000000000000001,193,half_chain_entropy,0.16666666666666666,0.22473328748774735,0.06487491201346025,12
steady,d3_m11,32,11,3,0.7000000000000001,193,half_chain_entropy,0.1111111111111111,0.16412198797244365,0.04737793696791343,12
steady,d3_m11,32,11,3,0.8,193,half_chain_entropy,0.0,0.0,0.0,12
steady,d3_m11,32,11,3,0.9,193,half_chain_entropy,0.0,0.0,0.0,12
steady,d3_m11,32,11,3,1.0,193,half_chain_entropy,0.0,0.0,0.0,12
phase,d1,32,11,1,0.0,193,half_chain_entropy,62.708333333333336,2.1114765765533217,0.7465197027987049,8
phase,d1,32,11,1,0.1,193,half_chain_entropy,23.541666666666668,2.409883748760442,0.8520225703098833,8
phase,d1,32,11,1,0.2,193,half_chain_entropy,1.2916666666666665,0.330343736321705,0.11679414803778919,8
phase,d1,32,11,1,0.30000000000000004,193,half_chain_entropy,0.4583333333333333,0.3959116463884736,0.1399759049560101,8
phase,d1,32,11,1,0.4,193,half_chain_entropy,0.041666666666666664,0.1178511301977579,0.04166666666666666,8
