phase,cosine_potential,harmonic_comparator
0.1282500000000001,-49.58936175099086,-49.588798437499996
0.13050000000000017,-49.574847635047234,-49.57424375
0.13275000000000003,-49.56008254654334,-49.5594359375
0.13500000000000012,-49.5450665602274,-49.544375
0.1372500000000002,-49.52979975211781,-49.5290609375
0.13950000000000007,-49.51428219950276,-49.51349375
0.14175000000000015,-49.498513980939826,-49.4976734375
0.14400000000000002,-49.482495176255576,-49.4816
0.1462500000000001,-49.46622586654518,-49.4652734375
0.1485000000000002,-49.449706134171976,-49.44869375
0.15075000000000005,-49.43293606276709,-49.4318609375
0.15300000000000014,-49.41591573722896,-49.414775
0.15525,-49.398645243722946,-49.3974359375
0.15750000000000008,-49.38112466968089,-49.37984375
0.15975000000000017,-49.36335410380065,-49.3619984375
0.16200000000000003,-49.3453336360457,-49.3439
0.16425000000000012,-49.327063357644604,-49.3255484375
0.1665000000000002,-49.30854336109061,-49.306943749999995
0.16875000000000007,-49.28977374014116,-49.2880859375
0.17100000000000015,-49.270754589817415,-49.268975
0.17325000000000002,-49.2514860064038,-49.2496109375
0.1755000000000001,-49.231968087447456,-49.22999375
0.17775000000000019,-49.21220093175781,-49.2101234375
0.18000000000000005,-49.19218463940607,-49.19
0.18225000000000013,-49.17191931172464,-49.1696234375
0.1845,-49.151405051306725,-49.14899375
0.18675000000000008,-49.130641962005704,-49.1281109375
0.18900000000000017,-49.109630148934684,-49.106975
0.19125000000000003,-49.08836971846592,-49.0855859375
0.19350000000000012,-49.06686077823029,-49.06394375
0.1957500000000002,-49.04510343711677,-49.0420484375
0.19800000000000006,-49.02309780527185,-49.0199
0.20025000000000015,-49.00084399409899,-48.9974984375
0.2025,-48.97834211625806,-48.97484375
0.2047500000000001,-48.95559228566478,-48.9519359375
0.20700000000000018,-48.932594617490096,-48.928775
0.20925000000000005,-48.909349228159684,-48.9053609375
0.21150000000000013,-48.885856235353245,-48.88169375
0.21375000000000022,-48.86211575800403,-48.8577734375
0.21600000000000008,-48.83812791629815,-48.8336
0.21825000000000017,-48.813892831673996,-48.8091734375
0.22050000000000003,-48.78941062682164,-48.78449375
0.22275000000000011,-48.76468142568219,-48.7595609375
0.2250000000000002,-48.739705353447164,-48.734375
0.22725000000000006,-48.71448253655789,-48.7089359375
0.22950000000000015,-48.689013102704806,-48.683243749999995
0.23175,-48.66329718082687,-48.6572984375
0.2340000000000001,-48.637334901110904,-48.631099999999996
0.23625000000000018,-48.61112639499087,-48.604648437499996
0.23850000000000005,-48.58467179514729,-48.57794375
0.24075000000000013,-48.5579712355065,-48.5509859375
0.24300000000000022,-48.53102485124005,-48.523775
0.24525000000000008,-48.503832778763936,-48.4963109375
0.24750000000000016,-48.47639515573796,-48.46859375
0.24975000000000003,-48.44871212106506,-48.4406234375
0.2520000000000001,-48.420783814890505,-48.4124
0.2542500000000002,-48.39261037860131,-48.383923437499995
0.25650000000000006,-48.36419195482542,-48.35519375
0.25875000000000015,-48.335528687431065,-48.3262109375
0.261,-48.30662072152595,-48.296975
0.2632500000000001,-48.27746820345661,-48.2674859375
0.2655000000000002,-48.24807128080759,-48.23774375
0.26775000000000004,-48.21843010240077,-48.2077484375
0.27000000000000013,-48.188544818294524,-48.177499999999995
0.2722500000000002,-48.15841557978306,-48.146998437499995
0.2745000000000001,-48.12804253939558,-48.116243749999995
0.27675000000000016,-48.097425850895526,-48.085235937499995
0.279,-48.06656566927983,-48.053975
0.2812500000000001,-48.03546215077809,-48.0224609375
0.2835000000000002,-48.004115452851806,-47.99069375
0.28575000000000006,-47.97252573419357,-47.958673437499996
0.28800000000000014,-47.940693154726254,-47.9264
0.29025,-47.90861787560223,-47.8938734375
0.2925000000000001,-47.876300059202535,-47.861093749999995
0.2947500000000002,-47.843739869136044,-47.8280609375
0.29700000000000004,-47.81093747023865,-47.794775
0.2992500000000001,-47.77789302857241,-47.7612359375
0.3015000000000002,-47.744606711424765,-47.72744375
0.3037500000000001,-47.71107868730761,-47.6933984375
0.30600000000000016,-47.677309125956505,-47.659099999999995
0.30825,-47.643298198329774,-47.624548437499996
0.3105000000000001,-47.60904607660766,-47.58974375
0.3127500000000002,-47.57455293419147,-47.5546859375
0.31500000000000006,-47.53981894570266,-47.519375
0.31725000000000014,-47.50484428698197,-47.483810937499996
0.31950000000000023,-47.46962913508853,-47.447993749999995
0.3217500000000001,-47.43417366829898,-47.4119234375
0.3240000000000002,-47.39847806610654,-47.3756
0.32625000000000004,-47.36254250922013,-47.339023437499996
0.3285000000000001,-47.326367179563405,-47.30219375
0.3307500000000002,-47.28995226027392,-47.2651109375
0.3330000000000001,-47.253297935702115,-47.227775
0.33525000000000016,-47.216404391410435,-47.1901859375
0.3375,-47.17927181417237,-47.15234375
0.3397500000000001,-47.14190039197149,-47.114248437499995
0.3420000000000002,-47.10429031400057,-47.0759
0.34425000000000006,-47.06644177066054,-47.0372984375
0.34650000000000014,-47.02835495355956,-46.99844375
0.3487500000000002,-46.99003005551207,-46.95933593749999
0.3510000000000001,-46.95146727053779,-46.919975
0.3532500000000002,-46.91266679386072,-46.880360937499994
0.35550000000000004,-46.873628821908206,-46.84049375
0.3577500000000001,-46.83435355230989,-46.8003734375
0.3600000000000002,-46.79484118389674,-46.76
0.36225000000000007,-46.75509191670004,-46.719373437499996
