t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.21625,0.8960003251575237,0.834193309548362,0.7655652643120071,1.4351353837068315,-2.1641738050820827,-2.64703090022601,181.61584234294048,180.69175647821396,-1.8155172167792517,2.724160888360649
0.216875,0.9027909893302082,0.8457265343991701,0.7801517147435882,1.4377901662709096,-2.156244799675397,-2.6351731758789967,179.3021242939052,177.25745114540314,-1.9674800819252487,2.5714500166337206
0.2175,0.9093602913612248,0.8568013526318767,0.7942187444233259,1.440505031122461,-2.14843164629678,-2.6235733757568873,176.9032273816781,173.7241357449173,-2.120412345232742,2.4177996591156123
0.218125,0.9157012665984308,0.867410662989904,0.8077528855258703,1.4432693223158592,-2.1407502008519224,-2.612251485754733,174.41182588160385,170.09421885607387,-2.274141089034553,2.2633820761838646
0.21875,0.9218074747268692,0.8775490118009339,0.8207433767952478,1.4460721116203867,-2.133215861489549,-2.6012263226705414,171.8212531531721,166.37052145227773,-2.4284929316634516,2.1083699833467007
0.21937500000000001,0.9276730876249193,0.8872126368799843,0.8331821390833081,1.4489022579291984,-2.1258435001477505,-2.5905154624510445,169.12555449839655,162.5562725816739,-2.5832942039056754,1.9529363757790268
0.22,0.9332929741097241,0.8963995011281851,0.8450637341540783,1.4517484739206763,-2.1186473895183155,-2.580135164244872,166.3195359450905,158.65510358913542,-2.738371125657395,1.7972543526582343
0.22062500000000002,0.9386627800228805,0.9051093137091202,0.8563853085794968,1.4545993991822197,-2.111641126279059,-2.570100292751313,163.39880864318656,154.67104089763419,-2.8935499826086803,1.6414969414742082
0.22125,0.9437790020510018,0.9133435375386343,0.8671465235077894,1.4574436788867233,-2.1048375513947875,-2.5604242417390957,160.35982858805008,150.60849737213786,-3.048657302778953,1.4858369224884884
0.22187500000000002,0.9486390536950188,0.9211053827454954,0.877349469855703,1.4602700470314414,-2.098248668569367,-2.551118861326426,157.19993141229824,146.4722622941428,-3.2035200327289486,1.330446653516494
0.2225,0.9532413219396244,0.9283997862047016,0.8869985679285579,1.4630674131804842,-2.0918855623816057,-2.5421943908905256,153.9173620168521,142.26748997983685,-3.3579657132735137,1.1754978952074453
0.22312500000000002,0.9575852134013635,0.9352333771443829,0.8961004509994568,1.465824951562137,-2.085758317987489,-2.5336593987455736,150.51129884255744,137.99968707959758,-3.511822654521099,1.0211616369950436
0.22375,0.9616711889692138,0.9416144284255811,0.9046638336984285,1.4685321912566245,-2.0798759443331534,-2.5255207294458444,146.98187261562663,133.67469860112826,-3.6649201100656543,0.8676079238921699
0.224375,0.9655007861525576,0.9475527928404776,0.9126993673830713,1.4711791060904176,-2.0742463025873477,-2.5177834598206985,143.33017943309065,129.29869270293736,-3.817088450158038,0.7150056843014394
0.225,0.9690766284926031,0.9530598239941743,0.9202194852328345,1.473756202765614,-2.0688760411272895,-2.5104508653941693,139.5582880882821,124.87814430911082,-3.9681593336848264,0.5635225590126798
0.225625,0.9724024215133533,0.9581482820614153,0.927238239402851,1.4762546057242112,-2.0637705381388276,-2.503524399240355,135.66924157084694,120.4198176003668,-4.117965878783676,0.41332473155715055
0.22625,0.9754829348550997,0.9628322255865222,0.9337711316372509,1.4786661372804142,-2.058933852849173,-2.4970036852468134,131.6670527107215,115.93074744022043,-4.2663428319257655,0.2645767600869519
