L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.15,1.0,6.0,5.401897896942636,2.1584311528917794,0.06156007715017211,0.00568554422367937,0.00041980888301622956,-0.00568554422367937,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,7.0,6.060773074839197,2.3044998934239236,0.07153732238390026,0.005437686322998212,0.00030023374496179425,-0.005437686322998212,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,8.0,6.615946745061504,2.46140121489111,0.06220195216881941,0.004586100373709972,0.00011597268364400773,-0.004586100373709972,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,9.0,7.057919732188834,2.5752200769029887,0.06085848060515786,0.0049355313167048,0.00041212545211407356,-0.0049355313167048,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,10.0,7.379129755873375,2.619269987250231,0.063665729766687,0.004773956137427444,0.00033954185911043476,-0.004773956137427444,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,11.0,7.574080823553641,2.6623794753696326,0.07745141507939611,0.004489094594266685,0.0002638626493983195,-0.004489094594266685,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.0,12.0,7.639437268410976,2.6795212694339847,0.08559551685157382,0.005186373400494629,0.0002995872781709753,-0.005186373400494629,4,5,3.552713678800501e-15,0.1295764433224193
24,1.15,1.5,1.0,0.9971466573496368,0.5067562048014119,0.02897299511718583,0.019672430714470467,0.0008813964158999629,-0.019672430714470467,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,2.0,1.9772318589307383,0.864489312856872,0.030532873516709403,0.012047912227223505,0.00045083034262203187,-0.012047912227223505,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,3.0,2.923486075213298,1.1890788739280147,0.019581918633452128,0.008336136421559143,0.00026410973490600937,-0.008336136421559143,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,4.0,3.8197186342054876,1.458032868956908,0.024382154175622842,0.00678213784661312,0.0002997884676368046,-0.00678213784661312,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,5.0,4.650594748340343,1.6915321211370795,0.017875974719540624,0.0057274909135397074,0.00021266853532533593,-0.0057274909135397074,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,6.0,5.401897896942636,1.89361296143,0.03458038768888698,0.005455579791493618,0.0003047603420052084,-0.005455579791493618,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,7.0,6.060773074839197,2.072783809609839,0.037136869955390124,0.004688919061668586,0.0002970137418479151,-0.004688919061668586,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,8.0,6.615946745061504,2.1916456440377923,0.02434433554817176,0.004815361946274675,0.00023893991166454786,-0.004815361946274675,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,9.0,7.057919732188834,2.2813535720440727,0.016005217463778414,0.00437981767143388,9.635179503841703e-05,-0.00437981767143388,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,10.0,7.379129755873375,2.3657265331625807,0.01974614992776388,0.003942171279889583,0.0002365675736789702,-0.003942171279889583,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,11.0,7.574080823553641,2.383032097843848,0.02917483735682829,0.004077725460572668,0.0002661745755640099,-0.004077725460572668,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,1.5,12.0,7.639437268410976,2.4519686474537377,0.03400400641260043,0.0040280605554777905,0.0002854941236129115,-0.0040280605554777905,4,5,3.552713678800501e-15,0.169388902356236
24,1.15,2.0,1.0,0.9971466573496368,0.5221850409217621,0.02328287676322951,0.020747389407959532,0.001367194062986247,-0.020747389407959532,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,2.0,1.9772318589307383,0.8667887775185125,0.05397879925131551,0.010847206644551223,0.0007620835499634643,-0.010847206644551223,4,5,3.552713678800501e-15,0.3195282117960416
24,1.15,2.0,3.0,2.923486075213298,1.1235732762225128,0.061273301889761704,0.008400387267508264,0.000541166829791384,-0.008400387267508264,4,5,3.552713678800501e-15,0.3195282117960416
