physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,entropy,entropy_sem
CFT,algebraic,0.3,5.0,96,16.0,15.27887453682195,paper_subset_reconstructed_numerics,5.13678782752812,0.09076458230368098
CFT,algebraic,0.3,5.0,96,21.0,19.385630791477553,paper_subset_reconstructed_numerics,5.778719477750604,0.10993431893929294
CFT,algebraic,0.3,5.0,96,24.0,21.607591587770543,paper_subset_reconstructed_numerics,6.15579278190099,0.10737929116804508
CFT,algebraic,0.3,5.0,96,28.0,24.24309229935679,paper_subset_reconstructed_numerics,6.524945953478218,0.2111758496701354
CFT,algebraic,0.3,5.0,96,32.0,26.463786980246017,paper_subset_reconstructed_numerics,6.868773843872833,0.2150962223437073
CFT,algebraic,0.3,5.0,96,36.0,28.231678928755336,paper_subset_reconstructed_numerics,7.085898407037507,0.21467958784375185
CFT,algebraic,0.3,5.0,96,40.0,29.5165190234935,paper_subset_reconstructed_numerics,7.112521037315919,0.2204658042590823
CFT,algebraic,0.3,5.0,96,44.0,30.296323294214563,paper_subset_reconstructed_numerics,7.249397310004034,0.2539066032793114
CFT,algebraic,0.3,5.0,96,48.0,30.557749073643905,paper_subset_reconstructed_numerics,7.243102130044632,0.2500288426501426
area_law,area_law,2.0,5.0,24,1.0,0.9971466573496368,paper_subset_reconstructed_numerics,0.44971243090156277,0.018484344963129784
area_law,area_law,2.0,5.0,24,2.0,1.9772318589307383,paper_subset_reconstructed_numerics,0.7151769463218016,0.07223102586209651
area_law,area_law,2.0,5.0,24,3.0,2.923486075213298,paper_subset_reconstructed_numerics,0.8787566553686768,0.06634816666803818
area_law,area_law,2.0,5.0,24,4.0,3.8197186342054876,paper_subset_reconstructed_numerics,1.0230499348227804,0.03608323508486315
area_law,area_law,2.0,5.0,24,5.0,4.650594748340343,paper_subset_reconstructed_numerics,1.1001070037748557,0.05468288418805815
area_law,area_law,2.0,5.0,24,6.0,5.401897896942636,paper_subset_reconstructed_numerics,1.1822640001297553,0.06675099529321812
area_law,area_law,2.0,5.0,24,7.0,6.060773074839197,paper_subset_reconstructed_numerics,1.2308275747667348,0.0769586702890606
area_law,area_law,2.0,5.0,24,8.0,6.615946745061504,paper_subset_reconstructed_numerics,1.3173773503660011,0.07598807228772633
area_law,area_law,2.0,5.0,24,9.0,7.057919732188834,paper_subset_reconstructed_numerics,1.4055887673208303,0.09892845325161188
area_law,area_law,2.0,5.0,24,10.0,7.379129755873375,paper_subset_reconstructed_numerics,1.4316425658819758,0.10997980748215111
area_law,area_law,2.0,5.0,24,11.0,7.574080823553641,paper_subset_reconstructed_numerics,1.3892379815139906,0.09639824681215783
area_law,area_law,2.0,5.0,24,12.0,7.639437268410976,paper_subset_reconstructed_numerics,1.352423245617548,0.08996690935576214
area_law,area_law,2.0,5.0,32,1.0,0.9983943930356184,paper_subset_reconstructed_numerics,0.40494356363676254,0.032070905980493176
area_law,area_law,2.0,5.0,32,2.0,1.9871737022884115,paper_subset_reconstructed_numerics,0.61607035712537,0.027171761542627283
area_law,area_law,2.0,5.0,32,3.0,2.956815442488522,paper_subset_reconstructed_numerics,0.7820378390999387,0.057623363999908986
area_law,area_law,2.0,5.0,32,4.0,3.8979814336177308,paper_subset_reconstructed_numerics,0.9776427171660881,0.029506946745879583
area_law,area_law,2.0,5.0,32,5.0,4.801607732687796,paper_subset_reconstructed_numerics,1.0541551499839452,0.05280405776755298
area_law,area_law,2.0,5.0,32,6.0,5.658991924466292,paper_subset_reconstructed_numerics,1.178197333889259,0.05001184891906869
area_law,area_law,2.0,5.0,32,7.0,6.461876930492518,paper_subset_reconstructed_numerics,1.2608790561368906,0.07194202792126497
