family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
ghz_chain,zap_decomposed,19,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
synthetic_3sat,mobius_native,43,10,47,8,19,20,0,40,196,7277.0729396474735,9934.16534081089,196,292,11174.52534081089,83371.869292371,-1.4525358415055871,0.23397620858536136
synthetic_3sat,zap_decomposed,43,10,527,388,139,0,0,314,556,20597.014200022844,34761.764465441076,556,1112,48081.80446544123,382678.43572353007,-4.40803872213464,0.012179041405534574
qaoa_3local,mobius_native,43,10,20,0,0,20,0,20,120,4094.9545776714112,4913.801403093762,120,140,5525.3214030937625,38677.24982165634,-0.8685869552993964,0.41954396497048907
qaoa_3local,zap_decomposed,43,10,500,380,120,0,0,285,480,16379.81831068564,28459.052647433648,480,960,40682.252647433765,322858.02117947035,-3.8140059725462194,0.022059631438067842
p_spin_ising,mobius_native,43,10,20,0,0,10,10,20,140,5047.401285840421,5095.396101560548,140,130,5706.91610156055,37063.276100888994,-0.9927718868965626,0.37054814862129
p_spin_ising,zap_decomposed,43,10,820,620,200,0,0,516,800,29019.277514437406,49528.048335470405,800,1600,72032.04833547058,576880.3866837652,-6.378531810602326,0.0016976135460570294
hypergraph_4local,mobius_native,43,10,20,0,0,0,20,20,160,5716.748501311625,5158.753220069714,160,120,5770.273220069715,34621.63932041828,-1.116405043120593,0.3274548673176396
hypergraph_4local,zap_decomposed,43,10,1140,860,280,0,0,760,1120,40091.197767182646,68822.06611023676,1120,2240,102282.86611023697,823462.9288818968,-8.938097766454325,0.0001312905480796424
qram_oracle,mobius_native,43,10,30,0,0,10,20,30,220,7713.342586171282,7728.123510791291,220,190,8645.403510791291,54749.08101772191,-1.5512243986279415,0.21198825672988103
qram_oracle,zap_decomposed,43,10,1390,1050,340,0,0,924,1360,47868.82382108147,82894.59666071954,1360,2720,123584.99666071963,994815.9732857577,-10.851716775270186,1.9371323118367784e-05
multiplier_oracle,mobius_native,43,10,25,0,10,10,5,25,140,5012.205533279517,6205.542462455638,140,180,6967.782462455639,49968.098809272415,-1.0184399635036687,0.36115792046086076
multiplier_oracle,zap_decomposed,43,10,545,405,140,0,0,357,560,20784.36170864268,34857.592209187525,560,1120,50391.992209187694,404643.9376735019,-4.456822740157149,0.011599158342802358
qft_pairs,mobius_native,43,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
qft_pairs,zap_decomposed,43,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
ghz_chain,mobius_native,43,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
ghz_chain,zap_decomposed,43,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
synthetic_3sat,mobius_native,71,10,31,5,14,12,0,27,128,4625.813408402535,6525.484100160636,128,196,7369.436100160636,55396.35659033085,-0.9506665913291066,0.38648331114559464
synthetic_3sat,zap_decomposed,71,10,319,233,86,0,0,220,344,12489.334905007387,21093.11129469546,344,688,30672.07129469547,247196.57035756373,-2.73211250231223,0.06508165919143497
qaoa_3local,mobius_native,71,10,20,0,0,20,0,20,120,4257.783785484358,4977.2462692386935,120,140,5588.766269238694,39121.36388467086,-0.8688830313414061,0.4194197664409034
qaoa_3local,zap_decomposed,71,10,500,380,120,0,0,305,480,17031.135141937415,29184.125740248164,480,960,42447.32574024827,339058.6059219863,-3.8248063623745634,0.021822660810163045
p_spin_ising,mobius_native,71,10,20,0,0,10,10,20,140,5046.020087549154,5161.854887689234,140,130,5773.374887689235,37527.701601106324,-0.9930815038967075,0.3704334383741423
