energy,z2_overlap_sq,is_tower_state
-6.7940638858,2.738e-08,0
-6.7838923986,2.113e-09,0
-6.7813664791,6.055e-08,0
-6.7714324553,9.795e-08,0
-6.7704552366,2.302e-10,0
-6.7688679670,2.267e-09,0
-6.7678937716,1.342e-08,0
-6.7638921902,7.266e-09,0
-6.7636429443,4.124e-08,0
-6.7612021200,3.269e-07,0
-6.7600439499,7.178e-08,0
-6.7553034063,7.531e-08,0
-6.7539987350,5.490e-07,0
-6.7516786936,2.053e-07,0
-6.7419443359,1.979e-08,0
-6.7400834116,2.843e-07,0
-6.7375769436,8.007e-08,0
-6.7348368912,8.808e-07,0
-6.7341105012,2.254e-06,0
-6.7335536090,7.882e-09,0
-6.7325417005,1.432e-06,0
-6.7302515032,1.648e-07,0
-6.7268096652,2.644e-07,0
-6.7261210013,7.327e-07,0
-6.7237985745,1.272e-08,0
-6.7204652072,3.987e-05,0
-6.7165822684,8.694e-08,0
-6.7150937403,5.799e-08,0
-6.7127136911,2.568e-07,0
-6.7119831699,2.989e-07,0
-6.7111515682,2.828e-07,0
-6.7070390066,1.610e-07,0
-6.7056331775,1.131e-09,0
-6.7047264413,1.264e-06,0
-6.6997068343,3.160e-10,0
-6.6985953600,4.401e-09,0
-6.6971991952,4.282e-09,0
-6.6939423810,5.552e-10,0
-6.6924696963,1.413e-08,0
-6.6916962463,3.231e-08,0
-6.6899318862,2.688e-06,0
-6.6893595023,5.135e-08,0
-6.6872669408,2.124e-05,0
-6.6837224074,2.175e-06,0
-6.6822446709,6.038e-06,0
-6.6797388628,2.936e-07,0
-6.6785277561,5.528e-10,0
-6.6772878368,2.090e-08,0
-6.6771710512,2.823e-08,0
-6.6766673822,8.783e-08,0
-6.6744551966,5.490e-08,0
-6.6737468913,1.131e-07,0
-6.6703777736,8.496e-07,0
-6.6702390204,1.107e-07,0
-6.6670930109,7.417e-08,0
-6.6628001749,5.372e-09,0
-6.6603651228,1.629e-07,0
-6.6576509812,5.192e-09,0
-6.6562350015,1.203e-08,0
-6.6544611536,6.965e-08,0
-6.6537630140,1.631e-07,0
-6.6533619245,4.309e-07,0
-6.6505757464,2.036e-09,0
-6.6405368664,9.733e-07,0
-6.6364964628,6.174e-10,0
-6.6262600623,1.524e-08,0
-6.6208388270,3.499e-08,0
-6.6190524916,1.156e-08,0
-6.6167690858,3.076e-08,0
-6.6100880342,2.160e-08,0
-6.6005671500,1.453e-07,0
-6.5996277789,7.003e-08,0
-6.5933621146,9.412e-09,0
-6.5910755658,3.736e-10,0
-6.5900964498,6.015e-09,0
-6.5889833921,4.275e-11,0
-6.5879591492,4.154e-09,0
-6.5832817684,5.145e-10,0
-6.5708859268,1.476e-09,0
-6.5686102566,2.378e-07,0
-6.5664939827,2.627e-08,0
-6.5628340579,2.979e-09,0
-6.5611406435,2.985e-09,0
-6.5585252356,5.585e-11,0
-6.5559928373,3.367e-10,0
-6.5532143890,1.493e-07,0
-6.5461954527,1.695e-08,0
-6.5449099034,1.379e-09,0
-6.5432060873,5.064e-09,0
-6.5414325081,1.457e-07,0
