target_id,p0,activity,fitted_viscosity,fit_family
T020,4.0,0.19718750000000002,0.24778918670580508,spline
T020,4.0,0.20124999999999998,0.2477208889463336,spline
T020,4.0,0.2053125,0.2476524684001942,spline
T020,4.0,0.209375,0.24758391517164996,spline
T020,4.0,0.2134375,0.2475152193762485,spline
T020,4.0,0.2175,0.24744637114087709,spline
T020,4.0,0.2215625,0.2473773606038215,spline
T020,4.0,0.225625,0.2473081779148296,spline
T020,4.0,0.2296875,0.24723881323517813,spline
T020,4.0,0.23375,0.24716925673774376,spline
T020,4.0,0.23781249999999998,0.24709949860707778,spline
T020,4.0,0.241875,0.24702952903948522,spline
T020,4.0,0.2459375,0.24695933824310715,spline
T020,4.0,0.25,0.24688891643800753,spline
T020,4.0,0.2578125,0.24675344329988777,spline
T020,4.0,0.265625,0.24661830481690317,spline
T020,4.0,0.2734375,0.24648345765123064,spline
T020,4.0,0.28125,0.24634885855995636,spline
T020,4.0,0.2890625,0.24621446439460581,spline
T020,4.0,0.296875,0.24608023210074792,spline
T020,4.0,0.3046875,0.24594611871767594,spline
T020,4.0,0.3125,0.2458120813781628,spline
T020,4.0,0.3203125,0.2456780773082917,spline
T020,4.0,0.328125,0.2455440638273606,spline
T020,4.0,0.3359375,0.24540999834786187,spline
T020,4.0,0.34375,0.24527583837553518,spline
T020,4.0,0.3515625,0.24514154150949463,spline
T020,4.0,0.359375,0.24500706544242873,spline
T020,4.0,0.3671875,0.2448723679608738,spline
