flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.16,6,1.9352210746113125,-1.9352210746113125
0.16,7,2.249380339970292,-2.249380339970292
0.16,8,2.563539605329271,-2.563539605329271
0.17,-8,-2.4598670477608082,2.4598670477608082
0.17,-7,-2.145707782401829,2.145707782401829
0.17,-6,-1.8315485170428494,1.8315485170428494
0.17,-5,-1.51738925168387,1.51738925168387
0.17,-4,-1.2032299863248908,1.2032299863248908
0.17,-3,-0.8890707209659114,0.8890707209659114
0.17,-2,-0.5749114556069321,0.5749114556069321
0.17,-1,-0.2607521902479528,0.2607521902479528
0.17,0,0.053407075111026485,-0.053407075111026485
0.17,1,0.36756634047000575,-0.36756634047000575
0.17,2,0.6817256058289851,-0.6817256058289851
0.17,3,0.9958848711879644,-0.9958848711879644
0.17,4,1.3100441365469437,-1.3100441365469437
0.17,5,1.624203401905923,-1.624203401905923
0.17,6,1.9383626672649024,-1.9383626672649024
0.17,7,2.2525219326238815,-2.2525219326238815
0.17,8,2.5666811979828608,-2.5666811979828608
0.18,-8,-2.456725455107218,2.456725455107218
0.18,-7,-2.142566189748239,2.142566189748239
0.18,-6,-1.8284069243892598,1.8284069243892598
0.18,-5,-1.5142476590302805,1.5142476590302805
0.18,-4,-1.200088393671301,1.200088393671301
0.18,-3,-0.8859291283123216,0.8859291283123216
0.18,-2,-0.5717698629533423,0.5717698629533423
0.18,-1,-0.25761059759436306,0.25761059759436306
0.18,0,0.05654866776461628,-0.05654866776461628
0.18,1,0.37070793312359557,-0.37070793312359557
0.18,2,0.6848671984825749,-0.6848671984825749
0.18,3,0.9990264638415542,-0.9990264638415542
0.18,4,1.3131857292005333,-1.3131857292005333
0.18,5,1.6273449945595126,-1.6273449945595126
0.18,6,1.941504259918492,-1.941504259918492
0.18,7,2.2556635252774715,-2.2556635252774715
0.18,8,2.569822790636451,-2.569822790636451
0.19,-8,-2.453583862453628,2.453583862453628
0.19,-7,-2.139424597094649,2.139424597094649
0.19,-6,-1.8252653317356697,1.8252653317356697
0.19,-5,-1.5111060663766904,1.5111060663766904
0.19,-4,-1.1969468010177111,1.1969468010177111
0.19,-3,-0.8827875356587319,0.8827875356587319
0.19,-2,-0.5686282702997526,0.5686282702997526
0.19,-1,-0.25446900494077324,0.25446900494077324
0.19,0,0.05969026041820607,-0.05969026041820607
0.19,1,0.3738495257771854,-0.3738495257771854
0.19,2,0.6880087911361646,-0.6880087911361646
0.19,3,1.002168056495144,-1.002168056495144
0.19,4,1.3163273218541234,-1.3163273218541234
0.19,5,1.6304865872131027,-1.6304865872131027
0.19,6,1.944645852572082,-1.944645852572082
0.19,7,2.2588051179310615,-2.2588051179310615
0.19,8,2.5729643832900404,-2.5729643832900404
0.2,-8,-2.4504422698000385,2.4504422698000385
0.2,-7,-2.1362830044410592,2.1362830044410592
0.2,-6,-1.82212373908208,1.82212373908208
0.2,-5,-1.5079644737231006,1.5079644737231006
0.2,-4,-1.1938052083641213,1.1938052083641213
0.2,-3,-0.879645943005142,0.879645943005142
0.2,-2,-0.5654866776461628,0.5654866776461628
0.2,-1,-0.25132741228718347,0.25132741228718347
0.2,0,0.06283185307179587,-0.06283185307179587
0.2,1,0.37699111843077515,-0.37699111843077515
0.2,2,0.6911503837897546,-0.6911503837897546
0.2,3,1.0053096491487339,-1.0053096491487339
0.2,4,1.3194689145077132,-1.3194689145077132
0.2,5,1.6336281798666925,-1.6336281798666925
0.2,6,1.9477874452256718,-1.9477874452256718
0.2,7,2.261946710584651,-2.261946710584651
0.2,8,2.57610597594363,-2.57610597594363
0.21,-8,-2.447300677146449,2.447300677146449
0.21,-7,-2.1331414117874696,2.1331414117874696
0.21,-6,-1.8189821464284903,1.8189821464284903
0.21,-5,-1.504822881069511,1.504822881069511
0.21,-4,-1.1906636157105317,1.1906636157105317
0.21,-3,-0.8765043503515523,0.8765043503515523
0.21,-2,-0.562345084992573,0.562345084992573
0.21,-1,-0.24818581963359368,0.24818581963359368
0.21,0,0.06597344572538566,-0.06597344572538566
0.21,1,0.38013271108436497,-0.38013271108436497
0.21,2,0.6942919764433443,-0.6942919764433443
0.21,3,1.0084512418023235,-1.0084512418023235
0.21,4,1.3226105071613028,-1.3226105071613028
0.21,5,1.636769772520282,-1.636769772520282
0.21,6,1.9509290378792614,-1.9509290378792614
0.21,7,2.2650883032382407,-2.2650883032382407
0.21,8,2.5792475685972205,-2.5792475685972205
0.22,-8,-2.444159084492859,2.444159084492859
0.22,-7,-2.1299998191338796,2.1299998191338796
0.22,-6,-1.8158405537749005,1.8158405537749005
0.22,-5,-1.5016812884159212,1.5016812884159212
0.22,-4,-1.1875220230569417,1.1875220230569417
0.22,-3,-0.8733627576979625,0.8733627576979625
0.22,-2,-0.5592034923389831,0.5592034923389831
0.22,-1,-0.24504422698000386,0.24504422698000386
0.22,0,0.06911503837897545,-0.06911503837897545
0.22,1,0.38327430373795474,-0.38327430373795474
0.22,2,0.6974335690969341,-0.6974335690969341
0.22,3,1.0115928344559135,-1.0115928344559135
0.22,4,1.3257520998148926,-1.3257520998148926
0.22,5,1.639911365173872,-1.639911365173872
0.22,6,1.9540706305328512,-1.9540706305328512
0.22,7,2.2682298958918308,-2.2682298958918308
0.22,8,2.58238916125081,-2.58238916125081
0.23,-8,-2.4410174918392693,2.4410174918392693
0.23,-7,-2.12685822648029,2.12685822648029
0.23,-6,-1.8126989611213105,1.8126989611213105
0.23,-5,-1.4985396957623311,1.4985396957623311
0.23,-4,-1.184380430403352,1.184380430403352
0.23,-3,-0.8702211650443727,0.8702211650443727
0.23,-2,-0.5560618996853934,0.5560618996853934
0.23,-1,-0.24190263432641407,0.24190263432641407
0.23,0,0.07225663103256524,-0.07225663103256524
0.23,1,0.38641589639154456,-0.38641589639154456
0.23,2,0.7005751617505238,-0.7005751617505238
0.23,3,1.0147344271095031,-1.0147344271095031
0.23,4,1.3288936924684827,-1.3288936924684827
0.23,5,1.643052957827462,-1.643052957827462
0.23,6,1.9572122231864413,-1.9572122231864413
0.23,7,2.2713714885454204,-2.2713714885454204
0.23,8,2.5855307539043997,-2.5855307539043997
0.24,-8,-2.4378758991856793,2.4378758991856793
0.24,-7,-2.1237166338267,2.1237166338267
0.24,-6,-1.8095573684677209,1.8095573684677209
0.24,-5,-1.4953981031087415,1.4953981031087415
0.24,-4,-1.1812388377497622,1.1812388377497622
0.24,-3,-0.8670795723907828,0.8670795723907828
0.24,-2,-0.5529203070318036,0.5529203070318036
0.24,-1,-0.23876104167282428,0.23876104167282428
