N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
0.24,0.1875,2,1.1811436580681143,2.4550596217443684e-14,True,True,real_axis_fd
0.24,0.1875,3,1.8473777628003365,-8.773345947605102e-15,True,True,real_axis_fd
0.24,0.1875,4,2.7948585650312694,7.543716382321689e-15,True,True,real_axis_fd
0.24,0.1875,5,3.541107100945723,-1.509047357268052e-14,True,True,real_axis_fd
0.24,0.1875,6,4.458477484112167,1.0735050357690645e-15,True,True,real_axis_fd
0.24,0.1875,7,5.238655805441843,9.658624892150036e-15,True,True,real_axis_fd
0.24,0.1875,8,6.142187932631723,-1.717788717569998e-14,True,True,real_axis_fd
0.24,0.1875,9,6.940988127816192,1.3664848459834238e-14,True,True,real_axis_fd
0.24,0.1875,10,7.836596363382334,-9.809299724675244e-15,True,True,real_axis_fd
0.24,0.1875,11,8.647156466554943,-5.107374184020741e-15,True,True,real_axis_fd
0.26,0.1875,0,-0.08109314464785555,1.845363959040386e-13,True,False,real_axis_fd
0.26,0.1875,1,0.018887817134589646,-1.8517911857289615e-13,True,True,real_axis_fd
0.26,0.1875,2,1.2039132976230316,3.848435073936128e-14,True,True,real_axis_fd
0.26,0.1875,3,1.8267932043180348,-3.4691127407704597e-14,True,True,real_axis_fd
0.26,0.1875,4,2.8011548373912785,1.8766579028329118e-14,True,True,real_axis_fd
0.26,0.1875,5,3.5213714578953907,-2.887667049828928e-16,True,True,real_axis_fd
0.26,0.1875,6,4.456039646941133,-3.982369792148035e-14,True,True,real_axis_fd
0.26,0.1875,7,5.217275057311751,1.6832110704538097e-14,True,True,real_axis_fd
0.26,0.1875,8,6.133857568524504,2.3614356414707193e-14,True,True,real_axis_fd
0.26,0.1875,9,6.91756435293105,-3.241285114226916e-14,True,True,real_axis_fd
0.26,0.1875,10,7.823794403921231,3.726399339211791e-15,True,True,real_axis_fd
0.26,0.1875,11,8.621687920239633,8.278244431807127e-15,True,True,real_axis_fd
0.28,0.1875,0,-0.014826019114408062,-0.14664879230983519,False,False,real_axis_fd
0.28,0.1875,1,-0.014826019114331679,0.14664879230983754,False,False,real_axis_fd
0.28,0.1875,2,1.2338157021927567,2.0864695527672987e-14,True,True,real_axis_fd
0.28,0.1875,3,1.8025147868923312,-2.2778548701663362e-14,True,True,real_axis_fd
0.28,0.1875,4,2.8121087954033994,1.3013684883913318e-14,True,True,real_axis_fd
0.28,0.1875,5,3.500116242774636,-1.3702217713069514e-14,True,True,real_axis_fd
0.28,0.1875,6,4.457347414583394,-7.878844805210322e-15,True,True,real_axis_fd
0.28,0.1875,7,5.195033653223856,2.9901845316702826e-14,True,True,real_axis_fd
0.28,0.1875,8,6.128766608909279,-3.948371080139799e-14,True,True,real_axis_fd
0.28,0.1875,9,6.893582664382802,2.6962818167366083e-14,True,True,real_axis_fd
0.28,0.1875,10,7.813893596645363,-1.1570685988724066e-14,True,True,real_axis_fd
0.28,0.1875,11,8.595824206198824,-6.6856409234588255e-15,True,True,real_axis_fd
0.3,0.1875,0,0.0027819280286811576,0.21818345313092552,False,True,real_axis_fd
0.3,0.1875,1,0.002781928028682934,-0.2181834531309034,False,True,real_axis_fd
0.3,0.1875,2,1.2733126998551896,1.4727954527037958e-14,True,True,real_axis_fd
0.3,0.1875,3,1.7722790862818112,-4.40381493822757e-14,True,True,real_axis_fd
0.3,0.1875,4,2.8288650088155176,1.3110133705801933e-14,True,True,real_axis_fd
0.3,0.1875,5,3.4764636397289053,9.951178052644059e-15,True,True,real_axis_fd
0.3,0.1875,6,4.463283468805532,3.043582381164681e-15,True,True,real_axis_fd
