theta_case,phi_rad,state,probability
pi_over_2,-2.2689280275926285,02,0.20658795558326729
pi_over_2,-2.251474735072685,20,0.19802207729555993
pi_over_2,-2.251474735072685,11,0.6039558454088795
pi_over_2,-2.251474735072685,02,0.19802207729555993
pi_over_2,-2.234021442552742,20,0.18951952610008294
pi_over_2,-2.234021442552742,11,0.6209609477998336
pi_over_2,-2.234021442552742,02,0.18951952610008294
pi_over_2,-2.2165681500327983,20,0.18109066104574992
pi_over_2,-2.2165681500327983,11,0.6378186779084996
pi_over_2,-2.2165681500327983,02,0.18109066104574995
pi_over_2,-2.199114857512855,20,0.17274575140626294
pi_over_2,-2.199114857512855,11,0.6545084971874736
pi_over_2,-2.199114857512855,02,0.17274575140626303
pi_over_2,-2.181661564992912,20,0.16449496416858272
pi_over_2,-2.181661564992912,11,0.671010071662834
pi_over_2,-2.181661564992912,02,0.16449496416858272
pi_over_2,-2.1642082724729685,20,0.15634835164602182
pi_over_2,-2.1642082724729685,11,0.6873032967079559
pi_over_2,-2.1642082724729685,02,0.15634835164602187
pi_over_2,-2.146754979953025,20,0.14831583923104966
pi_over_2,-2.146754979953025,11,0.7033683215379002
pi_over_2,-2.146754979953025,02,0.14831583923104968
pi_over_2,-2.129301687433082,20,0.14040721330273045
pi_over_2,-2.129301687433082,11,0.7191855733945385
pi_over_2,-2.129301687433082,02,0.14040721330273045
pi_over_2,-2.111848394913139,20,0.13263210930352723
pi_over_2,-2.111848394913139,11,0.7347357813929449
pi_over_2,-2.111848394913139,02,0.13263210930352723
pi_over_2,-2.0943951023931957,20,0.12500000000000003
pi_over_2,-2.0943951023931957,11,0.7499999999999993
pi_over_2,-2.0943951023931957,02,0.12500000000000003
pi_over_2,-2.076941809873252,20,0.11752018394169865
pi_over_2,-2.076941809873252,11,0.7649596321166023
pi_over_2,-2.076941809873252,02,0.11752018394169869
pi_over_2,-2.0594885173533086,20,0.11020177413231308
pi_over_2,-2.0594885173533086,11,0.7795964517353735
pi_over_2,-2.0594885173533086,02,0.11020177413231312
pi_over_2,-2.0420352248333655,20,0.10305368692688159
pi_over_2,-2.0420352248333655,11,0.7938926261462362
pi_over_2,-2.0420352248333655,02,0.10305368692688162
pi_over_2,-2.0245819323134224,20,0.0960846311685854
pi_over_2,-2.0245819323134224,11,0.8078307376628286
pi_over_2,-2.0245819323134224,02,0.0960846311685854
pi_over_2,-2.007128639793479,20,0.08930309757836508
pi_over_2,-2.007128639793479,11,0.8213938048432692
pi_over_2,-2.007128639793479,02,0.08930309757836508
pi_over_2,-1.9896753472735356,20,0.08271734841028532
pi_over_2,-1.9896753472735356,11,0.8345653031794287
pi_over_2,-1.9896753472735356,02,0.08271734841028532
pi_over_2,-1.9722220547535922,20,0.07633540738525055
pi_over_2,-1.9722220547535922,11,0.8473291852294985
pi_over_2,-1.9722220547535922,02,0.07633540738525055
pi_over_2,-1.954768762233649,20,0.07016504991533712
pi_over_2,-1.954768762233649,11,0.8596699001693254
pi_over_2,-1.954768762233649,02,0.07016504991533709
pi_over_2,-1.9373154697137058,20,0.0642137936306514
pi_over_2,-1.9373154697137058,11,0.8715724127386965
pi_over_2,-1.9373154697137058,02,0.0642137936306514
pi_over_2,-1.9198621771937625,20,0.05848888922025543
pi_over_2,-1.9198621771937625,11,0.8830222215594883
pi_over_2,-1.9198621771937625,02,0.058488889220255455
pi_over_2,-1.9024088846738192,20,0.05299731159831945
pi_over_2,-1.9024088846738192,11,0.8940053768033607
pi_over_2,-1.9024088846738192,02,0.05299731159831946
pi_over_2,-1.8849555921538759,20,0.04774575140626309
pi_over_2,-1.8849555921538759,11,0.9045084971874732
pi_over_2,-1.8849555921538759,02,0.0477457514062631
pi_over_2,-1.8675022996339325,20,0.04274060686123953
pi_over_2,-1.8675022996339325,11,0.9145187862775204
pi_over_2,-1.8675022996339325,02,0.04274060686123953
pi_over_2,-1.8500490071139892,20,0.037987975960893455
pi_over_2,-1.8500490071139892,11,0.9240240480782121
pi_over_2,-1.8500490071139892,02,0.037987975960893455
pi_over_2,-1.832595714594046,20,0.03349364905389029
pi_over_2,-1.832595714594046,11,0.933012701892219
pi_over_2,-1.832595714594046,02,0.03349364905389028
pi_over_2,-1.8151424220741026,20,0.029263101785268204
pi_over_2,-1.8151424220741026,11,0.9414737964294628
pi_over_2,-1.8151424220741026,02,0.029263101785268204
pi_over_2,-1.7976891295541593,20,0.02530148842520819
pi_over_2,-1.7976891295541593,11,0.9493970231495835
pi_over_2,-1.7976891295541593,02,0.025301488425208195
pi_over_2,-1.7802358370342162,20,0.021613635589349745
pi_over_2,-1.7802358370342162,11,0.9567727288212999
pi_over_2,-1.7802358370342162,02,0.021613635589349756
pi_over_2,-1.7627825445142729,20,0.018204036358303123
pi_over_2,-1.7627825445142729,11,0.9635919272833933
pi_over_2,-1.7627825445142729,02,0.018204036358303123
pi_over_2,-1.7453292519943295,20,0.015076844803522888
pi_over_2,-1.7453292519943295,11,0.9698463103929537
pi_over_2,-1.7453292519943295,02,0.015076844803522884
pi_over_2,-1.7278759594743862,20,0.012235870926211588
pi_over_2,-1.7278759594743862,11,0.9755282581475763
pi_over_2,-1.7278759594743862,02,0.012235870926211591
pi_over_2,-1.710422666954443,20,0.009684576015420264
pi_over_2,-1.710422666954443,11,0.9806308479691591
pi_over_2,-1.710422666954443,02,0.009684576015420264
pi_over_2,-1.6929693744344996,20,0.007426068431000862
pi_over_2,-1.6929693744344996,11,0.9851478631379977
pi_over_2,-1.6929693744344996,02,0.007426068431000862
pi_over_2,-1.6755160819145563,20,0.005463099816548572
pi_over_2,-1.6755160819145563,11,0.9890738003669025
pi_over_2,-1.6755160819145563,02,0.005463099816548572
pi_over_2,-1.658062789394613,20,0.003798061746947967
pi_over_2,-1.658062789394613,11,0.9924038765061036
pi_over_2,-1.658062789394613,02,0.003798061746947967
pi_over_2,-1.6406094968746696,20,0.002432982814607407
pi_over_2,-1.6406094968746696,11,0.9951340343707844
pi_over_2,-1.6406094968746696,02,0.002432982814607407
pi_over_2,-1.6231562043547265,20,0.0013695261579316658
pi_over_2,-1.6231562043547265,11,0.9972609476841363
pi_over_2,-1.6231562043547265,02,0.0013695261579316658
pi_over_2,-1.6057029118347832,20,0.0006089874350439373
pi_over_2,-1.6057029118347832,11,0.9987820251299118
pi_over_2,-1.6057029118347832,02,0.000608987435043937
pi_over_2,-1.5882496193148399,20,0.0001522932452260668
pi_over_2,-1.5882496193148399,11,0.9996954135095473
pi_over_2,-1.5882496193148399,02,0.00015229324522606676
pi_over_2,-1.5707963267948966,20,0.0
pi_over_2,-1.5707963267948966,11,0.9999999999999996
pi_over_2,-1.5707963267948966,02,0.0
pi_over_2,-1.5533430342749532,20,0.0001522932452260689
pi_over_2,-1.5533430342749532,11,0.9996954135095473
pi_over_2,-1.5533430342749532,02,0.00015229324522606885
pi_over_2,-1.53588974175501,20,0.0006089874350439415
pi_over_2,-1.53588974175501,11,0.9987820251299118
pi_over_2,-1.53588974175501,02,0.0006089874350439414
pi_over_2,-1.5184364492350666,20,0.001369526157931672
pi_over_2,-1.5184364492350666,11,0.9972609476841363
pi_over_2,-1.5184364492350666,02,0.001369526157931672
pi_over_2,-1.5009831567151233,20,0.00243298281460743
pi_over_2,-1.5009831567151233,11,0.9951340343707844
pi_over_2,-1.5009831567151233,02,0.00243298281460743
pi_over_2,-1.48352986419518,20,0.003798061746947999
pi_over_2,-1.48352986419518,11,0.9924038765061034
pi_over_2,-1.48352986419518,02,0.003798061746947999
pi_over_2,-1.4660765716752366,20,0.005463099816548607
pi_over_2,-1.4660765716752366,11,0.9890738003669021
pi_over_2,-1.4660765716752366,02,0.005463099816548609
pi_over_2,-1.4486232791552935,20,0.0074260684310008766
pi_over_2,-1.4486232791552935,11,0.9851478631379977
pi_over_2,-1.4486232791552935,02,0.0074260684310008766
pi_over_2,-1.4311699866353502,20,0.009684576015420278
pi_over_2,-1.4311699866353502,11,0.9806308479691591
pi_over_2,-1.4311699866353502,02,0.009684576015420282
pi_over_2,-1.413716694115407,20,0.012235870926211603
pi_over_2,-1.413716694115407,11,0.9755282581475763
pi_over_2,-1.413716694115407,02,0.012235870926211607
pi_over_2,-1.3962634015954636,20,0.015076844803522907
pi_over_2,-1.3962634015954636,11,0.9698463103929534
pi_over_2,-1.3962634015954636,02,0.015076844803522907
pi_over_2,-1.3788101090755203,20,0.018204036358303144
pi_over_2,-1.3788101090755203,11,0.963591927283393
pi_over_2,-1.3788101090755203,02,0.018204036358303144
pi_over_2,-1.361356816555577,20,0.02161363558934977
pi_over_2,-1.361356816555577,11,0.9567727288212999
pi_over_2,-1.361356816555577,02,0.02161363558934978
pi_over_2,-1.3439035240356336,20,0.02530148842520827
pi_over_2,-1.3439035240356336,11,0.9493970231495831
pi_over_2,-1.3439035240356336,02,0.025301488425208275
pi_over_2,-1.3264502315156903,20,0.02926310178526828
