series_id,y_m,y_mm,R0
FIG001A_R0,-0.0013520000000000001,-1.352,1.2472676866790746e-09
FIG001A_R0,-0.001351,-1.351,1.2105105906968986e-09
FIG001A_R0,-0.00135,-1.35,1.1742403770752539e-09
FIG001A_R0,-0.001349,-1.349,1.1384643843102805e-09
FIG001A_R0,-0.001348,-1.348,1.1031897250144927e-09
FIG001A_R0,-0.001347,-1.3470000000000002,1.0684232840024214e-09
FIG001A_R0,-0.001346,-1.346,1.034171716485983e-09
FIG001A_R0,-0.001345,-1.345,1.0004414463802973e-09
FIG001A_R0,-0.0013440000000000001,-1.344,9.672386647207438e-10
FIG001A_R0,-0.001343,-1.343,9.345693281920983e-10
FIG001A_R0,-0.001342,-1.342,9.024391577703801e-10
FIG001A_R0,-0.001341,-1.341,8.708536374779422e-10
FIG001A_R0,-0.00134,-1.34,8.39818013252781e-10
FIG001A_R0,-0.0013390000000000001,-1.3390000000000002,8.093372919320364e-10
FIG001A_R0,-0.001338,-1.338,7.794162403507935e-10
FIG001A_R0,-0.001337,-1.3370000000000002,7.500593845561124e-10
FIG001A_R0,-0.001336,-1.3359999999999999,7.212710091369997e-10
FIG001A_R0,-0.001335,-1.335,6.930551566705607e-10
FIG001A_R0,-0.0013340000000000001,-1.334,6.654156272845697e-10
FIG001A_R0,-0.001333,-1.333,6.383559783367794e-10
FIG001A_R0,-0.001332,-1.332,6.118795242111176e-10
FIG001A_R0,-0.0013310000000000002,-1.3310000000000002,5.859893362308708e-10
FIG001A_R0,-0.00133,-1.33,5.606882426889741e-10
FIG001A_R0,-0.001329,-1.3290000000000002,5.35978828995457e-10
FIG001A_R0,-0.001328,-1.328,5.118634379418988e-10
FIG001A_R0,-0.001327,-1.327,4.88344170082963e-10
FIG001A_R0,-0.001326,-1.3259999999999998,4.654228842347464e-10
FIG001A_R0,-0.001325,-1.325,4.4310119808984855e-10
FIG001A_R0,-0.001324,-1.324,4.213804889488698e-10
FIG001A_R0,-0.001323,-1.323,4.0026189456802197e-10
FIG001A_R0,-0.001322,-1.322,3.797463141225886e-10
FIG001A_R0,-0.0013210000000000001,-1.3210000000000002,3.5983440928572244e-10
FIG001A_R0,-0.00132,-1.32,3.4052660542219276e-10
FIG001A_R0,-0.001319,-1.3190000000000002,3.218230928965993e-10
FIG001A_R0,-0.0013180000000000002,-1.318,3.0372382849539374e-10
FIG001A_R0,-0.001317,-1.317,2.8622853696216603e-10
FIG001A_R0,-0.0013160000000000001,-1.316,2.693367126455573e-10
FIG001A_R0,-0.001315,-1.315,2.530476212589671e-10
FIG001A_R0,-0.001314,-1.314,2.3736030175141256e-10
FIG001A_R0,-0.001313,-1.313,2.2227356828859273e-10
FIG001A_R0,-0.001312,-1.312,2.0778601234342165e-10
FIG001A_R0,-0.001311,-1.3110000000000002,1.9389600489493856e-10
FIG001A_R0,-0.00131,-1.31,1.8060169873476092e-10
FIG001A_R0,-0.001309,-1.309,1.67901030879986e-10
FIG001A_R0,-0.0013080000000000001,-1.308,1.5579172509144142e-10
FIG001A_R0,-0.001307,-1.307,1.4427129449619263e-10
FIG001A_R0,-0.001306,-1.306,1.3333704431313168e-10
FIG001A_R0,-0.001305,-1.305,1.229860746803697e-10
FIG001A_R0,-0.001304,-1.304,1.1321528358322456e-10
FIG001A_R0,-0.0013030000000000001,-1.3030000000000002,1.0402136988140666e-10
FIG001A_R0,-0.001302,-1.302,9.540083643407423e-11
FIG001A_R0,-0.001301,-1.3010000000000002,8.734999332133816e-11
FIG001A_R0,-0.0013,-1.3,7.986496116069641e-11
