group,state_class,profile_index,site,real_energy,imag_energy,probability
figs1,alm,1,98,2.4636947712956117,-1.4996168580902305e-15,1.2898038964446013e-69
figs1,alm,1,99,2.4636947712956117,-1.4996168580902305e-15,6.074910302601704e-70
figs1,alm,1,100,2.4636947712956117,-1.4996168580902305e-15,6.7172407865251155e-71
figs1,alm,1,101,2.4636947712956117,-1.4996168580902305e-15,1.7381656672356735e-73
figs1,alm,1,102,2.4636947712956117,-1.4996168580902305e-15,4.624862131899906e-74
figs1,alm,1,103,2.4636947712956117,-1.4996168580902305e-15,2.7562725398401894e-75
figs1,alm,1,104,2.4636947712956117,-1.4996168580902305e-15,7.880321571196507e-75
figs1,alm,1,105,2.4636947712956117,-1.4996168580902305e-15,2.7628710741519236e-75
figs1,alm,1,106,2.4636947712956117,-1.4996168580902305e-15,3.814908612981248e-77
figs1,alm,1,107,2.4636947712956117,-1.4996168580902305e-15,7.859559521819808e-78
figs1,alm,1,108,2.4636947712956117,-1.4996168580902305e-15,3.8630290291605625e-79
figs1,alm,1,109,2.4636947712956117,-1.4996168580902305e-15,2.3859819512591784e-79
figs1,alm,1,110,2.4636947712956117,-1.4996168580902305e-15,1.5049252536659461e-81
figs1,alm,1,111,2.4636947712956117,-1.4996168580902305e-15,1.916767595959469e-84
figs1,alm,1,112,2.4636947712956117,-1.4996168580902305e-15,1.6466338081012431e-84
figs1,alm,1,113,2.4636947712956117,-1.4996168580902305e-15,2.589575200166215e-85
figs1,alm,1,114,2.4636947712956117,-1.4996168580902305e-15,1.2104348368430411e-85
figs1,alm,1,115,2.4636947712956117,-1.4996168580902305e-15,3.9839777195969848e-87
figs1,alm,1,116,2.4636947712956117,-1.4996168580902305e-15,7.931573590146391e-89
figs1,alm,1,117,2.4636947712956117,-1.4996168580902305e-15,3.9156665808416447e-91
figs1,alm,1,118,2.4636947712956117,-1.4996168580902305e-15,1.861146589047485e-92
figs1,alm,1,119,2.4636947712956117,-1.4996168580902305e-15,5.898308778927539e-94
figs1,alm,1,120,2.4636947712956117,-1.4996168580902305e-15,3.6873762323323656e-95
figs1,alm,1,121,2.4636947712956117,-1.4996168580902305e-15,9.472454695720247e-98
figs1,alm,1,122,2.4636947712956117,-1.4996168580902305e-15,9.229084853713133e-101
figs1,alm,1,123,2.4636947712956117,-1.4996168580902305e-15,1.4235867571202697e-101
figs1,alm,1,124,2.4636947712956117,-1.4996168580902305e-15,8.63628502515737e-104
figs1,alm,1,125,2.4636947712956117,-1.4996168580902305e-15,3.142303509302592e-104
figs1,alm,1,126,2.4636947712956117,-1.4996168580902305e-15,9.773550959868286e-106
figs1,alm,1,127,2.4636947712956117,-1.4996168580902305e-15,3.230395132294967e-107
