group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,1.075,-0.5133333333333334,-0.21000496972029903,3.7062301267356594e-05,-0.16878296829950665,-1
figs2,1.1624999999999999,-0.5133333333333334,-0.22949122706248445,3.0422589485294886e-06,-0.14029773340072413,-1
figs2,1.25,-0.5133333333333334,-0.21785675488240902,9.186825993872449e-08,-0.11468812252925874,-1
figs2,1.3375,-0.5133333333333334,-0.20400716408662573,0.0,-0.09116426906996163,-1
figs2,1.4249999999999998,-0.5133333333333334,-0.19400097852902282,0.0,-0.06921957108344065,-1
figs2,1.5124999999999997,-0.5133333333333334,-0.18664176465834753,0.0,-0.048506127902353896,-1
figs2,1.5999999999999996,-0.5133333333333334,-0.18085562774482133,0.0,-0.028775446848481875,-1
figs2,1.6875,-0.5133333333333334,-0.17605017880597823,0.0,-0.009846627806126914,-1
figs2,1.775,-0.5133333333333334,-0.17189824299299264,0.0,0.008413416999089783,1
figs2,1.8624999999999998,-0.5133333333333334,-0.16821480406020697,0.0,0.026104238841576574,1
figs2,1.9499999999999997,-0.5133333333333334,-0.16488824573194533,0.0,0.04330277898805446,1
figs2,2.0374999999999996,-0.5133333333333334,-0.16184027097183862,0.0,0.06007131616491557,1
figs2,2.125,-0.5133333333333334,-0.15900548188288655,0.0,0.07646234853591119,1
figs2,2.2125,-0.5133333333333334,-0.1563258388666529,0.0,0.09252063622740839,1
figs2,2.3,-0.5133333333333334,-0.1537543168943937,0.0,0.1082833043939137,1
figs2,2.3874999999999997,-0.5133333333333334,-0.1512614283693287,0.0,0.12377925436659214,1
figs2,2.4749999999999996,-0.5133333333333334,-0.14883756226411465,0.0,0.13902911726751135,1
figs2,2.5625,-0.5133333333333334,-0.14648780337001668,0.0,0.15404630341189726,1
figs2,2.65,-0.5133333333333334,-0.14422484800960594,0.0,0.16883857487412054,1
figs2,2.7375,-0.5133333333333334,-0.14206811421428547,0.0,0.18340940483405974,1
figs2,2.8249999999999997,-0.5133333333333334,-0.14004837191821992,0.0,0.19775935479149565,1
figs2,2.9124999999999996,-0.5133333333333334,-0.13820369841801444,0.0,0.21188866034655196,1
figs2,3.0,-0.5133333333333334,-0.13655660986106305,0.0,0.22580135591532102,1
figs2,3.0875,-0.5133333333333334,-0.13509395762162635,0.0,0.23950821081397422,1
figs2,3.175,-0.5133333333333334,-0.13377731567865075,0.0,0.2530255153307289,1
figs2,3.2624999999999997,-0.5133333333333334,-0.1325691593938517,0.0,0.2663713203528127,1
figs2,3.3499999999999996,-0.5133333333333334,-0.13144389299033704,0.0,0.2795627139816922,1
figs2,3.4374999999999996,-0.5133333333333334,-0.130383090915202,0.0,0.2926149094146346,1
figs2,3.5249999999999995,-0.5133333333333334,-0.12937061864089225,0.0,0.3055409253951717,1
figs2,3.6125,-0.5133333333333334,-0.12839478301478102,0.0,0.31835096895853116,1
