kx_over_2pi_mod,ky_over_2pi_mod,initial_trace_deviation,exact_trace_deviation,small_q_trace_deviation,initial_half_trace,initial_half_curvature,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.7021276595744681,0.02157813289745262,0.0001157886194187379,0.05372483506246853,0.05986060811431457,-0.03828247521686195,0.00012532802351163913,-9.539404092901235e-06,0.06688914060580067,-0.01316430554333214
0.0,0.7092198581560284,0.018508648903757377,0.00010499809073591466,0.04590226178943822,0.057954899817961224,-0.03944625091420385,0.00012188792342610767,-1.6889832690193006e-05,0.06416658225506135,-0.018264320465623124
0.0,0.7163120567375887,0.01587837350764995,9.508526899204634e-05,0.03908471420599141,0.05625779242518289,-0.04037941891753294,0.00011893638777916151,-2.3851118787115167e-05,0.06185486758733731,-0.0227701533813459
0.0,0.723404255319149,0.01362082531795561,8.597186753220302e-05,0.03316747861886693,0.05474104694564158,-0.04112022162768597,0.00011643681298190519,-3.046494544970217e-05,0.059897690377179603,-0.026730211758312677
0.0,0.7304964539007093,0.011680513835357793,7.759006192670223e-05,0.028052187118268502,0.05338095772694282,-0.041700443891585025,0.00011435647059541859,-3.676640866871637e-05,0.058243479471840574,-0.030191292353572072
0.0,0.7375886524822695,0.010010950338619352,6.988072603672114e-05,0.02364738543777336,0.05215753055266403,-0.04214658021404468,0.00011266577059709218,-4.278504456037104e-05,0.05684562779880594,-0.03319824236103258
0.0,0.7446808510638298,0.008573047961179858,6.279196516574949e-05,0.019868825594116235,0.05105382476865061,-0.042480776807470755,0.00011133765559813656,-4.854569043238707e-05,0.05566255168772719,-0.03579372609361096
0.0,0.75177304964539,0.007333829740102979,5.627789589682081e-05,0.016639539043700163,0.0500554241558095,-0.04272159441570652,0.000110347103404589,-5.406920750776819e-05,0.054657613529373296,-0.03801807448567313
0.0,0.7588652482269503,0.006265381274402244,5.0297631099871916e-05,0.013889738719506953,0.049150009301700895,-0.04288462802729865,0.00010967071957041714,-5.937308847054522e-05,0.053798937495654085,-0.03990919877614713
0.0,0.7659574468085106,0.005343998373240837,4.4814435922877516e-05,0.011556591229688842,0.04832701038100142,-0.042983012007760585,0.00010928640500770769,-6.447196908483018e-05,0.05305914465652434,-0.041502553426835495
0.0,0.7730496453900709,0.004549490747210692,3.979502660678654e-05,0.00958389393862568,0.047577323912202964,-0.04302783316499227,0.0001091730864508927,-6.937805984410616e-05,0.052415030487942195,-0.042831136549316515
0.0,0.7801418439716312,0.003864611033827535,3.5208988889175915e-05,0.00792168573584074,0.04689308067225785,-0.043028469638430315,0.00010931049976301638,-7.410151087384047e-05,0.051847204558448,-0.04392551882260726
0.0,0.7872340425531915,0.003274584889219896,3.1028296790415013e-05,0.006525815074409469,0.046267454683847624,-0.04299286979462773,0.00010967901782436638,-7.865072103395136e-05,0.05133970916366009,-0.04481389408925062
0.0,0.7943262411347518,0.0027667228689853066,2.7226915860391717e-05,0.005357484323531662,0.04569450534874536,-0.042927782479760056,0.00011025951615441168,-8.303260029401996e-05,0.05087963087821043,-0.04552214655467877
0.0,0.8014184397163121,0.0023300987568794507,2.3780477648696656e-05,0.004382785591677978,0.045169046425471086,-0.042838947668591636,0.00011103327054981032,-8.725279290111366e-05,0.05045671642763724,-0.04607393083595926
