time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
4.0,3.152651536009446,5.058748694893073,1.0000000000000002,1.0000000000000002,0.9999493392317085,1.0,2.828520405738533,5.054467125709398,0.8931553127339937,0.9991195174465364,0.3495297017252653,0.3342387203862985,2.220446049250313e-16,2.220446049250313e-16
4.04,3.151697958684316,5.055266895670996,1.0,1.0000000000000002,0.9999045547131447,1.0,2.7994227040399657,5.050996633637103,0.883469394280888,0.9991216655210794,0.3489261103566219,0.3330315376490116,2.220446049250313e-16,2.220446049250313e-16
4.08,3.1508064313355066,5.051807474166868,1.0000000000000002,1.0000000000000002,0.9998258770515108,1.0,2.7683016938650673,5.047548383864697,0.8729952431423548,0.9991237859155377,0.34832251898797845,0.3328303405261305,2.220446049250313e-16,2.220446049250313e-16
4.12,3.1499593463840583,5.048370122313475,1.0,1.0,0.9996919888991078,1.0,2.7350605131178365,5.044122070814468,0.8616872246112455,0.9991258791007425,0.34731653337357277,0.33262914340324934,2.220446049250313e-16,2.220446049250313e-16
4.16,3.149132998967581,5.044954538046191,1.0,1.0000000000000002,0.9994710065285434,1.0,2.6996096968992562,5.040717394845446,0.849500280298313,0.9991279455355248,0.3467129420049293,0.33182435491172474,2.220446049250313e-16,2.220446049250313e-16
4.2,3.1482945759908567,5.041560425139856,1.0,1.0,0.9991168224684697,1.0,2.661868944308687,5.037334062092564,0.8363905303417227,0.9991299856671132,0.3461093506362859,0.33081836929731906,2.220446049250313e-16,2.220446049250313e-16
4.24,3.147398277968074,5.038187493051638,1.0000000000000002,1.0000000000000002,0.998564921001607,1.0,2.621768929863709,5.033971784311697,0.8223159536454044,0.999131999931515,0.34530456214476135,0.3302147779286756,2.220446049250313e-16,2.220446049250313e-16
4.28,3.1463805314494535,5.034835456769594,1.0000000000000002,1.0000000000000002,0.9977279021247688,1.0,2.579253127201483,5.030630278730329,0.8072371595408887,0.9991339887538825,0.34449977365323675,0.3292087923142699,2.220446049250313e-16,2.220446049250313e-16
4.32,3.145154341732536,5.0315040366666866,1.0,1.0,0.9964910847067718,1.0,2.53427961497467,5.027309267903564,0.7911182709338939,0.9991359525488644,0.34731653337357277,0.3290075951913888,2.220446049250313e-16,2.220446049250313e-16
4.36,3.1436029579679996,5.028192958360018,1.0,1.0000000000000002,0.9947086887115836,1.0,2.486822838218531,5.024008479575277,0.773927945152378,0.999137891720944,0.35234646144560133,0.32860520094562645,2.220446049250313e-16,2.220446049250313e-16
4.4,3.14157316786442,5.024901952575011,1.0000000000000002,1.0,0.9922011965828081,1.0000000000000002,2.4368753016019467,5.020727646544154,0.7556405622527963,0.9991398066647642,0.35295005281424474,0.32800160957698304,2.220446049250313e-16,2.220446049250313e-16
4.44,3.1388686929487934,5.021630755014386,1.0,1.0000000000000002,0.9887545411729888,1.0,2.3844491723950907,5.0174665065344115,0.7362376089630032,0.9991416977654388,0.35295005281424474,0.3278004124541019,2.220446049250313e-16,2.220446049250313e-16
