L,W,mu,chi_typ_r,samples
31,20.0,1.0,0.3044295362349848,5
31,24.0,0.0001,677.4918834580441,5
31,24.0,0.0003,438.1478795842674,5
31,24.0,0.001,209.78724434722724,5
31,24.0,0.003,85.18937138617547,5
31,24.0,0.01,26.40244633362954,5
31,24.0,0.03,8.432894615079864,5
31,24.0,0.1,2.490585314869417,5
31,24.0,0.3,0.8732664993588699,5
31,24.0,1.0,0.2739377770853322,5
