L,V,W,sample,mu_star,omega_av,omega_typ,gap_ratio,ipr,chi_typ_r,chi_av_r,chi_typ,tilde_chi_typ_r,tilde_chi_av_r,tilde_chi_typ
5,125,2.0,2,0.5347225614084232,0.05537363461670843,0.04373557624982859,0.46525436246531876,0.02338184554158772,0.3176132433290299,0.3309489769162788,21.823841978739452,0.16983496701013567,0.17696588463216972,0.9544783049253693
5,125,2.0,3,0.5235307966159229,0.05421466220921598,0.041580100877643064,0.46559791762291386,0.023980405341925956,0.3901060000664057,0.4114100773659641,43.215623128434444,0.20423250497941667,0.21538584553922166,1.796909969170509
5,125,3.0,0,0.5476999430656448,0.056717518047165925,0.047404720406329155,0.5565580891347583,0.022830010938030755,0.39471465618519636,0.40667385557044944,25.987117199369123,0.21618519471980763,0.22273524754222143,1.2319120250026008
5,125,3.0,1,0.5161150253601765,0.0534467159178996,0.04296915084700902,0.44656720092959445,0.02552382385113741,0.46570085442295406,0.479163656061588,28.14629909680163,0.2403552082907588,0.24730356249990137,1.2094225716755032
5,125,3.0,2,0.5623213315676573,0.05823164795851068,0.047496116853018557,0.46200126916022655,0.02338329158417598,0.3926105949354755,0.40540212928252606,14.750047887689153,0.22077331253168672,0.2279662651585136,0.7005699980613035
5,125,3.0,3,0.5447148497340233,0.056408394252189686,0.0500176987757674,0.5479202932047347,0.023713454781059243,0.4142764605545799,0.425208731440962,18.32306731096169,0.22566253995933103,0.23161751025245828,0.9164776614077922
5,125,4.0,0,0.5223787599856086,0.05409536210849821,0.04370893074915029,0.5672536387296659,0.026566479282407535,0.4828819788737706,0.49359716588245084,23.64893475662483,0.2522472893434771,0.2578446754460854,1.033669651568488
5,125,4.0,1,0.5606391418272355,0.058057447416463716,0.049424862702864204,0.5841027645334995,0.02404379111218752,0.3856068435671458,0.39381501337291214,12.875677163526833,0.21618628986019367,0.22078811113607075,0.6363785760137177
5,125,4.0,2,0.5778799241204193,0.05984283080611236,0.054411805917557385,0.6789094023773397,0.02425662441945074,0.38779388810544424,0.3940802788424203,17.33827218067006,0.2240983026327365,0.22773108163481154,0.9434067008404038
5,125,4.0,3,0.5936717362086108,0.061478164894511377,0.05401503362260427,0.6083077120930972,0.026005240768229968,0.37686766267072386,0.3830794551153771,10.73085652708656,0.22373567961860968,0.22742344522419453,0.5796275761099231
