chi_over_J,gamma_c,eta_c_over_J,eta_c_raw_finite_chain,thermodynamic_alias_corrected
1.5,0.435,0.12190941367181714,0.12190941367181714,0
1.5,0.4375,0.13560289372251247,0.13560289372251247,0
1.5,0.44,0.12461468410907736,0.12461468410907736,0
1.5,0.4425,0.12441903222340688,0.12441903222340688,0
1.5,0.445,0.13534280186802275,0.13534280186802275,0
1.5,0.4475,0.1384521664904033,0.1384521664904033,0
1.5,0.45,0.13881268730081017,0.13881268730081017,0
1.5,0.4525,0.13755874916900018,0.13755874916900018,0
1.5,0.455,0.16602161929265188,0.16602161929265188,0
1.5,0.4575,0.1246583529593207,0.1246583529593207,0
1.5,0.46,0.11306930879542557,0.11306930879542557,0
1.5,0.4625,0.09689013094313007,0.09689013094313007,0
1.5,0.465,0.07506604704149271,0.07506604704149271,0
1.5,0.4675,0.04662555520664572,0.04662555520664572,0
1.5,0.47000000000000003,0.04577113436158521,0.04577113436158521,0
1.5,0.47250000000000003,0.1647680193151988,0.1647680193151988,0
1.5,0.47500000000000003,0.053270619950685126,0.053270619950685126,0
1.5,0.47750000000000004,0.05520834675697286,0.05520834675697286,0
1.5,0.48,0.08264220972935185,0.08264220972935185,0
1.5,0.4825,0.10518906165977779,0.10518906165977779,0
1.5,0.485,0.12043341316301509,0.12043341316301509,0
1.5,0.4875,0.13281176552873253,0.13281176552873253,0
1.5,0.49,0.14221924302419228,0.14221924302419228,0
1.5,0.4925,0.14890979870839183,0.14890979870839183,0
1.5,0.495,0.15319400964783964,0.15319400964783964,0
1.5,0.4975,0.1545110120660607,0.1545110120660607,0
1.5,0.5,0.15451101206606077,0.11101868062660841,1
1.5,0.5025000000000001,0.15451101206606088,0.15451101206606088,0
1.5,0.505,0.15319400964784335,0.15319400964784335,0
1.5,0.5075000000000001,0.14890979870839097,0.14890979870839097,0
1.5,0.51,0.1422192430241904,0.1422192430241904,0
1.5,0.5125,0.13281176552873458,0.13281176552873458,0
1.5,0.515,0.12043341316301862,0.12043341316301862,0
1.5,0.5175,0.10518906165977553,0.10518906165977553,0
1.5,0.52,0.08264220972935152,0.08264220972935152,0
1.5,0.5225,0.055208346756974606,0.055208346756974606,0
1.5,0.525,0.053270619950680394,0.053270619950680394,0
1.5,0.5275,0.16476801931519508,0.16476801931519508,0
1.5,0.53,0.04577113436158689,0.04577113436158689,0
1.5,0.5325,0.04662555520664587,0.04662555520664587,0
1.5,0.535,0.07506604704149288,0.07506604704149288,0
1.5,0.5375,0.09689013094312933,0.09689013094312933,0
1.5,0.54,0.1130693087954269,0.1130693087954269,0
1.5,0.5425,0.12465835295932116,0.12465835295932116,0
1.5,0.545,0.16602161929265544,0.16602161929265544,0
1.5,0.5475,0.13755874916900412,0.13755874916900412,0
1.5,0.55,0.13881268730080926,0.13881268730080926,0
