field_g,momentum_k,energy
0.0,1.5585244804918115,2.0
0.0,1.5830681730979816,2.0
0.0,1.607611865704152,2.0
0.0,1.6321555583103222,1.9999999999999998
0.0,1.6566992509164924,1.9999999999999998
0.0,1.6812429435226628,2.0
0.0,1.705786636128833,1.9999999999999998
0.0,1.7303303287350031,2.0
0.0,1.7548740213411735,1.9999999999999998
0.0,1.7794177139473437,2.0
0.0,1.8039614065535141,2.0
0.0,1.8285050991596843,1.9999999999999998
0.0,1.8530487917658545,2.0
0.0,1.8775924843720249,2.0
0.0,1.902136176978195,2.0
0.0,1.9266798695843652,2.0
0.0,1.9512235621905356,2.0
0.0,1.9757672547967058,2.0
0.0,2.000310947402876,2.0
0.0,2.024854640009046,1.9999999999999998
0.0,2.0493983326152168,2.0
0.0,2.073942025221387,2.0
0.0,2.098485717827557,2.0
0.0,2.1230294104337273,1.9999999999999998
0.0,2.1475731030398975,2.0
0.0,2.172116795646068,2.0
0.0,2.1966604882522383,2.0
0.0,2.2212041808584084,2.0
0.0,2.2457478734645786,2.0
0.0,2.270291566070749,2.0
0.0,2.2948352586769194,2.0
0.0,2.3193789512830896,2.0
0.0,2.3439226438892597,2.0
0.0,2.36846633649543,2.0
0.0,2.3930100291016,2.0
0.0,2.4175537217077703,2.0
0.0,2.442097414313941,2.0
0.0,2.466641106920111,2.0
0.0,2.4911847995262812,2.0
0.0,2.5157284921324514,1.9999999999999998
0.0,2.5402721847386216,2.0
0.0,2.564815877344792,2.0
0.0,2.5893595699509624,2.0
0.0,2.6139032625571326,2.0
0.0,2.6384469551633027,1.9999999999999998
0.0,2.662990647769473,2.0
0.0,2.6875343403756435,2.0
0.0,2.7120780329818137,2.0
0.0,2.736621725587984,1.9999999999999998
0.0,2.761165418194154,2.0
0.0,2.7857091108003242,2.0
0.0,2.8102528034064944,2.0
0.0,2.834796496012665,2.0
0.0,2.859340188618835,2.0
0.0,2.8838838812250054,2.0
0.0,2.9084275738311756,1.9999999999999998
0.0,2.9329712664373457,1.9999999999999998
0.0,2.9575149590435164,1.9999999999999998
0.0,2.9820586516496865,2.0
0.0,3.0066023442558567,2.0
0.0,3.031146036862027,2.0
0.0,3.055689729468197,2.0
0.0,3.0802334220743677,1.9999999999999998
0.0,3.104777114680538,2.0
0.0,3.129320807286708,2.0
0.5,0.01227184630308513,1.0001505849837922
0.5,0.03681553890925539,1.0013543137404473
0.5,0.06135923151542565,1.003756717735629
0.5,0.0859029241215959,1.0073477806938813
0.5,0.11044661672776616,1.0121127012297475
0.5,0.1349903093339364,1.0180321499289104
0.5,0.1595340019401067,1.02508259538857
0.5,0.18407769454627693,1.0332366864736922
0.5,0.2086213871524472,1.0424636766436948
0.5,0.23316507975861744,1.052729875693551
0.5,0.25770877236478773,1.0639991145769772
0.5,0.28225246497095796,1.0762332100143244
0.5,0.30679615757712825,1.08939241716804
0.5,0.3313398501832985,1.1034358606089953
0.5,0.35588354278946877,1.1183219359154593
0.5,0.380427235395639,1.1340086763808899
0.5,0.4049709280018093,1.1504540813260513
0.5,0.4295146206079795,1.167616404320319
0.5,0.4540583132141498,1.18545440115771
0.5,0.47860200582032003,1.2039275386785468
0.5,0.5031456984264903,1.2229961664773825
0.5,0.5276893910326605,1.2426216542108273
0.5,0.5522330836388308,1.2627664976467106
0.5,0.5767767762450011,1.2833943968167572
0.5,0.6013204688511713,1.3044703096889168
0.5,0.6258641614573416,1.3259604847014186
0.5,0.6504078540635119,1.3478324753338102
0.5,0.6749515466696822,1.3700551396610363
0.5,0.6994952392758523,1.3925986275701137
0.5,0.7240389318820226,1.4154343580350743
0.5,0.7485826244881929,1.4385349885596626
0.5,0.7731263170943632,1.4618743786196973
0.5,0.7976700097005334,1.485427548675501
0.5,0.8222137023067037,1.5091706360840007
0.5,0.8467573949128739,1.5330808490224228
0.5,0.8713010875190442,1.5571364193418746
0.5,0.8958447801252144,1.5813165550990902
0.5,0.9203884727313847,1.605601393367201
0.5,0.944932165337555,1.6299719537998942
0.5,0.9694758579437253,1.6544100933159067
0.5,0.9940195505498954,1.6788984621804304
