generator,instance,phase_index,eigenphase
qr_haar,3,17,3.418887631556112
qr_haar,3,18,3.7291670945470647
qr_haar,3,19,3.888363693399373
qr_haar,3,20,4.04474315502037
qr_haar,3,21,4.196813026775509
qr_haar,3,22,4.439907714391674
qr_haar,3,23,4.689179270143717
qr_haar,3,24,4.798103462634879
qr_haar,3,25,4.9047036210670445
qr_haar,3,26,5.222247428771292
qr_haar,3,27,5.446260114756585
qr_haar,3,28,5.604333709048839
qr_haar,3,29,5.798301472781785
qr_haar,3,30,5.9897070396626795
qr_haar,3,31,6.0848019556973325
qr_haar,4,0,0.033110999906654205
qr_haar,4,1,0.1464536359206161
qr_haar,4,2,0.34111729508979205
qr_haar,4,3,0.4568678937507489
qr_haar,4,4,0.8384390120428525
qr_haar,4,5,1.0885539232763233
qr_haar,4,6,1.1594074376932122
qr_haar,4,7,1.289791518631015
qr_haar,4,8,1.5231680001198113
qr_haar,4,9,1.7931072569414233
qr_haar,4,10,1.925733247124344
qr_haar,4,11,2.331258097636806
qr_haar,4,12,2.487149956225491
qr_haar,4,13,2.596300607035527
qr_haar,4,14,2.8771602741118456
qr_haar,4,15,3.0416585366712345
qr_haar,4,16,3.1905210143527354
qr_haar,4,17,3.4881629949932025
qr_haar,4,18,3.696954370807035
qr_haar,4,19,3.74885259407129
qr_haar,4,20,4.031574156756387
qr_haar,4,21,4.232267614128326
qr_haar,4,22,4.371824108415281
qr_haar,4,23,4.727013385345718
qr_haar,4,24,4.81017219429044
qr_haar,4,25,4.961455697644621
qr_haar,4,26,5.02944932851145
qr_haar,4,27,5.551356101513365
qr_haar,4,28,5.616268115933385
qr_haar,4,29,5.862501517171589
qr_haar,4,30,6.043114451431355
qr_haar,4,31,6.11498114410015
qr_haar,5,0,0.12795049001954698
qr_haar,5,1,0.5438879587890922
qr_haar,5,2,0.8161951747889065
qr_haar,5,3,0.9540053006573628
qr_haar,5,4,1.0088542364617579
qr_haar,5,5,1.2962034045239872
qr_haar,5,6,1.5314157745679111
qr_haar,5,7,1.678277496821906
qr_haar,5,8,1.9081523111045966
qr_haar,5,9,2.0102714498889074
qr_haar,5,10,2.250305805784602
qr_haar,5,11,2.4684127544298993
qr_haar,5,12,2.6300752930295723
qr_haar,5,13,2.7299204120317655
qr_haar,5,14,3.059935885778907
qr_haar,5,15,3.2758199898661338
qr_haar,5,16,3.3845990589206756
