state_index_1_based,graph_E_probability,graph_F_probability
441,5.619839031296868e-10,5.154990103174472e-10
442,4.893279504726239e-09,8.271766511940425e-09
443,8.713021142607273e-10,3.1947555567347326e-10
444,1.2701632235506558e-09,2.0942914916604088e-07
445,1.8122704698586476e-11,4.872370974292447e-11
446,2.966082813398251e-13,3.518266231293384e-13
447,6.805867324206966e-13,1.2021638967283487e-08
448,6.255005112100448e-07,1.7195844032642084e-07
449,8.550475429937327e-09,3.3141859413768576e-07
450,2.4371593650841853e-08,1.681512301748925e-07
451,2.498940903482722e-08,3.1457629209469087e-09
452,2.751164699076803e-09,5.793821639697567e-09
453,5.547220037388241e-12,5.179448522385128e-09
454,4.575405904362391e-10,1.2723536679196952e-10
455,2.561601733940092e-10,1.2353361864661744e-10
456,3.480908213964103e-14,4.299064244528111e-09
457,1.9819285845712777e-10,6.520510931004797e-10
458,9.742644308114257e-10,5.592489548224831e-09
459,1.9827817663444994e-13,1.5158208735943867e-10
460,3.0121710703411818e-09,2.5254430894736466e-09
461,2.152568574538057e-08,2.0939468616434934e-08
462,1.0514388413924181e-10,9.260402072844905e-07
463,2.1525685745346654e-08,6.533156284212866e-08
464,2.7598946037412787e-08,6.51052184337191e-10
465,8.75697416781949e-09,4.127408768170826e-06
466,1.0514388413981945e-10,3.128185439911564e-10
467,8.756974167823194e-09,2.2780372937241962e-08
468,7.095981340749975e-13,3.611378504883384e-10
469,2.0676758755953916e-08,1.8825020014014676e-07
470,2.7511646990655664e-09,1.0289258313860321e-08
471,7.445512470793379e-08,1.88098252679983e-05
472,2.751164699060151e-09,2.83770727706185e-08
473,2.561601733938128e-10,6.944129916953237e-11
474,9.742644308133826e-10,1.4430952527340743e-06
475,7.445512470807783e-08,5.949166756263498e-09
476,9.742644308103373e-10,5.5924895482270544e-09
477,2.4413056215102567e-10,1.252856942325287e-07
478,2.714765656966767e-12,1.3053340472989466e-11
479,3.1994021656602895e-12,1.2488065061588494e-09
480,2.6667051462023735e-12,2.9331819551920624e-09
481,3.1994021656738495e-12,5.12128610328648e-09
482,1.2021432249067423e-13,1.8815953193515094e-10
483,1.697702158227351e-14,1.1878411676675072e-09
484,2.6667051462075882e-12,3.338539926628459e-12
485,1.6977021582075717e-14,6.740169556930851e-13
486,3.099825800087545e-14,5.45421045151238e-13
487,4.2349668921451534e-08,1.9718781949854693e-09
488,1.8694494536516847e-07,1.0361783460763358e-06
489,7.491047852462929e-07,1.2912293381186653e-07
490,1.8694494536481942e-07,7.620279516763906e-10
491,7.010662873589105e-07,1.9887562828222743e-08
492,6.718450452334284e-07,2.275596441218304e-06
493,7.49104785244138e-07,2.2408639831077665e-07
494,6.718450452354806e-07,1.3678687286323909e-05
