state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
155,3.478972391327383e-08,9.253286718157125e-10,1.2228361530857664e-07
156,1.2951467817486688e-07,7.074301237939621e-11,4.109976807317436e-10
157,3.862024813685522e-15,2.281777577067228e-15,8.444014963423188e-11
158,8.864341341709795e-12,5.762156671201355e-10,1.6834612353255865e-08
159,0.0005466037259654849,8.548797404556308e-13,3.4147165865579744e-09
160,1.0042637731800206e-09,1.1855589385022287e-10,2.4950279292281187e-07
161,3.023508641969011e-05,2.4717675944679216e-10,2.118437500066121e-08
162,4.736511798894703e-14,5.762156671201057e-10,1.6834612353253678e-08
163,2.838589207553324e-13,1.3977552889897848e-15,7.10023540365294e-08
164,2.298768011537157e-09,7.3888732790432396e-09,1.4207691941298168e-06
165,1.1274868874154698e-10,4.947342504490493e-10,4.681025437417852e-06
166,6.055665674561378e-06,6.920280693821278e-10,1.4964676848503847e-06
167,1.2866879594110817e-13,8.548797404556512e-13,3.414716586550313e-09
168,2.337814364885618e-12,7.388873279041783e-09,1.4207691941289276e-06
169,2.9677100336951745e-12,6.371518058794332e-15,9.326569545766047e-08
170,3.414934716423152e-11,1.2138963078425786e-07,2.502511705942543e-06
171,6.592219167514562e-06,9.253286718161164e-10,1.2228361530866054e-07
172,7.51057235347559e-14,1.185558938501759e-10,2.4950279292287863e-07
173,1.107602332877581e-11,4.947342504482235e-10,4.681025437417593e-06
174,8.130920568329363e-09,1.2138963078424945e-07,2.5025117059426416e-06
175,3.352482933468021e-14,5.154838537468471e-15,5.095995375046819e-10
176,9.159194130085886e-06,1.2851098424869022e-05,3.819254257284825e-08
177,2.829615858720706e-11,2.471767594468254e-10,2.1184375000586567e-08
178,1.8037165643189404e-12,5.14624729008802e-06,9.777536080299542e-08
179,2.1397911088042082e-08,2.7489691185251866e-05,2.0110112151327415e-05
180,2.238119820623632e-10,0.00043865149784979326,8.036338503867789e-08
181,3.023508641968492e-05,3.011177434358465e-06,2.1184375000642524e-08
182,4.736511798885137e-14,5.762156671201937e-10,1.683461235324893e-08
183,2.8385892075460875e-13,0.0001363752365353929,7.100235403672015e-08
184,2.2987680115384343e-09,0.000582416021765562,1.4207691941297577e-06
185,1.1274868874149992e-10,0.00922986314843239,4.681025437417414e-06
186,4.306410139780564e-06,1.3669529542693785e-11,9.777536080313862e-08
187,9.868218065309888e-13,1.3977552889964781e-15,7.100235403666148e-08
188,1.199931584587062e-14,2.7173404985037713e-12,8.392133815437035e-10
189,9.63099024840786e-12,1.3316590752010502e-10,2.2051550246626038e-06
190,6.798209368726507e-11,2.281567171391185e-09,9.796125921593369e-06
191,1.4573615506785404e-05,0.01387055259879493,2.0110112151329384e-05
192,1.2193758221598222e-11,7.388873279037675e-09,1.4207691941284562e-06
193,1.1203017292793093e-13,0.00014135261209158943,2.2051550246632213e-06
194,5.5185326503473343e-14,2.6272973749983152e-09,1.9676113607943627e-07
195,8.894481668845026e-13,4.840510233904547e-06,0.03847537225783238
196,0.0007206917349604801,0.00014999365393870916,8.036338503861273e-08
197,6.804203878687646e-13,4.94734250448373e-10,4.681025437417409e-06
198,1.3646107130380763e-11,0.020415875060082817,9.796125921591682e-06
199,4.012297189169502e-11,1.494196751958502e-08,0.03847537225783225
200,6.352996541776149e-12,5.220988481940488e-12,1.0372352428265764e-07
201,2.4905342625105502e-05,1.9957610162847048e-06,9.552191965550458e-08
202,2.1555740099207094e-08,6.92028069382007e-10,1.496467684850997e-06
203,4.307194569924957e-11,2.74896911852507e-05,2.0110112151327452e-05
204,5.020511877962138e-10,2.153935757424991e-09,6.731274152965212e-09
205,1.1445122736665039e-08,0.00010378283696473962,2.0159747096791573e-06
