target_id,s,theta_eigen,theta_exact,activity_eigen,activity_exact,mandel_eigen,mandel_exact,generated_data_provenance
T001,1.6750000000000007,-0.8556762545158347,-0.8556762545158343,0.3814412485003693,0.3814412484947219,-0.6666657090034818,-0.6666666666666666,independent_numerics
T001,1.7000000000000002,-0.8651726624059912,-0.8651726624059926,0.37827577921367705,0.3782757791980025,-0.6666694565014775,-0.6666666666666666,independent_numerics
T001,1.7250000000000005,-0.8745902623860882,-0.8745902623860888,0.3751365792048489,0.37513657920463706,-0.6666670135851771,-0.6666666666666666,independent_numerics
T001,1.75,-0.8839297084599054,-0.8839297084599058,0.37202343053710507,0.37202343051336473,-0.6666671010071041,-0.6666666666666666,independent_numerics
T001,1.7750000000000004,-0.8931916492038416,-0.8931916492038416,0.36893611693677997,0.36893611693205275,-0.6666654948144421,-0.6666666666666666,independent_numerics
T001,1.8000000000000007,-0.9023767278119479,-0.9023767278119474,0.3658744240775391,0.36587442406268417,-0.6666648702676068,-0.6666666666666666,independent_numerics
T001,1.8250000000000002,-0.9114855821405952,-0.9114855821405952,0.3628381392939417,0.36283813928646824,-0.6666665256941788,-0.6666666666666666,independent_numerics
T001,1.8500000000000005,-0.9205188447527741,-0.9205188447527748,0.3598270517612967,0.35982705174907503,-0.6666666206381455,-0.6666666666666666,independent_numerics
T001,1.875,-0.9294771429620194,-0.9294771429620194,0.35684095233801116,0.3568409523459935,-0.6666691515177922,-0.6666666666666666,independent_numerics
T001,1.9000000000000004,-0.9383610988759727,-0.9383610988759723,0.3538796337210215,0.35387963370800923,-0.666666203719793,-0.6666666666666666,independent_numerics
T001,1.9250000000000007,-0.9471713294395863,-0.947171329439586,0.3509428902082057,0.35094289018680463,-0.6666660486305229,-0.6666666666666666,independent_numerics
T001,1.9500000000000002,-0.955908446477969,-0.9559084464779679,0.348030517876019,0.34803051784067734,-0.6666652440512513,-0.6666666666666666,independent_numerics
T001,1.9750000000000005,-0.9645730567388691,-0.9645730567388688,0.34514231443294463,0.345142314420377,-0.6666666663814516,-0.6666666666666666,independent_numerics
