series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,23.5,-0.040959768650698711,8,"40,80,160",reduced_scale
finite_N_8,23.600000000000001,-0.040962807185422376,8,"40,80,160",reduced_scale
finite_N_8,23.700000000000003,-0.040963861324390637,8,"40,80,160",reduced_scale
finite_N_8,23.800000000000001,-0.04096304310745312,8,"40,80,160",reduced_scale
finite_N_8,23.900000000000002,-0.040960481876589627,8,"40,80,160",reduced_scale
finite_N_8,24,-0.040956321493623396,8,"40,80,160",reduced_scale
finite_N_8,24.100000000000001,-0.040950717545016009,8,"40,80,160",reduced_scale
finite_N_8,24.200000000000003,-0.040943834570994486,8,"40,80,160",reduced_scale
finite_N_8,24.300000000000001,-0.040935843353584189,8,"40,80,160",reduced_scale
finite_N_8,24.400000000000002,-0.040926918295159855,8,"40,80,160",reduced_scale
finite_N_8,24.5,-0.040917234915946621,8,"40,80,160",reduced_scale
finite_N_8,24.600000000000001,-0.040906967495547744,8,"40,80,160",reduced_scale
finite_N_8,24.700000000000003,-0.040896286880111446,8,"40,80,160",reduced_scale
finite_N_8,24.800000000000001,-0.040885358473219002,8,"40,80,160",reduced_scale
finite_N_8,24.900000000000002,-0.040874340425036987,8,"40,80,160",reduced_scale
finite_N_8,25,-0.040863382030769349,8,"40,80,160",reduced_scale
finite_N_8,25.100000000000001,-0.040852622346019815,8,"40,80,160",reduced_scale
finite_N_8,25.200000000000003,-0.040842189023363132,8,"40,80,160",reduced_scale
finite_N_8,25.300000000000001,-0.040832197371269925,8,"40,80,160",reduced_scale
finite_N_8,25.400000000000002,-0.040822749633559349,8,"40,80,160",reduced_scale
finite_N_8,25.5,-0.040813934484794132,8,"40,80,160",reduced_scale
finite_N_8,25.600000000000001,-0.040805826734509332,8,"40,80,160",reduced_scale
finite_N_8,25.700000000000003,-0.040798487230895436,8,"40,80,160",reduced_scale
finite_N_8,25.800000000000001,-0.040791962952550297,8,"40,80,160",reduced_scale
finite_N_8,25.900000000000002,-0.040786287275185233,8,"40,80,160",reduced_scale
finite_N_8,26,-0.040781480398721634,8,"40,80,160",reduced_scale
finite_N_8,26.100000000000001,-0.040777549919046918,8,"40,80,160",reduced_scale
finite_N_8,26.200000000000003,-0.040774491527809709,8,"40,80,160",reduced_scale
finite_N_8,26.300000000000001,-0.04077228982301933,8,"40,80,160",reduced_scale
finite_N_8,26.400000000000002,-0.040770919212862605,8,"40,80,160",reduced_scale
finite_N_8,26.5,-0.040770344895049659,8,"40,80,160",reduced_scale
finite_N_8,26.600000000000001,-0.040770523894139377,8,"40,80,160",reduced_scale
finite_N_8,26.700000000000003,-0.040771406139647817,8,"40,80,160",reduced_scale
finite_N_8,26.800000000000001,-0.040772935568305586,8,"40,80,160",reduced_scale
finite_N_8,26.900000000000002,-0.040775051234565853,8,"40,80,160",reduced_scale
finite_N_8,27,-0.04077768841436738,8,"40,80,160",reduced_scale
finite_N_8,27.100000000000001,-0.040780779688192936,8,"40,80,160",reduced_scale
finite_N_8,27.200000000000003,-0.040784255990620313,8,"40,80,160",reduced_scale
