model,launch,time_ns,site,density
strong,Q1_Q12,17.5,5,0.010083592347434367
strong,Q1_Q12,17.5,6,0.000888341421538424
strong,Q1_Q12,17.5,7,0.0010387298161289285
strong,Q1_Q12,17.5,8,0.01174312240089211
strong,Q1_Q12,17.5,9,0.08546794141014526
strong,Q1_Q12,17.5,10,0.3249862676793913
strong,Q1_Q12,17.5,11,0.47483425768210885
strong,Q1_Q12,17.5,12,0.10191988101866545
strong,Q1_Q12,18.0,1,0.0997483697719065
strong,Q1_Q12,18.0,2,0.47290360513377133
strong,Q1_Q12,18.0,3,0.3273850811784029
strong,Q1_Q12,18.0,4,0.08665701869408408
strong,Q1_Q12,18.0,5,0.012174030105407359
strong,Q1_Q12,18.0,6,0.0011452368838160744
strong,Q1_Q12,18.0,7,0.0013362716995921312
strong,Q1_Q12,18.0,8,0.014155323339346987
strong,Q1_Q12,18.0,9,0.09654489367569118
strong,Q1_Q12,18.0,10,0.34221848837578844
strong,Q1_Q12,18.0,11,0.4601112617944084
strong,Q1_Q12,18.0,12,0.08562041934778394
strong,Q1_Q12,18.5,1,0.08403456781482498
strong,Q1_Q12,18.5,2,0.45830330098359884
strong,Q1_Q12,18.5,3,0.3441139687199859
strong,Q1_Q12,18.5,4,0.09751161919064442
strong,Q1_Q12,18.5,5,0.014590677823050785
strong,Q1_Q12,18.5,6,0.0014638457749657021
strong,Q1_Q12,18.5,7,0.0017043044498134745
strong,Q1_Q12,18.5,8,0.016937648749258186
strong,Q1_Q12,18.5,9,0.10838638274792249
strong,Q1_Q12,18.5,10,0.35847631040155015
strong,Q1_Q12,18.5,11,0.44349718759606566
strong,Q1_Q12,18.5,12,0.07098018574831844
strong,Q1_Q12,19.0,1,0.06989692217562338
strong,Q1_Q12,19.0,2,0.4419222187642479
strong,Q1_Q12,19.0,3,0.3598988808762064
strong,Q1_Q12,19.0,4,0.10908495143834443
strong,Q1_Q12,19.0,5,0.01736511700821207
strong,Q1_Q12,19.0,6,0.0018559085680144372
strong,Q1_Q12,19.0,7,0.0021559396274002884
strong,Q1_Q12,19.0,8,0.020124361931496613
strong,Q1_Q12,19.0,9,0.12095883424496642
strong,Q1_Q12,19.0,10,0.37358237729523414
strong,Q1_Q12,19.0,11,0.42519688016313956
strong,Q1_Q12,19.0,12,0.0579576079071139
strong,Q1_Q12,19.5,1,0.057295684169242876
strong,Q1_Q12,19.5,2,0.42395199159952457
strong,Q1_Q12,19.5,3,0.37457589994303664
strong,Q1_Q12,19.5,4,0.12134435043973081
strong,Q1_Q12,19.5,5,0.020529055204033274
strong,Q1_Q12,19.5,6,0.002334757307890924
strong,Q1_Q12,19.5,7,0.0027059874564142514
strong,Q1_Q12,19.5,8,0.02374947452457712
strong,Q1_Q12,19.5,9,0.134216888232701
strong,Q1_Q12,19.5,10,0.38736873828374346
strong,Q1_Q12,19.5,11,0.4054282421995893
strong,Q1_Q12,19.5,12,0.04649893063951579
strong,Q1_Q12,20.0,1,0.0461801479190187
strong,Q1_Q12,20.0,2,0.4045958615088419
strong,Q1_Q12,20.0,3,0.3879898167450509
strong,Q1_Q12,20.0,4,0.1342464939780392
strong,Q1_Q12,20.0,5,0.02411386928067069
strong,Q1_Q12,20.0,6,0.00291541829803572
strong,Q1_Q12,20.0,7,0.0033710475348929913
strong,Q1_Q12,20.0,8,0.027846190900707432
strong,Q1_Q12,20.0,9,0.1481032693682722
strong,Q1_Q12,20.0,10,0.3996793804951306
strong,Q1_Q12,20.0,11,0.38441904095921925
strong,Q1_Q12,20.0,12,0.036539463012120035
strong,Q1_Q12,20.5,1,0.03648975903983533
strong,Q1_Q12,20.5,2,0.38406585055577924
strong,Q1_Q12,20.5,3,0.3999963568545044
strong,Q1_Q12,20.5,4,0.14773731317320157
strong,Q1_Q12,20.5,5,0.028150106711423033
strong,Q1_Q12,20.5,6,0.0036147032790311735
strong,Q1_Q12,20.5,7,0.004169583347324781
strong,Q1_Q12,20.5,8,0.03244630851732806
strong,Q1_Q12,20.5,9,0.16254885115996695
strong,Q1_Q12,20.5,10,0.41037259959461675
strong,Q1_Q12,20.5,11,0.36240366811288444
strong,Q1_Q12,20.5,12,0.028004899654103393
strong,Q1_Q12,21.0,1,0.02815528638772167
strong,Q1_Q12,21.0,2,0.36257989387103895
strong,Q1_Q12,21.0,3,0.4104642649626988
strong,Q1_Q12,21.0,4,0.1617520714643829
strong,Q1_Q12,21.0,5,0.03266695068429619
strong,Q1_Q12,21.0,6,0.004451285735599064
strong,Q1_Q12,21.0,7,0.005121976850566129
