theta,phi,probability
0,-1.9634954084936207,9.5367431640624979e-07
0,-1.9373154697137058,9.5367431640624979e-07
0,-1.911135530933791,9.5367431640624979e-07
0,-1.8849555921538759,9.5367431640624979e-07
0,-1.858775653373961,9.5367431640624979e-07
0,-1.8325957145940461,9.5367431640624979e-07
0,-1.806415775814131,9.5367431640624979e-07
0,-1.7802358370342162,9.5367431640624979e-07
0,-1.7540558982543013,9.5367431640624979e-07
0,-1.7278759594743862,9.5367431640624979e-07
0,-1.7016960206944713,9.5367431640624979e-07
0,-1.6755160819145565,9.5367431640624979e-07
0,-1.6493361431346414,9.5367431640624979e-07
0,-1.6231562043547265,9.5367431640624979e-07
0,-1.5969762655748116,9.5367431640624979e-07
0,-1.5707963267948966,9.5367431640624979e-07
0,-1.5446163880149817,9.5367431640624979e-07
0,-1.5184364492350668,9.5367431640624979e-07
0,-1.4922565104551517,9.5367431640624979e-07
0,-1.4660765716752369,9.5367431640624979e-07
0,-1.439896632895322,9.5367431640624979e-07
0,-1.4137166941154069,9.5367431640624979e-07
0,-1.387536755335492,9.5367431640624979e-07
0,-1.3613568165555772,9.5367431640624979e-07
0,-1.3351768777756621,9.5367431640624979e-07
0,-1.3089969389957472,9.5367431640624979e-07
0,-1.2828170002158323,9.5367431640624979e-07
0,-1.2566370614359172,9.5367431640624979e-07
0,-1.2304571226560024,9.5367431640624979e-07
0,-1.2042771838760875,9.5367431640624979e-07
0,-1.1780972450961724,9.5367431640624979e-07
0,-1.1519173063162575,9.5367431640624979e-07
0,-1.1257373675363427,9.5367431640624979e-07
0,-1.0995574287564276,9.5367431640624979e-07
0,-1.0733774899765129,9.5367431640624979e-07
0,-1.0471975511965979,9.5367431640624979e-07
0,-1.0210176124166828,9.5367431640624979e-07
0,-0.99483767363676812,9.5367431640624979e-07
0,-0.96865773485685303,9.5367431640624979e-07
0,-0.94247779607693793,9.5367431640624979e-07
0,-0.91629785729702329,9.5367431640624979e-07
0,-0.8901179185171082,9.5367431640624979e-07
0,-0.86393797973719311,9.5367431640624979e-07
0,-0.83775804095727846,9.5367431640624979e-07
0,-0.81157810217736337,9.5367431640624979e-07
0,-0.78539816339744828,9.5367431640624979e-07
0,-0.75921822461753363,9.5367431640624979e-07
0,-0.73303828583761854,9.5367431640624979e-07
0,-0.70685834705770345,9.5367431640624979e-07
0,-0.6806784082777888,9.5367431640624979e-07
0,-0.65449846949787371,9.5367431640624979e-07
0,-0.62831853071795862,9.5367431640624979e-07
0,-0.60213859193804398,9.5367431640624979e-07
0,-0.57595865315812889,9.5367431640624979e-07
0,-0.5497787143782138,9.5367431640624979e-07
0,-0.52359877559829915,9.5367431640624979e-07
0,-0.49741883681838406,9.5367431640624979e-07
0,-0.47123889803846897,9.5367431640624979e-07
0,-0.44505895925855432,9.5367431640624979e-07
0,-0.41887902047863923,9.5367431640624979e-07
0,-0.39269908169872414,9.5367431640624979e-07
0,-0.36651914291880949,9.5367431640624979e-07
0,-0.3403392041388944,9.5367431640624979e-07
0,-0.31415926535897931,9.5367431640624979e-07
0,-0.28797932657906467,9.5367431640624979e-07
0,-0.26179938779914957,9.5367431640624979e-07
0,-0.23561944901923448,9.5367431640624979e-07
0,-0.20943951023931984,9.5367431640624979e-07
0,-0.18325957145940475,9.5367431640624979e-07
0,-0.15707963267948966,9.5367431640624979e-07
0,-0.13089969389957501,9.5367431640624979e-07
0,-0.10471975511965992,9.5367431640624979e-07
0,-0.078539816339744828,9.5367431640624979e-07
0,-0.052359877559830181,9.5367431640624979e-07
0,-0.026179938779915091,9.5367431640624979e-07
0,0,9.5367431640624979e-07
0,0.026179938779914647,9.5367431640624979e-07
0,0.052359877559829737,9.5367431640624979e-07
0,0.078539816339744828,9.5367431640624979e-07
0,0.10471975511965947,9.5367431640624979e-07
0,0.13089969389957457,9.5367431640624979e-07
0,0.15707963267948966,9.5367431640624979e-07
0,0.1832595714594043,9.5367431640624979e-07
0,0.20943951023931939,9.5367431640624979e-07
