time,sample_index,output_pair,probability,overlap
29.29,3,5-7,0.004466324192791177,0
29.29,3,5-8,0.0026342028943746646,0
29.29,3,6-7,0.004195288700132489,0
29.29,3,6-8,0.008243182606542847,0
29.29,3,7-8,0.006076616047250034,0
29.29,4,1-2,0.0018783842983629588,0
29.29,4,1-3,0.07504877094749737,1
29.29,4,1-4,0.033452030845697624,1
29.29,4,1-5,0.028349079641262778,0
29.29,4,1-6,0.07575536876144928,0
29.29,4,1-7,0.04855401176947564,0
29.29,4,1-8,0.04126880233008607,0
29.29,4,2-3,0.021373418815117125,1
29.29,4,2-4,0.017756536854960217,1
29.29,4,2-5,0.0074225856746217775,0
29.29,4,2-6,0.06303226968397416,0
29.29,4,2-7,0.007609106594335162,0
29.29,4,2-8,0.008150726480033768,0
29.29,4,3-4,0.13218766997408674,2
29.29,4,3-5,0.010901328930418078,1
29.29,4,3-6,0.01941842425872021,1
29.29,4,3-7,0.04711493767584513,1
29.29,4,3-8,0.019321346202638378,1
29.29,4,4-5,0.01956863888793685,1
29.29,4,4-6,0.06959044173678712,1
29.29,4,4-7,0.00903975055114804,1
29.29,4,4-8,0.027474623465813863,1
29.29,4,5-6,0.028270640920281056,0
29.29,4,5-7,0.024620981615094593,0
29.29,4,5-8,0.0027907058293318485,0
29.29,4,6-7,0.09956949307272324,0
29.29,4,6-8,0.02823308292845002,0
29.29,4,7-8,0.032246841253851015,0
100.0,0,1-2,0.018170592539950032,0
100.0,0,1-3,0.12044972365237568,1
100.0,0,1-4,0.12704021447019911,1
100.0,0,1-5,0.04539013072728995,0
100.0,0,1-6,0.0008023248200846578,0
100.0,0,1-7,0.0713743938649311,0
100.0,0,1-8,0.007651607129533421,0
100.0,0,2-3,0.03800702149538436,1
100.0,0,2-4,0.12501253410272933,1
100.0,0,2-5,0.00011751342389947607,0
100.0,0,2-6,0.00020956515503214236,0
100.0,0,2-7,0.03583534862367606,0
100.0,0,2-8,0.005584183179920195,0
100.0,0,3-4,0.012926198920384211,2
100.0,0,3-5,0.06069340218677785,1
100.0,0,3-6,0.00016047217738061474,1
100.0,0,3-7,0.04544091206229074,1
100.0,0,3-8,0.0028650097674858114,1
100.0,0,4-5,0.18489196575226613,1
100.0,0,4-6,0.0012037016849640856,1
100.0,0,4-7,0.022362348176991433,1
100.0,0,4-8,0.009765333714509437,1
100.0,0,5-6,0.00042299762751541906,0
100.0,0,5-7,0.05396587490485732,0
100.0,0,5-8,0.008310717324337637,0
100.0,0,6-7,8.812247730830415e-05,0
100.0,0,6-8,2.571771206992928e-05,0
100.0,0,7-8,0.0012320723258553896,0
100.0,1,1-2,0.10880609784062369,0
100.0,1,1-3,0.003927931065900693,1
100.0,1,1-4,0.013850613992550869,1
100.0,1,1-5,0.014136576255287027,0
100.0,1,1-6,0.1494930239509268,0
100.0,1,1-7,0.044187413624918154,0
100.0,1,1-8,0.04450963057538137,0
100.0,1,2-3,0.015668003690523742,1
100.0,1,2-4,0.025791670397343116,1
100.0,1,2-5,0.013427282093149619,0
100.0,1,2-6,0.08086441134521824,0
100.0,1,2-7,0.0022001328325065932,0
100.0,1,2-8,0.0268673920166051,0
100.0,1,3-4,0.019530191758056703,2
100.0,1,3-5,0.004454567020481479,1
100.0,1,3-6,0.02793672798643473,1
100.0,1,3-7,0.01775317754012547,1
100.0,1,3-8,0.11647295124117349,1
100.0,1,4-5,0.006060144694127316,1
100.0,1,4-6,0.03695642828925033,1
100.0,1,4-7,0.0019496433569320068,1
100.0,1,4-8,0.046549806032992705,1
100.0,1,5-6,0.00865647014571984,0
100.0,1,5-7,0.0016616418725255294,0
100.0,1,5-8,0.007939340125060524,0
100.0,1,6-7,0.034735918219124015,0
100.0,1,6-8,0.06186239054011172,0
100.0,1,7-8,0.06375042149694926,0
100.0,2,1-2,0.004153879225868368,0
100.0,2,1-3,0.004798085664249904,1
100.0,2,1-4,0.034559004565978255,1
100.0,2,1-5,0.002582025004178795,0
100.0,2,1-6,0.0008954550686346823,0
100.0,2,1-7,0.0003743984969495758,0
100.0,2,1-8,0.015448052334374577,0
100.0,2,2-3,0.071000946781639,1
100.0,2,2-4,0.03609480142844413,1
100.0,2,2-5,0.041890268266665705,0
100.0,2,2-6,0.0058182674891064864,0
100.0,2,2-7,0.013241857413294509,0
100.0,2,2-8,0.012752077989888994,0
100.0,2,3-4,0.034630782969616525,2
100.0,2,3-5,0.17962591166578784,1
100.0,2,3-6,0.023470508230342184,1
100.0,2,3-7,0.056122189292476546,1
100.0,2,3-8,0.010822065000271847,1
100.0,2,4-5,0.08171863882051122,1
100.0,2,4-6,0.018425126972307113,1
100.0,2,4-7,0.017229056383265662,1
100.0,2,4-8,0.2722268610940131,1
100.0,2,5-6,0.01347114394345428,0
100.0,2,5-7,0.040112523960896866,0
100.0,2,5-8,0.0013595114874481785,0
100.0,2,6-7,0.004800964651016118,0
100.0,2,6-8,0.0019618159033018344,0
100.0,2,7-8,0.0004137798960177614,0
100.0,3,1-2,0.02393941763481262,0
100.0,3,1-3,0.12745507573739157,1
100.0,3,1-4,0.049130716245275916,1
100.0,3,1-5,0.004784252724291649,0
100.0,3,1-6,0.015988941452026277,0
100.0,3,1-7,0.019047452355129363,0
100.0,3,1-8,0.0024175047161768353,0
100.0,3,2-3,0.028255688943996646,1
100.0,3,2-4,0.0182146049177004,1
100.0,3,2-5,0.015308748205203183,0
100.0,3,2-6,0.00825653278266021,0
100.0,3,2-7,0.24311176531607515,0
100.0,3,2-8,0.021964899898416573,0
100.0,3,3-4,0.15066100015387723,2
100.0,3,3-5,0.040342608137719414,1
100.0,3,3-6,0.03385574465816689,1
100.0,3,3-7,0.06545090111230585,1
100.0,3,3-8,0.006207926634850509,1
100.0,3,4-5,0.01619488926308061,1
100.0,3,4-6,0.01063762746398235,1
100.0,3,4-7,0.03545260147403545,1
100.0,3,4-8,0.003244998141138747,1
100.0,3,5-6,0.005623257522867252,0
100.0,3,5-7,0.013109676841665113,0
100.0,3,5-8,0.0014346828854347987,0
100.0,3,6-7,0.015419588531821278,0
100.0,3,6-8,0.0015963107452591338,0
100.0,3,7-8,0.022892585504639126,0
100.0,4,1-2,0.012153260466363934,0
100.0,4,1-3,0.008437326665015652,1
100.0,4,1-4,0.022711678441686516,1
100.0,4,1-5,0.0032246484799078913,0
100.0,4,1-6,0.009730607838415584,0
100.0,4,1-7,0.009337740886296748,0
100.0,4,1-8,0.17174653518979172,0
100.0,4,2-3,0.016727459432577876,1
100.0,4,2-4,0.00988643564458692,1
100.0,4,2-5,0.04549390454220881,0
100.0,4,2-6,0.02329101927505465,0
100.0,4,2-7,0.0022354533701986227,0
100.0,4,2-8,0.10479544563905255,0
100.0,4,3-4,0.005030873447974282,2
100.0,4,3-5,0.013968050083955422,1
100.0,4,3-6,0.0038771466058714543,1
100.0,4,3-7,0.0015820155564539348,1
100.0,4,3-8,0.019857381241152893,1
100.0,4,4-5,0.010654300350212743,1
100.0,4,4-6,0.03163110689322216,1
100.0,4,4-7,0.01177163393946909,1
100.0,4,4-8,0.20282505369201603,1
100.0,4,5-6,0.02951906509499366,0
100.0,4,5-7,0.002136475463231714,0
100.0,4,5-8,0.13280256265449134,0
100.0,4,6-7,0.009362894799881902,0
100.0,4,6-8,0.017392713107436477,0
100.0,4,7-8,0.06781721119847968,0
1000.0,0,1-2,0.16850189859178666,0
1000.0,0,1-3,0.022463556448629712,1
1000.0,0,1-4,0.04854466360261428,1
1000.0,0,1-5,0.016141872219383086,0
1000.0,0,1-6,0.022445221321258667,0
1000.0,0,1-7,0.043057067041954146,0
1000.0,0,1-8,0.0698416501225828,0
1000.0,0,2-3,0.02058150202868872,1
1000.0,0,2-4,0.013597730418457719,1
1000.0,0,2-5,0.022387755913171943,0
1000.0,0,2-6,0.018058940412261994,0
1000.0,0,2-7,0.031737977702113944,0
1000.0,0,2-8,0.04531192097365704,0
1000.0,0,3-4,0.2331583334050131,2
1000.0,0,3-5,0.027707953486986736,1
1000.0,0,3-6,0.012537376842117713,1
1000.0,0,3-7,0.04230358206504758,1
1000.0,0,3-8,0.012155444741105192,1
1000.0,0,4-5,0.026364145133156935,1
1000.0,0,4-6,0.0007120654723513335,1
1000.0,0,4-7,0.01057029702978365,1
1000.0,0,4-8,0.052127153850142674,1
1000.0,0,5-6,0.004525371704982018,0
1000.0,0,5-7,0.011598575973358225,0
1000.0,0,5-8,0.011538215757022742,0
1000.0,0,6-7,0.005774534351839497,0
1000.0,0,6-8,0.003214226522984083,0
1000.0,0,7-8,0.003040966867547927,0
1000.0,1,1-2,0.013667836444111861,0
1000.0,1,1-3,0.04792432138925032,1
1000.0,1,1-4,0.07228284262486634,1
1000.0,1,1-5,0.014289780503569438,0
1000.0,1,1-6,0.01906759311652952,0
1000.0,1,1-7,0.12091520855291082,0
1000.0,1,1-8,0.01961675339182313,0
1000.0,1,2-3,0.007589223113133556,1
1000.0,1,2-4,0.007467768255916799,1
1000.0,1,2-5,0.00915980717858001,0
1000.0,1,2-6,0.025143172668246717,0
1000.0,1,2-7,0.03022203925327111,0
1000.0,1,2-8,0.012688109251695582,0
1000.0,1,3-4,0.09432045578824065,2
1000.0,1,3-5,0.004325377167095269,1
1000.0,1,3-6,0.0003457843140870129,1
1000.0,1,3-7,0.10436545722021966,1
1000.0,1,3-8,0.03462908102042741,1
1000.0,1,4-5,0.01915282900913622,1
1000.0,1,4-6,0.047113233548101506,1
1000.0,1,4-7,0.03030709162451635,1
1000.0,1,4-8,0.023408253334035265,1
1000.0,1,5-6,0.03385242689013588,0
1000.0,1,5-7,0.03025416231699958,0
1000.0,1,5-8,0.006015045116082687,0
1000.0,1,6-7,0.10153893252711761,0
1000.0,1,6-8,0.016006721039550958,0
1000.0,1,7-8,0.05433069334034866,0
1000.0,2,1-2,5.712353398242385e-05,0
1000.0,2,1-3,0.005337831861371291,1
1000.0,2,1-4,0.06836305057200649,1
1000.0,2,1-5,0.010447856301795304,0
1000.0,2,1-6,0.0028352571557969733,0
1000.0,2,1-7,0.0013765438179748207,0
1000.0,2,1-8,0.0014350244975626797,0
1000.0,2,2-3,0.0056326087177290965,1
1000.0,2,2-4,0.04426661086827962,1
1000.0,2,2-5,0.0014107068150541423,0
1000.0,2,2-6,0.0005364187311908175,0
1000.0,2,2-7,0.0012614552178443154,0
1000.0,2,2-8,0.00030129919872916,0
1000.0,2,3-4,0.5357998494311406,2
1000.0,2,3-5,0.03563415885799942,1
1000.0,2,3-6,0.005905150114968246,1
1000.0,2,3-7,0.006808055378976231,1
1000.0,2,3-8,0.002042029401276403,1
1000.0,2,4-5,0.07402710934651194,1
1000.0,2,4-6,0.08597667441331037,1
1000.0,2,4-7,0.05649270321054292,1
1000.0,2,4-8,0.035494632505509265,1
1000.0,2,5-6,0.012403669904207751,0
1000.0,2,5-7,0.0018126654274987525,0
1000.0,2,5-8,0.002799592984303362,0
1000.0,2,6-7,5.926754792988972e-05,0
1000.0,2,6-8,0.00034704427429291143,0
