panel,kind,depth,L,p,scaled_x,I3,standard_error
f,collapse,31,16,0.7100000000000001,-3.231776859502039,-15.75,0.35355339059327373
c,scan,31,16,0.7450000000000001,,-13.083333333333332,0.35355339059327373
f,collapse,31,16,0.7450000000000001,-2.6305160484318915,-13.083333333333332,0.35355339059327373
c,scan,31,16,0.78,,-9.333333333333334,0.3618734322278728
f,collapse,31,16,0.78,-2.0292552373617463,-9.333333333333334,0.3618734322278728
c,scan,31,16,0.8150000000000001,,-6.166666666666667,0.35355339059327373
f,collapse,31,16,0.8150000000000001,-1.427994426291599,-6.166666666666667,0.35355339059327373
c,scan,31,16,0.8500000000000001,,-2.291666666666667,0.35355339059327373
f,collapse,31,16,0.8500000000000001,-0.8267336152214514,-2.291666666666667,0.35355339059327373
c,scan,31,16,0.8850000000000001,,-0.20833333333333331,0.35355339059327373
f,collapse,31,16,0.8850000000000001,-0.22547280415130408,-0.20833333333333331,0.35355339059327373
c,scan,31,16,0.9200000000000002,,-0.041666666666666664,0.35355339059327373
f,collapse,31,16,0.9200000000000002,0.3757880069188433,-0.041666666666666664,0.35355339059327373
c,scan,31,16,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,16,0.9550000000000001,0.9770488179889888,0.0,0.35355339059327373
c,scan,31,16,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,16,0.9900000000000001,1.578309629059136,0.0,0.35355339059327373
c,scan,31,24,0.7100000000000001,,-24.125,0.35355339059327373
f,collapse,31,24,0.7100000000000001,-4.898327138996464,-24.125,0.35355339059327373
c,scan,31,24,0.7450000000000001,,-19.375,0.4005824132950293
f,collapse,31,24,0.7450000000000001,-3.987010461973865,-19.375,0.4005824132950293
c,scan,31,24,0.78,,-14.458333333333332,0.35355339059327373
f,collapse,31,24,0.78,-3.075693784951269,-14.458333333333332,0.35355339059327373
c,scan,31,24,0.8150000000000001,,-10.666666666666668,0.361873432227873
f,collapse,31,24,0.8150000000000001,-2.1643771079286704,-10.666666666666668,0.361873432227873
c,scan,31,24,0.8500000000000001,,-4.625,0.4937606739854878
f,collapse,31,24,0.8500000000000001,-1.2530604309060716,-4.625,0.4937606739854878
c,scan,31,24,0.8850000000000001,,-0.6666666666666667,0.35355339059327373
f,collapse,31,24,0.8850000000000001,-0.3417437538834728,-0.6666666666666667,0.35355339059327373
c,scan,31,24,0.9200000000000002,,-0.041666666666666664,0.35355339059327373
f,collapse,31,24,0.9200000000000002,0.5695729231391261,-0.041666666666666664,0.35355339059327373
c,scan,31,24,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,24,0.9550000000000001,1.480889600161722,0.0,0.35355339059327373
c,scan,31,24,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,24,0.9900000000000001,2.3922062771843207,0.0,0.35355339059327373
