panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
c,size_scaling,31,12,0.9900000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.9900000000000001,0.8278701237961159,0.0,0.0,-0.5572916666666671,0.49999999999999994
c,size_scaling,31,16,0.7100000000000001,,18.875,0.21448863636363635,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.7100000000000001,-2.897869992885026,18.875,0.21448863636363635,17.971354166666664,0.49999999999999994
c,size_scaling,31,16,0.7450000000000001,,16.458333333333332,0.18702651515151514,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.7450000000000001,-2.3993117145392144,16.458333333333332,0.18702651515151514,15.554687499999998,0.49999999999999994
c,size_scaling,31,16,0.78,,12.541666666666666,0.1425189393939394,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.78,-1.900753436193405,12.541666666666666,0.1425189393939394,11.638020833333332,0.49999999999999994
c,size_scaling,31,16,0.8150000000000001,,9.333333333333334,0.10606060606060606,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.8150000000000001,-1.4021951578475937,9.333333333333334,0.10606060606060606,8.4296875,0.49999999999999994
c,size_scaling,31,16,0.8500000000000001,,5.5,0.0625,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.8500000000000001,-0.9036368795017825,5.5,0.0625,4.596354166666666,0.49999999999999994
c,size_scaling,31,16,0.8850000000000001,,2.2916666666666665,0.026041666666666664,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.8850000000000001,-0.40507860115597133,2.2916666666666665,0.026041666666666664,1.3880208333333324,0.49999999999999994
c,size_scaling,31,16,0.9200000000000002,,0.5833333333333333,0.006628787878787878,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.9200000000000002,0.0934796771898399,0.5833333333333333,0.006628787878787878,-0.3203125000000009,0.49999999999999994
c,size_scaling,31,16,0.9550000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.9550000000000001,0.5920379555356495,0.0,0.0,-0.9036458333333341,0.49999999999999994
c,size_scaling,31,16,0.9900000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,16,0.9900000000000001,1.0905962338814608,0.0,0.0,-0.9036458333333341,0.49999999999999994
c,size_scaling,31,24,0.7100000000000001,,28.083333333333336,0.21275252525252528,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.7100000000000001,-4.273552918841171,28.083333333333336,0.21275252525252528,27.083333333333336,0.5111068985672209
c,size_scaling,31,24,0.7450000000000001,,23.458333333333332,0.17771464646464646,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.7450000000000001,-3.5383180080727965,23.458333333333332,0.17771464646464646,22.458333333333332,0.5111068985672209
c,size_scaling,31,24,0.78,,18.083333333333336,0.1369949494949495,,0.5273474576861852
f,probability_scan_and_collapse,31,24,0.78,-2.803083097304425,18.083333333333336,0.1369949494949495,17.083333333333336,0.5273474576861852
c,size_scaling,31,24,0.8150000000000001,,14.375,0.10890151515151515,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.8150000000000001,-2.067848186536051,14.375,0.10890151515151515,13.374999999999998,0.5111068985672209
c,size_scaling,31,24,0.8500000000000001,,8.583333333333332,0.06502525252525251,,0.5566339666909615
f,probability_scan_and_collapse,31,24,0.8500000000000001,-1.3326132757676772,8.583333333333332,0.06502525252525251,7.58333333333333,0.5566339666909615
c,size_scaling,31,24,0.8850000000000001,,3.1666666666666665,0.023989898989898988,,0.57158241071537
f,probability_scan_and_collapse,31,24,0.8850000000000001,-0.5973783649993034,3.1666666666666665,0.023989898989898988,2.166666666666665,0.57158241071537
c,size_scaling,31,24,0.9200000000000002,,0.5,0.003787878787878788,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.9200000000000002,0.13785654576907055,0.5,0.003787878787878788,-0.5000000000000016,0.5111068985672209
c,size_scaling,31,24,0.9550000000000001,,0.041666666666666664,0.00031565656565656563,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.9550000000000001,0.8730914565374421,0.041666666666666664,0.00031565656565656563,-0.9583333333333349,0.5111068985672209
c,size_scaling,31,24,0.9900000000000001,,0.0,0.0,,0.5111068985672209
f,probability_scan_and_collapse,31,24,0.9900000000000001,1.6083263673058161,0.0,0.0,-1.0000000000000016,0.5111068985672209
