protocol,length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
qsd,32,2.0,13,0.9569403357322088,0.7617029967335452,0.4131584373894789,8,20.0
qsd,32,2.0,14,0.9807852804032304,0.7447362028018281,0.4487805610118932,8,20.0
qsd,32,2.0,16,1.0,0.8742445486715247,0.3895473649264418,8,20.0
qsd,32,4.0,2,0.19509032201612825,0.32659362498268596,0.42686873287856775,8,20.0
qsd,32,4.0,3,0.29028467725446233,0.21974382753491226,0.16617815381145382,8,20.0
qsd,32,4.0,4,0.3826834323650898,0.3010328575281739,0.2606861969366376,8,20.0
qsd,32,4.0,5,0.47139673682599764,0.2554093596468189,0.21787726587497214,8,20.0
qsd,32,4.0,6,0.5555702330196022,0.3147599036748347,0.3323111889713611,8,20.0
qsd,32,4.0,7,0.6343932841636455,0.2509708786828139,0.2751261795033697,8,20.0
qsd,32,4.0,8,0.7071067811865475,0.32314637215123065,0.318796433738209,8,20.0
qsd,32,4.0,9,0.773010453362737,0.4380531953573457,0.506480006843735,8,20.0
qsd,32,4.0,10,0.8314696123025452,0.4110013432233648,0.3278385173790576,8,20.0
qsd,32,4.0,11,0.8819212643483549,0.4773352357934043,0.32178820619025605,8,20.0
qsd,32,4.0,13,0.9569403357322088,0.24010790427617273,0.18282091365714817,8,20.0
qsd,32,4.0,14,0.9807852804032304,0.2834629168041141,0.24565472376149025,8,20.0
qsd,32,4.0,16,1.0,0.17945422149884357,0.1606490789096028,8,20.0
qsd,32,6.0,2,0.19509032201612825,0.14298349910897695,0.169813632878632,8,20.0
qsd,32,6.0,3,0.29028467725446233,0.16956474533518304,0.289159225152446,8,20.0
qsd,32,6.0,4,0.3826834323650898,0.11103888143678199,0.22616017324944004,8,20.0
qsd,32,6.0,5,0.47139673682599764,0.10102741004851498,0.14341615938336316,8,20.0
qsd,32,6.0,6,0.5555702330196022,0.07163207985156803,0.08386593434458814,8,20.0
qsd,32,6.0,7,0.6343932841636455,0.07310331961080963,0.10486146888969994,8,20.0
qsd,32,6.0,8,0.7071067811865475,0.12156607256687697,0.11970377040032049,8,20.0
qsd,32,6.0,9,0.773010453362737,0.16068352149491702,0.16967632558340937,8,20.0
qsd,32,6.0,10,0.8314696123025452,0.26904594446169966,0.3625595705682684,8,20.0
qsd,32,6.0,11,0.8819212643483549,0.10601732688865251,0.10474866796609314,8,20.0
qsd,32,6.0,13,0.9569403357322088,0.09402433936689365,0.10546252123680026,8,20.0
qsd,32,6.0,14,0.9807852804032304,0.20981382942031168,0.34405662217834243,8,20.0
qsd,32,6.0,16,1.0,0.12286649535667264,0.18053484067368328,8,20.0
qsd,48,0.0,2,0.13052619222005157,1.6827198150429301,0.0,1,60.0
qsd,48,0.0,3,0.19509032201612825,2.506888650481891,0.0,1,60.0
qsd,48,0.0,4,0.25881904510252074,3.3190135358369,0.0,1,60.0
qsd,48,0.0,5,0.3214394653031616,4.108782407315462,0.0,1,60.0
qsd,48,0.0,6,0.3826834323650898,4.789676101851808,0.0,1,60.0
qsd,48,0.0,7,0.44228869021900125,5.455385324499192,0.0,1,60.0
qsd,48,0.0,9,0.5555702330196022,6.704718790940479,0.0,1,60.0
qsd,48,0.0,10,0.6087614290087207,7.295452075808125,0.0,1,60.0
qsd,48,0.0,12,0.7071067811865475,8.410129910270344,0.0,1,60.0
qsd,48,0.0,13,0.7518398074789774,8.95260526529917,0.0,1,60.0
qsd,48,0.0,15,0.8314696123025451,9.843947822242544,0.0,1,60.0
qsd,48,0.0,18,0.9238795325112867,11.068752100368572,0.0,1,60.0
qsd,48,0.0,21,0.9807852804032304,11.977731251252688,0.0,1,60.0
qsd,48,0.0,24,1.0,12.484886218377126,0.0,1,60.0
qsd,48,0.05,2,0.13052619222005157,1.8313361027331414,0.10160842766358347,8,120.0
qsd,48,0.05,3,0.19509032201612825,2.7009853749732042,0.13229833298574495,8,120.0
qsd,48,0.05,4,0.25881904510252074,3.4814624351977095,0.2265845318709854,8,120.0
qsd,48,0.05,5,0.3214394653031616,4.129835308428226,0.29932595275615886,8,120.0
qsd,48,0.05,6,0.3826834323650898,4.807915201340025,0.5205579422666003,8,120.0
qsd,48,0.05,7,0.44228869021900125,5.47831035149337,0.5951929728227536,8,120.0
qsd,48,0.05,9,0.5555702330196022,6.859844988736527,0.5413239832669965,8,120.0
qsd,48,0.05,10,0.6087614290087207,7.5569591934124025,0.49770543508827153,8,120.0
qsd,48,0.05,12,0.7071067811865475,8.620161807664681,0.6124221937738039,8,120.0
qsd,48,0.05,13,0.7518398074789774,9.138247741344697,0.5987482639063575,8,120.0
qsd,48,0.05,15,0.8314696123025451,9.919358622024676,0.5110077265401574,8,120.0
qsd,48,0.05,18,0.9238795325112867,10.676448850801073,0.4774126741406669,8,120.0
qsd,48,0.05,21,0.9807852804032304,11.14796217538943,0.4640983634311037,8,120.0
qsd,48,0.05,24,1.0,11.416466238817048,0.4848620475363459,8,120.0
qsd,48,0.1,2,0.13052619222005157,1.8960941805292248,0.07122842363214164,8,60.0
qsd,48,0.1,3,0.19509032201612825,2.667463068053812,0.14052120245706146,8,60.0
qsd,48,0.1,4,0.25881904510252074,3.4574646447121213,0.15484811586535868,8,60.0
qsd,48,0.1,5,0.3214394653031616,3.9784553348778022,0.17507344284967422,8,60.0
qsd,48,0.1,6,0.3826834323650898,4.643442388979074,0.23365432608533585,8,60.0
