kind,two_chi_over_kappa,time_kappa,alpha_g_real,alpha_g_imag,alpha_e_real,alpha_e_imag,integration_kappa_time,snr
trajectory,1.0,6.28,0.737663558241322,-0.7377610463098094,-0.737663558241322,-0.7377610463098094,,
trajectory,1.0,6.3,0.7376614880482474,-0.7371519915473439,-0.7376614880482474,-0.7371519915473439,,
trajectory,1.0,6.32,0.7376534087112522,-0.7365490476260993,-0.7376534087112522,-0.7365490476260993,,
trajectory,1.0,6.34,0.7376394408191477,-0.735952212932218,-0.7376394408191477,-0.735952212932218,,
trajectory,1.0,6.36,0.7376197037389192,-0.7353614846741112,-0.7376197037389192,-0.7353614846741112,,
trajectory,1.0,6.38,0.7375943156162839,-0.7347768589063317,-0.7375943156162839,-0.7347768589063317,,
trajectory,1.0,6.4,0.7375633933764801,-0.7341983305532039,-0.7375633933764801,-0.7341983305532039,,
trajectory,1.0,6.42,0.7375270527252819,-0.7336258934322083,-0.7375270527252819,-0.7336258934322083,,
trajectory,1.0,6.44,0.737485408150234,-0.7330595402771227,-0.737485408150234,-0.7330595402771227,,
trajectory,1.0,6.46,0.7374385729221065,-0.7324992627609201,-0.7374385729221065,-0.7324992627609201,,
trajectory,1.0,6.48,0.7373866590965588,-0.7319450515184223,-0.7373866590965588,-0.7319450515184223,,
trajectory,1.0,6.5,0.7373297775160121,-0.7313968961687114,-0.7373297775160121,-0.7313968961687114,,
trajectory,1.0,6.5200000000000005,0.7372680378117265,-0.7308547853372989,-0.7372680378117265,-0.7308547853372989,,
trajectory,1.0,6.54,0.7372015484060735,-0.7303187066780505,-0.7372015484060735,-0.7303187066780505,,
trajectory,1.0,6.5600000000000005,0.737130416515007,-0.7297886468948724,-0.737130416515007,-0.7297886468948724,,
trajectory,1.0,6.58,0.7370547481507206,-0.7292645917631533,-0.7370547481507206,-0.7292645917631533,,
trajectory,1.0,6.6000000000000005,0.7369746481244925,-0.7287465261509667,-0.7369746481244925,-0.7287465261509667,,
trajectory,1.0,6.62,0.7368902200497128,-0.7282344340400347,-0.7368902200497128,-0.7282344340400347,,
trajectory,1.0,6.640000000000001,0.7368015663450846,-0.727728298546449,-0.7368015663450846,-0.727728298546449,,
trajectory,1.0,6.66,0.7367087882380022,-0.7272281019411561,-0.7367087882380022,-0.7272281019411561,,
trajectory,1.0,6.68,0.7366119857680961,-0.7267338256702017,-0.7366119857680961,-0.7267338256702017,,
trajectory,1.0,6.7,0.7365112577909428,-0.7262454503747394,-0.7365112577909428,-0.7262454503747394,,
trajectory,1.0,6.72,0.7364067019819377,-0.725762955910802,-0.7364067019819377,-0.725762955910802,,
trajectory,1.0,6.74,0.7362984148403215,-0.7252863213688356,-0.7362984148403215,-0.7252863213688356,,
trajectory,1.0,6.76,0.7361864916933638,-0.7248155250930008,-0.7361864916933638,-0.7248155250930008,,
trajectory,1.0,6.78,0.7360710267006929,-0.7243505447002377,-0.7360710267006929,-0.7243505447002377,,
trajectory,1.0,6.8,0.7359521128587723,-0.7238913570990977,-0.7359521128587723,-0.7238913570990977,,
trajectory,1.0,6.82,0.7358298420055184,-0.7234379385083427,-0.7358298420055184,-0.7234379385083427,,
trajectory,1.0,6.84,0.7357043048250569,-0.7229902644753137,-0.7357043048250569,-0.7229902644753137,,
trajectory,1.0,6.86,0.7355755908526128,-0.7225483098940667,-0.7355755908526128,-0.7225483098940667,,
trajectory,1.0,6.88,0.7354437884795316,-0.7221120490232807,-0.7354437884795316,-0.7221120490232807,,
trajectory,1.0,6.9,0.7353089849584267,-0.721681455503935,-0.7353089849584267,-0.721681455503935,,
trajectory,1.0,6.92,0.7351712664084513,-0.7212565023767609,-0.7351712664084513,-0.7212565023767609,,
trajectory,1.0,6.94,0.73503071782069,-0.7208371620994648,-0.73503071782069,-0.7208371620994648,,
trajectory,1.0,6.96,0.7348874230636666,-0.7204234065637269,-0.7348874230636666,-0.7204234065637269,,
trajectory,1.0,6.98,0.7347414648889657,-0.7200152071119751,-0.7347414648889657,-0.7200152071119751,,
trajectory,1.0,7.0,0.7345929249369646,-0.7196125345539351,-0.7345929249369646,-0.7196125345539351,,
trajectory,1.0,7.0200000000000005,0.7344418837426698,-0.7192153591829589,-0.7344418837426698,-0.7192153591829589,,
trajectory,1.0,7.04,0.7342884207416589,-0.7188236507921311,-0.7342884207416589,-0.7188236507921311,,
trajectory,1.0,7.0600000000000005,0.7341326142761218,-0.7184373786901574,-0.7341326142761218,-0.7184373786901574,,
