EJ_over_EC,offset_charge,level,energy_GHz,EC_GHz,EJ_GHz
2.0,0.6375000000000002,2,9.615254808217031,1.25,2.5
2.0,0.6500000000000001,0,0.0,1.25,2.5
2.0,0.6500000000000001,1,2.90314848686934,1.25,2.5
2.0,0.6500000000000001,2,9.463631401327437,1.25,2.5
2.0,0.6625000000000001,0,0.0,1.25,2.5
2.0,0.6625000000000001,1,2.9731529285591085,1.25,2.5
2.0,0.6625000000000001,2,9.314204615544146,1.25,2.5
2.0,0.675,0,0.0,1.25,2.5
2.0,0.675,1,3.0469606063097574,1.25,2.5
2.0,0.675,2,9.16684332084887,1.25,2.5
2.0,0.6875,0,0.0,1.25,2.5
2.0,0.6875,1,3.1243028315201657,1.25,2.5
2.0,0.6875,2,9.021423176293242,1.25,2.5
2.0,0.7000000000000002,0,0.0,1.25,2.5
2.0,0.7000000000000002,1,3.2049240394752534,1.25,2.5
2.0,0.7000000000000002,2,8.877827627644159,1.25,2.5
2.0,0.7125000000000001,0,0.0,1.25,2.5
2.0,0.7125000000000001,1,3.2885826887455134,1.25,2.5
2.0,0.7125000000000001,2,8.735948599841237,1.25,2.5
2.0,0.7250000000000001,0,0.0,1.25,2.5
2.0,0.7250000000000001,1,3.3750515854962213,1.25,2.5
2.0,0.7250000000000001,2,8.595686956299183,1.25,2.5
2.0,0.7375,0,0.0,1.25,2.5
2.0,0.7375,1,3.4641177338968525,1.25,2.5
2.0,0.7375,2,8.45695279606841,1.25,2.5
2.0,0.75,0,0.0,1.25,2.5
2.0,0.75,1,3.555581797189837,1.25,2.5
2.0,0.75,2,8.319665658183437,1.25,2.5
2.0,0.7625000000000002,0,0.0,1.25,2.5
2.0,0.7625000000000002,1,3.6492572325974404,1.25,2.5
2.0,0.7625000000000002,2,8.183754702083942,1.25,2.5
2.0,0.7750000000000001,0,0.0,1.25,2.5
2.0,0.7750000000000001,1,3.7449691379177303,1.25,2.5
2.0,0.7750000000000001,2,8.04915893584193,1.25,2.5
2.0,0.7875000000000001,0,0.0,1.25,2.5
2.0,0.7875000000000001,1,3.8425528177403105,1.25,2.5
2.0,0.7875000000000001,2,7.915827572562064,1.25,2.5
2.0,0.8,0,0.0,1.25,2.5
2.0,0.8,1,3.9418520402445516,1.25,2.5
2.0,0.8,2,7.783720613237605,1.25,2.5
2.0,0.8125,0,0.0,1.25,2.5
2.0,0.8125,1,4.042716906480079,1.25,2.5
2.0,0.8125,2,7.652809787048675,1.25,2.5
2.0,0.8250000000000002,0,0.0,1.25,2.5
2.0,0.8250000000000002,1,4.14500118361316,1.25,2.5
2.0,0.8250000000000002,2,7.523080036911186,1.25,2.5
2.0,0.8375000000000001,0,0.0,1.25,2.5
2.0,0.8375000000000001,1,4.248558845135412,1.25,2.5
2.0,0.8375000000000001,2,7.394531835579745,1.25,2.5
2.0,0.8500000000000001,0,0.0,1.25,2.5
2.0,0.8500000000000001,1,4.353239383726568,1.25,2.5
2.0,0.8500000000000001,2,7.267184786235223,1.25,2.5
2.0,0.8625,0,0.0,1.25,2.5
2.0,0.8625,1,4.458881157999755,1.25,2.5
2.0,0.8625,2,7.14108325925578,1.25,2.5
2.0,0.875,0,0.0,1.25,2.5
2.0,0.875,1,4.5653014878362725,1.25,2.5
2.0,0.875,2,7.016305358341232,1.25,2.5
2.0,0.8875000000000002,0,0.0,1.25,2.5
2.0,0.8875000000000002,1,4.672281188692271,1.25,2.5
2.0,0.8875000000000002,2,6.892977529770704,1.25,2.5
2.0,0.9000000000000001,0,0.0,1.25,2.5
2.0,0.9000000000000001,1,4.779539227706314,1.25,2.5
2.0,0.9000000000000001,2,6.771299133474109,1.25,2.5
2.0,0.9125000000000001,0,0.0,1.25,2.5
2.0,0.9125000000000001,1,4.88668905896505,1.25,2.5
2.0,0.9125000000000001,2,6.651585418248505,1.25,2.5
2.0,0.925,0,0.0,1.25,2.5
2.0,0.925,1,4.993159286090614,1.25,2.5
2.0,0.925,2,6.534346251463616,1.25,2.5
2.0,0.9375,0,0.0,1.25,2.5
2.0,0.9375,1,5.098041109223981,1.25,2.5
2.0,0.9375,2,6.420438143997645,1.25,2.5
2.0,0.9500000000000002,0,0.0,1.25,2.5
2.0,0.9500000000000002,1,5.199777632151411,1.25,2.5
2.0,0.9500000000000002,2,6.311374492144929,1.25,2.5
2.0,0.9625000000000001,0,0.0,1.25,2.5
