frequency_mhz,intensity
-31.8,0.516644638910852
-31.75,0.5003227959068056
-31.7,0.48409609984665225
-31.65,0.46798921202715604
-31.599999999999998,0.4520256738275662
-31.55,0.43622786352408266
-31.5,0.4206169595581056
-31.45,0.4052129102226779
-31.4,0.3900344096945436
-31.349999999999998,0.37509888030411226
-31.3,0.3604224609024338
-31.25,0.34602000115328224
-31.2,0.3319050615498138
-31.15,0.31808991892902644
-31.099999999999998,0.3045855772336549
-31.05,0.2914017832501431
-31.0,0.2785470470330511
-30.95,0.26602866671073433
-30.9,0.2538527573542856
-30.849999999999998,0.24202428358166572
-30.799999999999997,0.23054709556150635
-30.75,0.21942396807625997
-30.7,0.2086566423020768
-30.65,0.19824586996294574
-30.599999999999998,0.18819145951905764
-30.549999999999997,0.1784923240540134
-30.5,0.16914653053214965
-30.45,0.16015135010581996
-30.4,0.15150330916276614
-30.349999999999998,0.1431982408155352
-30.299999999999997,0.13523133654815642
-30.25,0.1275971977497259
-30.2,0.12028988688002847
-30.15,0.1133029780286936
-30.099999999999998,0.10662960664639795
-30.049999999999997,0.10026251824421623
-30.0,0.09419411587513363
-29.95,0.0884165062298654
-29.9,0.0829215441973212
-29.849999999999998,0.07770087575813697
-29.799999999999997,0.07274597909758625
-29.75,0.06804820384172364
-29.7,0.06359880833769345
-29.65,0.059388994915686416
-29.599999999999998,0.05540994308590798
-29.549999999999997,0.05165284063910988
-29.5,0.04810891263361626
-29.45,0.044769448265320796
-29.4,0.04162582562979033
-29.349999999999998,0.03866953439733103
-29.299999999999997,0.03589219643266223
-29.25,0.033285584400654954
-29.2,0.030841638408436404
-29.15,0.028552480742043737
-29.099999999999998,0.026410428762722152
-29.049999999999997,0.024408006033949093
-29.0,0.022537951755324404
-28.95,0.020793228583645122
-28.9,0.019167028924811157
-28.849999999999998,0.01765277978271957
-28.799999999999997,0.016244146253056615
-28.75,0.014935033750919797
-28.7,0.013719589061555406
-28.65,0.012592200303230022
-28.599999999999998,0.01154749589041135
-28.549999999999997,0.010580342584079782
-28.5,0.009685842714165676
-28.45,0.00885933065687148
-28.4,0.00809636864703747
-28.349999999999998,0.007392742002795234
-28.299999999999997,0.006744453836576902
-28.25,0.006147719323150402
-28.2,0.005598959591780113
-28.15,0.00509479530590995
-28.099999999999998,0.004632039989967358
-28.049999999999997,0.004207693159034992
-28.0,0.0038189333032586713
-27.95,0.0034631107749920793
-27.9,0.003137740622845708
-27.849999999999998,0.002840495413034854
-27.799999999999997,0.002569198074733839
-27.75,0.002321814802557533
-27.7,0.002096448045825681
-27.65,0.00189132961093453
-27.599999999999998,0.0017048138999744534
-27.549999999999997,0.0015353713057031455
-27.5,0.001381581780117001
-27.45,0.001242128591164861
-27.4,0.0011157922796215618
-27.349999999999998,0.0010014448257846362
-27.299999999999997,0.0008980440334773945
-27.25,0.0008046281368327248
-27.2,0.0007203106334924042
-27.15,0.0006442753461828177
-27.099999999999998,0.000575771713114242
-27.049999999999997,0.0005141103062927195
-27.0,0.0004586585756239072
-26.95,0.0004088368156208134
-26.9,0.0003641143505946317
-26.849999999999998,0.0003240059334023004
-26.799999999999997,0.00028806835213833585
-26.75,0.0002558972385837711
-26.7,0.00022712407175385724
-26.65,0.00020141336951052884
-26.599999999999998,0.00017846006091763516
-26.549999999999997,0.0001579870318090251
-26.5,0.0001397428359041223
-26.45,0.00012349956373550213
-26.4,0.00010905086164126557
-26.349999999999998,9.621009311498405e-05
-26.299999999999997,8.480863489153006e-05
-26.25,7.469430027218129e-05
-26.2,6.572988235147827e-05
-26.15,5.7791809996305403e-05
-26.099999999999998,5.076890963965948e-05
-26.049999999999997,4.456126618327026e-05
-26.0,3.907917655047713e-05
-25.95,3.424218968994473e-05
-25.9,2.997822709854495e-05
-25.849999999999998,2.6222778205031974e-05
-25.799999999999997,2.291816523235475e-05
-25.75,2.0012872433175918e-05
-25.7,1.746093486835058e-05
-25.65,1.5221382169937517e-05
-25.599999999999998,1.3257732997221895e-05
