case,epsilon,frequency,amplitude
interacting,0.100000,0.228571428571,0.002854659363
interacting,0.100000,0.235714285714,0.002913488881
interacting,0.100000,0.242857142857,0.002976413567
interacting,0.100000,0.250000000000,0.003043754031
interacting,0.100000,0.257142857143,0.003115870937
interacting,0.100000,0.264285714286,0.003193299267
interacting,0.100000,0.271428571429,0.003276633317
interacting,0.100000,0.278571428571,0.003366083546
interacting,0.100000,0.285714285714,0.003462813748
interacting,0.100000,0.292857142857,0.003567156435
interacting,0.100000,0.300000000000,0.003680386838
interacting,0.100000,0.307142857143,0.003803522872
interacting,0.100000,0.314285714286,0.003937806266
interacting,0.100000,0.321428571429,0.004085552346
interacting,0.100000,0.328571428571,0.004245098368
interacting,0.100000,0.335714285714,0.004424230004
interacting,0.100000,0.342857142857,0.004635563982
interacting,0.100000,0.350000000000,0.004872618552
interacting,0.100000,0.357142857143,0.005093273944
interacting,0.100000,0.364285714286,0.005386512488
interacting,0.100000,0.371428571429,0.005597215686
interacting,0.100000,0.378571428571,0.005562029678
interacting,0.100000,0.385714285714,0.006192200447
interacting,0.100000,0.392857142857,0.006810456516
interacting,0.100000,0.400000000000,0.006823048785
interacting,0.100000,0.407142857143,0.007334310201
interacting,0.100000,0.414285714286,0.009462299878
interacting,0.100000,0.421428571429,0.007867112798
interacting,0.100000,0.428571428571,0.007647944665
interacting,0.100000,0.435714285714,0.012760312991
interacting,0.100000,0.442857142857,0.010025001633
interacting,0.100000,0.450000000000,0.019078145855
interacting,0.100000,0.457142857143,0.017595653716
interacting,0.100000,0.464285714286,0.025570265666
interacting,0.100000,0.471428571429,0.003108480650
interacting,0.100000,0.478571428571,0.029106199921
interacting,0.100000,0.485714285714,0.026538262038
interacting,0.100000,0.492857142857,0.035047600612
interacting,0.100000,0.500000000000,1.000000000000
interacting,0.140000,0.207142857143,0.000347399814
interacting,0.140000,0.214285714286,0.000355377642
interacting,0.140000,0.221428571429,0.000363673826
interacting,0.140000,0.228571428571,0.000372736962
interacting,0.140000,0.235714285714,0.000382682961
interacting,0.140000,0.242857142857,0.000393198122
interacting,0.140000,0.250000000000,0.000404430311
interacting,0.140000,0.257142857143,0.000417489191
interacting,0.140000,0.264285714286,0.000431964626
interacting,0.140000,0.271428571429,0.000446429214
interacting,0.140000,0.278571428571,0.000463260107
interacting,0.140000,0.285714285714,0.000481832989
interacting,0.140000,0.292857142857,0.000500515825
interacting,0.140000,0.300000000000,0.000526941778
interacting,0.140000,0.307142857143,0.000550812438
interacting,0.140000,0.314285714286,0.000581943587
interacting,0.140000,0.321428571429,0.000638601318
interacting,0.140000,0.328571428571,0.000684418664
interacting,0.140000,0.335714285714,0.000756636729
interacting,0.140000,0.342857142857,0.000899478342
interacting,0.140000,0.350000000000,0.000892673993
interacting,0.140000,0.357142857143,0.000966493424
interacting,0.140000,0.364285714286,0.000952217968
interacting,0.140000,0.371428571429,0.001259814647
interacting,0.140000,0.378571428571,0.002627092046
interacting,0.140000,0.385714285714,0.000310764103
interacting,0.140000,0.392857142857,0.003035888043
interacting,0.140000,0.400000000000,0.002810959581
interacting,0.140000,0.407142857143,0.000922267210
interacting,0.140000,0.414285714286,0.001352767738
interacting,0.140000,0.421428571429,0.004728378720
interacting,0.140000,0.428571428571,0.013658946021
interacting,0.140000,0.435714285714,0.015530229183
interacting,0.140000,0.442857142857,0.017506318094
interacting,0.140000,0.450000000000,0.005852394539
interacting,0.140000,0.457142857143,0.014018316372
interacting,0.140000,0.464285714286,0.021832945587
interacting,0.140000,0.471428571429,0.016218276966
interacting,0.140000,0.478571428571,0.025642662698
interacting,0.140000,0.485714285714,0.030574611893
interacting,0.140000,0.492857142857,0.009848850850
interacting,0.140000,0.500000000000,1.000000000000
