case,L,samples,epsilon,frequency,amplitude
interacting,14,16,0.140000000000,0.278571428571,0.002330074221
interacting,14,16,0.140000000000,0.285714285714,0.002395436130
interacting,14,16,0.140000000000,0.292857142857,0.002467351688
interacting,14,16,0.140000000000,0.300000000000,0.002545561900
interacting,14,16,0.140000000000,0.307142857143,0.002627251307
interacting,14,16,0.140000000000,0.314285714286,0.002713107073
interacting,14,16,0.140000000000,0.321428571429,0.002817898825
interacting,14,16,0.140000000000,0.328571428571,0.003021207833
interacting,14,16,0.140000000000,0.335714285714,0.003091024862
interacting,14,16,0.140000000000,0.342857142857,0.003167462619
interacting,14,16,0.140000000000,0.350000000000,0.003235082743
interacting,14,16,0.140000000000,0.357142857143,0.003591404819
interacting,14,16,0.140000000000,0.364285714286,0.003774328964
interacting,14,16,0.140000000000,0.371428571429,0.004289254769
interacting,14,16,0.140000000000,0.378571428571,0.004715567462
interacting,14,16,0.140000000000,0.385714285714,0.004227464366
interacting,14,16,0.140000000000,0.392857142857,0.004381720780
interacting,14,16,0.140000000000,0.400000000000,0.004949203874
interacting,14,16,0.140000000000,0.407142857143,0.002313160508
interacting,14,16,0.140000000000,0.414285714286,0.003758037374
interacting,14,16,0.140000000000,0.421428571429,0.007478618560
interacting,14,16,0.140000000000,0.428571428571,0.003040762987
interacting,14,16,0.140000000000,0.435714285714,0.005865589705
interacting,14,16,0.140000000000,0.442857142857,0.006663582238
interacting,14,16,0.140000000000,0.450000000000,0.008783296190
interacting,14,16,0.140000000000,0.457142857143,0.002238061717
interacting,14,16,0.140000000000,0.464285714286,0.008178043167
interacting,14,16,0.140000000000,0.471428571429,0.019870255202
interacting,14,16,0.140000000000,0.478571428571,0.010284584421
interacting,14,16,0.140000000000,0.485714285714,0.006701132232
interacting,14,16,0.140000000000,0.492857142857,0.018302119952
interacting,14,16,0.140000000000,0.500000000000,1.000000000000
