convention,hopping_pi,delta_difference_pi,sigma_z_coefficient_pi,gap_zero_pi,gap_pi_pi,coarse_winding_zero_raw,coarse_winding_pi_raw,winding_zero_raw,winding_pi_raw,chern_upper_raw,winding_zero,winding_pi,chern_upper,quantization_residual,bulk_edge_relation_residual,winding_momentum_points_used,winding_time_points_used,adaptive_refinement_used,status
onsite_difference,1.7500000000000002,0.2,0.1,0.02531023519734352,0.41279401821737055,0.1707949575970288,0.8289324000599073,0.1707949575970288,0.8289324000599073,1.0,0,1,1,0.17106759994009268,0,11,23,False,gapped_quantized
onsite_difference,1.8,0.2,0.1,0.022688275162300164,0.4515244976158542,0.19090448811825375,0.8262678199466889,0.19090448811825375,0.8262678199466889,1.0000000000000002,0,1,1,0.19090448811825375,0,11,23,False,gapped_quantized
onsite_difference,1.85,0.2,0.1,0.020235680954588924,0.49040963559774403,0.21515282312037098,0.822940802478598,0.21515282312037098,0.822940802478598,1.0,0,1,1,0.21515282312037098,0,11,23,False,gapped_quantized
onsite_difference,1.9000000000000001,0.2,0.1,0.018003643271865752,0.5294133051111021,0.2449880641193873,0.8191471118130604,0.2581369616171703,0.9501166812682545,1.0,0,1,1,0.2581369616171703,0,21,49,True,gapped_quantized
onsite_difference,1.9500000000000002,0.2,0.1,0.01605885712224011,0.5685083837867687,0.28221071671516523,0.8150125547265252,0.3108325874771026,0.9491231346155375,1.0,0,1,1,0.3108325874771026,0,21,49,True,gap_closing_neighborhood
onsite_difference,2.0,0.2,0.1,0.014483909761065367,0.6076736232388388,0.32852158644272733,0.8106125073674878,0.3781488389064348,0.9480441152026607,1.0,0,1,1,0.3781488389064348,0,21,49,True,gap_closing_neighborhood
onsite_difference,2.05,0.2,0.1,0.013368634147728275,0.6468914478640172,0.3843358211915263,0.8059849017508413,0.461770262227258,0.9468901891766534,1.0000000000000002,0,1,1,0.461770262227258,0,21,49,True,gap_closing_neighborhood
onsite_difference,2.1,0.2,0.1,0.012785846376257036,0.6861461767933064,0.44720583612336484,0.8011393235772662,0.557856030769261,0.9456640733830829,3.533949646070574e-17,1,1,0,0.44214396923073895,0,21,49,True,gap_closing_neighborhood
onsite_difference,2.15,0.2,0.1,0.012756805773039058,0.725422216930329,0.511630198612892,0.7960636637057955,0.655563110114348,0.9443629579929804,-7.067899292141149e-17,1,1,0,0.344436889885652,0,21,49,True,gap_closing_neighborhood
onsite_difference,2.2,0.2,0.1,0.013232246228843184,0.7647015814185907,0.5716098851983582,0.7907292070222454,0.7430242920109542,0.9429801908233207,-3.533949646070574e-17,1,1,0,0.2569757079890458,0,21,49,True,gapped_quantized
onsite_difference,2.25,0.2,0.1,0.014109560934619604,0.803959338139925,0.6237240498663766,0.7850948012013956,0.814054615963886,0.9415065337440026,-1.766974823035287e-17,1,1,0,0.18594538403611405,0,21,49,True,gapped_quantized
onsite_difference,2.3,0.2,0.1,0.015270424674877055,0.8431530253089246,0.6675980391880763,0.7791106457544832,0.8673732545622241,0.9399311627223881,-1.766974823035287e-17,1,1,0,0.13262674543777586,0,21,49,True,gapped_quantized
onsite_difference,2.35,0.2,0.1,0.016609389121222402,0.8821918096713892,0.7041276108488413,0.7727221759320553,0.9032166722480528,0.9382425665213003,3.533949646070574e-17,1,1,0,0.0967833277519472,0,21,49,True,gapped_quantized
onsite_difference,2.4,0.2,0.1,0.01804412285238128,0.9208162943665089,0.7332274746333909,0.7658744275681989,0.9233025444658386,0.9364294813127315,8.834874115176436e-18,1,1,0,0.07669745553416141,0,21,49,True,gapped_quantized
onsite_difference,2.4499999999999997,0.2,0.1,0.019514209814909204,0.9438359848169519,0.7529271541146252,0.7585171298543268,0.9324214398089773,0.9344819671779846,8.834874115176436e-18,1,1,0,0.06757856019102271,0,21,49,True,gapped_quantized
onsite_difference,2.5,0.2,0.1,0.020130706302851357,0.9453641252901026,0.7481752353907785,0.7506105799656192,0.931588218451081,0.9323926836445815,-3.533949646070574e-17,1,1,0,0.06841178154891903,0,21,49,True,gapped_quantized
