radius,site_count,edge_coordinate,x_over_L,probability_over_max,gaussian_fit
40,3281,22.0,0.3160760647040808,1.9871447668095824e-07,3.359510776600024e-05
40,3281,24.0,0.3410760647040808,2.4237994213922853e-07,6.157498356053496e-06
40,3281,26.0,0.3660760647040808,2.993195307349505e-08,9.918980445114784e-07
40,3281,28.0,0.3910760647040808,6.866984455497506e-10,1.404314005168098e-07
40,3281,30.0,0.41607606470408076,5.6932219942947194e-11,1.7474142924429998e-08
40,3281,32.0,0.44107606470408073,6.9316830124448955e-12,1.911005792972033e-09
40,3281,34.0,0.46607606470408075,7.560609558861498e-14,1.8368030296849696e-10
40,3281,36.0,0.4910760647040807,6.443554150229845e-15,1.551663820720714e-11
40,3281,38.0,0.5160760647040807,4.5165958113006e-17,1.1520389018989882e-12
40,3281,40.0,0.5410760647040808,1.3464399659302068e-18,7.517459871836703e-14
42,3613,-42.0,-0.44073988370902406,1.0381261709276672e-30,1.8577712189870389e-10
42,3613,-40.0,-0.4169303598995003,1.468537835454963e-09,1.9743403029355413e-09
42,3613,-38.0,-0.39312083608997644,2.2283709230015932e-08,1.8401913259698472e-08
42,3613,-36.0,-0.36931131228045266,2.2391304473453096e-07,1.504233079891161e-07
42,3613,-34.0,-0.34550178847092883,1.729068819483243e-06,1.0783965221055162e-06
42,3613,-32.0,-0.32169226466140505,1.0527151364481536e-05,6.780364004685796e-06
42,3613,-30.0,-0.2978827408518812,5.298755910984104e-05,3.738855909428272e-05
42,3613,-28.0,-0.27407321704235743,0.00022694404626637902,0.0001808154908415382
42,3613,-26.0,-0.2502636932328336,0.0008413932687010517,0.0007669088130781076
42,3613,-24.0,-0.2264541694233098,0.0027377897463710874,0.0028527453761328
42,3613,-22.0,-0.20264464561378598,0.007898910600670462,0.009306652095574214
42,3613,-20.0,-0.1788351218042622,0.020357797201053292,0.02662779078563142
42,3613,-18.0,-0.1550255979947384,0.04713394930517597,0.06681715507856757
42,3613,-16.0,-0.13121607418521458,0.09842685105297093,0.14704559277319054
42,3613,-14.0,-0.10740655037569076,0.1858569067480865,0.2838096983227027
42,3613,-12.0,-0.08359702656616695,0.31775315738884075,0.48041177031995896
42,3613,-10.0,-0.05978750275664314,0.49188988232993924,0.7131998351736272
42,3613,-8.0,-0.035977978947119335,0.688623694933789,0.9285814777009912
42,3613,-6.0,-0.012168455137595527,0.86961389102403,1.0603274060790306
42,3613,-4.0,0.011641068671928283,0.9866383034924738,1.0618694941373745
42,3613,-2.0,0.03545059248145209,1.0,0.9326388225553321
42,3613,0.0,0.059260116290975905,0.8984982692346577,0.7184011561903103
42,3613,2.0,0.0830696401004997,0.7084873379806058,0.48532397183024595
42,3613,4.0,0.10687916391002353,0.48390842128224815,0.28754621235179284
42,3613,6.0,0.13068868771954734,0.28149334096322626,0.1494151885095576
42,3613,8.0,0.15449821152907114,0.13642915237307873,0.06809152023082692
42,3613,10.0,0.17830773533859495,0.05350354254211997,0.027214634216442584
42,3613,12.0,0.2021172591481188,0.016294953270599433,0.009539446135226755
42,3613,14.0,0.2259267829576426,0.0036165208296384094,0.002932614694220589
42,3613,16.0,0.2497363067671664,0.000520805048702131,0.000790675059943477
42,3613,18.0,0.2735458305766902,3.6642408472852716e-05,0.0001869615335271531
42,3613,20.0,0.297355354386214,4.803816300831024e-07,3.877195238539424e-05
42,3613,22.0,0.3211648781957378,4.389874679639988e-07,7.0517071371874184e-06
42,3613,24.0,0.34497440200526164,1.332253211304504e-07,1.1248174668837299e-06
42,3613,26.0,0.3687839258147855,9.333422045512217e-09,1.5735517259556063e-07
42,3613,28.0,0.39259344962430925,4.558008273764884e-11,1.9305950271727996e-08
42,3613,30.0,0.4164029734338331,4.192714578677301e-11,2.077363661250407e-09
42,3613,32.0,0.44021249724335687,3.724116210236181e-12,1.9604016760015025e-10
42,3613,34.0,0.4640220210528807,3.064874323785647e-14,1.6225152503740735e-11
42,3613,36.0,0.4878315448624045,6.629310011737493e-15,1.1777244669778846e-12
42,3613,38.0,0.5116410686719283,7.01472765077845e-17,7.497384692127733e-14
42,3613,40.0,0.5354505924814521,2.880513353998366e-18,4.185882953851257e-15
42,3613,42.0,0.5592601162909759,8.838174818795378e-36,2.0496303969367634e-16
45,4141,-45.0,-0.4385207978509482,2.8249755269489783e-11,6.076049606958288e-11
45,4141,-43.0,-0.41629857562872596,2.68498478317232e-10,6.223816401112537e-10
45,4141,-41.0,-0.39407635340650377,4.977408948040426e-09,5.648808805201926e-09
45,4141,-39.0,-0.3718541311842815,5.661807360316172e-08,4.5427791001610975e-08
45,4141,-37.0,-0.3496319089620593,4.6175058140808804e-07,3.237061895603055e-07
45,4141,-35.0,-0.3274096867398371,3.0126279999230645e-06,2.0438312209564137e-06
45,4141,-33.0,-0.30518746451761486,1.6281065584115848e-05,1.143414500035703e-05
45,4141,-31.0,-0.28296524229539266,7.474306882967008e-05,5.66796294837096e-05
45,4141,-29.0,-0.2607430200731704,0.0002973023946529332,0.0002489516165792544
45,4141,-27.0,-0.2385207978509482,0.0010385178290750207,0.0009688745312481836
45,4141,-25.0,-0.21629857562872598,0.0032185250673986174,0.003341063806564598
45,4141,-23.0,-0.19407635340650375,0.008920093452025987,0.010208610654230049
45,4141,-21.0,-0.17185413118428153,0.022239796119171058,0.027638416192406944
45,4141,-19.0,-0.1496319089620593,0.050103157249921246,0.06630164519423583
45,4141,-17.0,-0.1274096867398371,0.10231581763821825,0.14092891183760134
45,4141,-15.0,-0.10518746451761488,0.18977004257870395,0.2654242097964338
45,4141,-13.0,-0.08296524229539264,0.31997719373376204,0.4429407212239091
45,4141,-11.0,-0.060743020073170416,0.4904158772434994,0.6549608254905561
45,4141,-9.0,-0.038520797850948196,0.6824160956644506,0.8581232757588909
45,4141,-7.0,-0.016298575628725973,0.8601460495591348,0.9962049148988785
45,4141,-5.0,0.005923646593496251,0.9785899822452422,1.0247367677431407
45,4141,-3.0,0.028145868815718473,1.0,0.9339865001139754
45,4141,-1.0,0.050368091037940696,0.9118766573617122,0.7542816106698279
45,4141,1.0,0.07259031326016292,0.7357716522026216,0.5397480493869686
45,4141,3.0,0.09481253548238514,0.5196792297375606,0.34222622294976246
