delta,radius,site_count,inverse_boundary_length,realization,seed,probe_index,real_E,imag_E,finite_potential,geometry_potential,amoeba_potential,absolute_difference
0.0,34,2381,0.029411764705882353,0,1018994742,13,0.07999999999999999,0.01999999999999999,0.08961494595574068,0.01381153579883148,0.3102205615316422,0.0758034101569092
0.0,34,2381,0.029411764705882353,0,1018994742,14,0.16,0.01999999999999999,0.09849925056028055,0.025533102161761127,0.3105303397097842,0.07296614839851942
0.0,34,2381,0.029411764705882353,0,1018994742,15,-0.16,0.09999999999999998,0.1162313734641536,0.047333933742356823,0.3115241219099743,0.06889743972179678
0.0,34,2381,0.029411764705882353,0,1018994742,16,-0.08,0.09999999999999998,0.10980865152627671,0.047261813482988746,0.3102874853590251,0.06254683804328796
0.0,34,2381,0.029411764705882353,0,1018994742,17,0.0,0.09999999999999998,0.10376777918795146,0.0472378085554786,0.310321646783417,0.056529970632472865
0.0,34,2381,0.029411764705882353,0,1018994742,18,0.07999999999999999,0.09999999999999998,0.10980865152629905,0.04726181348298877,0.31068284921704975,0.0625468380433103
0.0,34,2381,0.029411764705882353,0,1018994742,19,0.16,0.09999999999999998,0.1162313734641536,0.04733393374235685,0.3115241219099534,0.06889743972179675
0.0,34,2381,0.029411764705882353,0,1018994742,20,-0.16,0.18,0.13825196373569276,0.08515026247053452,0.31522304919731525,0.053101701265158244
0.0,34,2381,0.029411764705882353,0,1018994742,21,-0.08,0.18,0.1347943230294241,0.08502077710574574,0.31434829377432116,0.04977354592367836
0.0,34,2381,0.029411764705882353,0,1018994742,22,0.0,0.18,0.13239150937857427,0.08497767931497673,0.31454678782337747,0.04741383006359755
0.0,34,2381,0.029411764705882353,0,1018994742,23,0.07999999999999999,0.18,0.13479432302944444,0.08502077710574574,0.3143482937743255,0.0497735459236987
0.0,34,2381,0.029411764705882353,0,1018994742,24,0.16,0.18,0.13825196373569276,0.0851502624705345,0.31522304919731536,0.05310170126515826
0.0,38,2965,0.02631578947368421,0,2804983991,0,-0.16,-0.14,0.12959072907561528,0.06625056070992372,0.31301879122762066,0.06334016836569156
0.0,38,2965,0.02631578947368421,0,2804983991,1,-0.08,-0.14,0.12540747232602195,0.06614970249029017,0.3121849580039453,0.05925776983573178
0.0,38,2965,0.02631578947368421,0,2804983991,2,0.0,-0.14,0.12306951060853973,0.06611613254671064,0.312906981203851,0.05695337806182908
0.0,38,2965,0.02631578947368421,0,2804983991,3,0.07999999999999999,-0.14,0.12540747232602764,0.06614970249029024,0.31218338365071446,0.0592577698357374
0.0,38,2965,0.02631578947368421,0,2804983991,4,0.16,-0.14,0.12959072907561528,0.06625056070992372,0.31301879122765136,0.06334016836569156
0.0,38,2965,0.02631578947368421,0,2804983991,5,-0.16,-0.06000000000000001,0.10951346900372579,0.03149805697907505,0.3110250093502154,0.07801541202465073
0.0,38,2965,0.02631578947368421,0,2804983991,6,-0.08,-0.06000000000000001,0.10209311927237556,0.028361901098260117,0.31018502348809524,0.07373121817411545
0.0,38,2965,0.02631578947368421,0,2804983991,7,0.0,-0.06000000000000001,0.09154510552457323,0.028347487609051127,0.3108631341486675,0.06319761791552211
0.0,38,2965,0.02631578947368421,0,2804983991,8,0.07999999999999999,-0.06000000000000001,0.10209311927232274,0.028361901098260114,0.3100553111750942,0.07373121817406263
