geometry,real_energy,imaginary_energy
square,-0.06811723384090529,18.368135999059795
square,-0.06316117759332152,18.37930823018646
square,-0.042453564808427276,-17.94248180685821
square,-0.21657988653287527,18.057380597365608
square,-0.06992575169478696,18.322667818824854
square,-0.07171158927066956,18.369046155733418
square,0.012810082679788318,18.007260328399823
square,-0.07003183205753687,18.383618980146863
square,-0.07003183205061823,-18.383618980182607
square,-0.13877107469785474,-18.16044584582584
square,-0.09768106590581598,-18.125216378923753
square,-0.06924711645304887,-18.270670639178647
square,-0.06066750758501262,-18.133881198768613
square,-0.04211388536159621,-18.123363862872722
square,-0.07295634881474926,-18.28585933804974
square,-0.08588565349019488,-17.945448416482876
square,-0.06921890091771349,-18.20307969944665
square,-0.06720109784084696,-18.01239784076076
square,-0.06788501291826372,-18.078848078736335
square,-0.0700359110963256,-18.38361120770994
square,-0.06783987060813434,-18.07816710181905
square,-0.15308943508184394,18.013403748171722
square,-0.0029403242063950714,18.154346623778093
square,-0.06480490513108692,17.874063132262297
square,-0.06938030535713258,18.318390601392558
square,-0.07003591093344672,18.383611207858635
square,-0.0678886839655102,17.87362563871789
square,-0.072956349021903,18.285859337813662
square,-0.06934132427972879,18.270584946177078
square,-0.06924711642536158,18.270670639258
square,-0.1387710746906615,18.16044584579214
square,-0.04824449737839254,17.93368560062955
square,-0.08634151193188667,17.933815630171402
square,-0.04245356413390453,17.942481806467924
square,-0.0976810658171049,18.12521637892507
square,-0.06764558617820034,-18.012425986128846
square,-0.06851193961234392,-18.20540871459477
square,-0.06819518035509901,-18.17593015120503
square,-0.0667132391872994,-17.97147291616724
square,-0.07670269762638092,-17.970243449697513
square,-0.060667507434645065,18.13388119913794
square,-0.042113885414882694,18.123363862983602
square,-0.06788501281337089,18.078848078879822
square,-0.06921890062827346,18.203079699310997
square,-0.06851193961229286,18.205408714520615
square,-0.06825536368971494,-18.17573770705313
square,-0.07693606298738238,-18.132469142563846
square,-0.06695032759740313,-17.98982935969952
square,-0.06668210864532802,-17.971438855098736
square,-0.06854455749039447,-18.19305063351963
square,-0.06699051379661784,-17.989916661944292
square,-0.06854176408855057,-18.193049204351812
square,-0.08588565385445057,17.945448415848265
square,-0.0681951804685651,18.175930151399882
square,-0.0678398705296666,18.078167101763796
square,-0.06720109790502654,18.012397840824843
square,-0.06764558637756671,18.012425986276963
square,-0.06825536341226678,18.17573770720948
square,-0.07693606307919865,18.132469142633763
square,-0.06695032759525105,17.989829359698064
square,-0.07670269791950006,17.970243450461563
square,-0.06671323912307828,17.971472916109004
square,-0.06668210854771299,17.97143885510195
square,-0.06854455749307152,18.193050633530838
square,-0.0685417641755925,18.19304920428299
square,-0.06699051381069818,17.989916661888806
square,-0.8481315082631458,14.462089855521567
square,-0.040205474646007724,14.593207163754258
square,-0.7093795830736385,15.443093415509793
square,0.2860491609574174,-15.711243063480667
square,-0.053058252982523264,-15.529047196638484
square,-0.08850409683406214,-15.564043667158693
square,-0.04820877215634082,-15.626321231613389
square,-0.04796917834356814,-15.594616146936945
square,-0.04794436207925281,-15.59452340755816
square,-0.3961029302288487,15.726401133750556
square,-0.09234272281716824,15.777495647779451
square,0.25849343179940115,15.936188425487108
square,0.05492309962508962,16.04336621775991
square,-0.17445271733311538,16.05516343965509
square,0.0808308142514564,-15.820525249573922
square,0.2584934237191234,-15.936188416027704
square,-0.05087108842296256,-15.950697689487855
square,-0.007549834123570206,-15.967907792988544
square,-0.025140619183155636,16.14813440180491
square,0.0398732334365577,16.253916310018994
square,0.05492310005097791,-16.043366218525744
square,0.23160192913994282,-16.155326295273444
square,-0.10770351575805576,-16.228995788797732
square,0.039873232652328915,-16.253916310509677
square,-0.013350522247327882,-16.343778293972086
square,-0.14554110854567426,16.482614465600516
square,0.1803146314107667,16.57575216907935
square,-0.3015708855826418,16.587847418963825
square,0.36418895833854964,16.92174501000099
square,0.24187428810113665,17.640606723929032
square,-0.08483005235243816,-16.427966240716085
square,-0.14554110851069754,-16.482614465615974
square,-0.5151306274151296,-16.740567417574535
square,0.3641889652489366,-16.92174516825621
square,0.33223511595726324,17.11116120107606
square,0.24187431223967995,-17.640606693978185
square,0.15607364849287153,16.77684128532074
square,0.2710178382758283,17.470663932596118
square,0.3322350594141606,-17.111161094900833
square,-0.45571191372430814,17.123952009985942
square,0.3011345163331293,17.29412885485921
square,-0.3995909995148972,17.481761797562854
square,-0.37287678573914723,17.65090018950364
square,0.1560736429038388,-16.77684129171947
square,-0.4557119137243851,-17.123952009986283
square,0.2710177809590633,-17.470663939245956
square,0.30113458940205307,-17.29412889856777
square,-0.399590999514707,-17.481761797562474
square,-0.37287678573921873,-17.650900189503556
square,0.12038894081279096,17.736877755547283
square,-0.25514801057527026,17.745410866268998
square,-0.03224688019798856,17.818603464212885
square,0.21874091272603213,17.03104342073737
square,-0.42721693160045626,17.306089425762725
square,-0.16889711090338105,-17.857414058407613
square,-0.2551480105736541,-17.745410866267953
square,0.1325970019528532,16.97183910958401
square,-0.27595311665110345,17.579455015160057
square,0.14347367530760619,17.570197361733154
square,0.04867841812186032,17.687566807849908
square,-0.18448994390095283,17.695318544829725
