n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
24,rescue,7.742636826811269,0.9991563624231643,5
24,rescue,8.79922543569107,0.9992991050777574,5
24,rescue,10.0,0.9994371056512911,5
24,dephasing,0.001,0.04692401470487591,5
24,dephasing,0.0021544346900318843,0.0477841166469604,5
24,dephasing,0.004641588833612777,0.04962385245510552,5
24,dephasing,0.01,0.05352668021470373,5
24,dephasing,0.021544346900318832,0.061662353086881325,5
24,dephasing,0.046415888336127774,0.07801187726294107,5
24,dephasing,0.1,0.10853187704888365,5
24,dephasing,0.21544346900318823,0.15819314795685388,5
24,dephasing,0.46415888336127775,0.2230035907635358,5
24,dephasing,1.0,0.28663771190651605,5
24,dephasing,2.154434690031882,0.33359222491378865,5
24,dephasing,4.6415888336127775,0.36076439135495403,5
24,dephasing,5.274997063702617,0.3636395674013844,5
24,dephasing,5.994842503189409,0.36610696663620557,5
24,dephasing,6.812920690579611,0.3681895703644368,5
24,dephasing,7.742636826811269,0.3699086453985023,5
24,dephasing,8.79922543569107,0.3712831610721601,5
24,dephasing,10.0,0.37232923121886585,5
28,rescue,0.001,0.0586464303197069,5
28,rescue,0.0021544346900318843,0.08097645450913943,5
28,rescue,0.004641588833612777,0.12723688257315396,5
28,rescue,0.01,0.21886788989011413,5
28,rescue,0.021544346900318832,0.3838534383686044,5
28,rescue,0.046415888336127774,0.6271652457791361,5
28,rescue,0.1,0.8669874845790527,5
28,rescue,0.21544346900318823,0.978789974061352,5
28,rescue,0.46415888336127775,0.9958836535136537,5
28,rescue,1.0,0.9975997101261594,5
28,rescue,2.154434690031882,0.9980989920562315,5
28,rescue,4.6415888336127775,0.9985588683652896,5
28,rescue,5.274997063702617,0.9986665800164042,5
28,rescue,5.994842503189409,0.9987865073422195,5
28,rescue,6.812920690579611,0.9989178260061425,5
28,rescue,7.742636826811269,0.9990580995952157,5
28,rescue,8.79922543569107,0.9992031347777885,5
28,rescue,10.0,0.9993472051269066,5
28,dephasing,0.001,0.039495147630709215,5
28,dephasing,0.0021544346900318843,0.040238241059676175,5
28,dephasing,0.004641588833612777,0.04182801622724498,5
28,dephasing,0.01,0.04520202582475739,5
28,dephasing,0.021544346900318832,0.052241840680342676,5
28,dephasing,0.046415888336127774,0.06641698234198402,5
28,dephasing,0.1,0.0929865951521096,5
28,dephasing,0.21544346900318823,0.13656362666352412,5
28,dephasing,0.46415888336127775,0.19417462412377168,5
28,dephasing,1.0,0.2516779038169287,5
28,dephasing,2.154434690031882,0.2947932638966691,5
28,dephasing,4.6415888336127775,0.32015441528609934,5
28,dephasing,5.274997063702617,0.32288518721920445,5
28,dephasing,5.994842503189409,0.3252469922179124,5
28,dephasing,6.812920690579611,0.327260922967341,5
28,dephasing,7.742636826811269,0.3289467467471064,5
28,dephasing,8.79922543569107,0.3303224469180633,5
28,dephasing,10.0,0.33140376104326963,5
32,rescue,0.001,0.05341818109843351,5
32,rescue,0.0021544346900318843,0.07589249165609165,5
32,rescue,0.004641588833612777,0.12245045015266232,5
32,rescue,0.01,0.21466489430977784,5
32,rescue,0.021544346900318832,0.3806780698207318,5
32,rescue,0.046415888336127774,0.6254327434190643,5
32,rescue,0.1,0.8665227076907568,5
32,rescue,0.21544346900318823,0.9787574122199082,5
32,rescue,0.46415888336127775,0.9958589830949881,5
32,rescue,1.0,0.9975654868025996,5
32,rescue,2.154434690031882,0.9980541451601468,5
32,rescue,4.6415888336127775,0.9984875516421521,5
32,rescue,5.274997063702617,0.9985895001446584,5
32,rescue,5.994842503189409,0.9987041117374258,5
32,rescue,6.812920690579611,0.9988312468106703,5
32,rescue,7.742636826811269,0.9989692762483156,5
32,rescue,8.79922543569107,0.9991148009782014,5
32,rescue,10.0,0.9992626643919363,5
32,dephasing,0.001,0.03406342020711446,5
32,dephasing,0.0021544346900318843,0.03472007554968959,5
32,dephasing,0.004641588833612777,0.03612500150545261,5
32,dephasing,0.01,0.03910707630205905,5
32,dephasing,0.021544346900318832,0.045331018024433775,5
32,dephasing,0.046415888336127774,0.0578731230720804,5
32,dephasing,0.1,0.0814294980995589,5
32,dephasing,0.21544346900318823,0.12024816009585419,5
32,dephasing,0.46415888336127775,0.17201224781047736,5
32,dephasing,1.0,0.22427063071784836,5
32,dephasing,2.154434690031882,0.2639333682389765,5
32,dephasing,4.6415888336127775,0.28759491479492594,5
32,dephasing,5.274997063702617,0.2901790431872171,5
32,dephasing,5.994842503189409,0.29242754304911317,5
32,dephasing,6.812920690579611,0.29435974282309263,5
32,dephasing,7.742636826811269,0.29599392527957064,5
32,dephasing,8.79922543569107,0.29734695297116437,5
32,dephasing,10.0,0.2984338828162748,5
48,rescue,0.001,0.04194268167593287,5
48,rescue,0.0021544346900318843,0.06475966270171508,5
48,rescue,0.004641588833612777,0.1120227843803701,5
48,rescue,0.01,0.20561378896950888,5
48,rescue,0.021544346900318832,0.37402724931277886,5
48,rescue,0.046415888336127774,0.6220735761226541,5
48,rescue,0.1,0.8658818786861439,5
48,rescue,0.21544346900318823,0.9788475287827916,5
48,rescue,0.46415888336127775,0.9958694652988738,5
48,rescue,1.0,0.9975367078026848,5
48,rescue,2.154434690031882,0.9979928434742437,5
48,rescue,4.6415888336127775,0.9983432179298433,5
48,rescue,5.274997063702617,0.998423809385218,5
48,rescue,5.994842503189409,0.998516115073342,5
48,rescue,6.812920690579611,0.9986215422910629,5
48,rescue,7.742636826811269,0.9987406531627844,5
48,rescue,8.79922543569107,0.9988727314131565,5
48,rescue,10.0,0.9990153792310492,5
48,dephasing,0.001,0.022098362144300637,5
48,dephasing,0.0026101572156825357,0.022717934611561946,5
48,dephasing,0.006812920690579615,0.024318256315296344,5
48,dephasing,0.01778279410038923,0.028383697610575048,5
48,dephasing,0.046415888336127795,0.03828772275616274,5
48,dephasing,0.12115276586285889,0.06011253241622287,5
48,dephasing,0.31622776601683794,0.09897532125021627,5
48,dephasing,0.825404185268019,0.14726652414790783,5
48,dephasing,2.1544346900318843,0.18605323072408847,5
48,dephasing,5.623413251903491,0.20732014630600512,5
48,dephasing,7.742636826811272,0.21114538050703544,5
48,dephasing,10.660504989847926,0.2137065492082817,5
48,dephasing,14.677992676220706,0.21518037776970797,5
48,dephasing,20.20949938191079,0.21568510802386837,5
48,dephasing,27.82559402207127,0.21526641815578212,5
48,dephasing,38.31186849557293,0.21389388975572335,5
48,dephasing,100.0,0.20268954814626614,5
64,rescue,0.001,0.03657267917303781,5
64,rescue,0.0021544346900318843,0.05954432202480368,5
