n,signal_example,mean,variance
223,0.3143181762836315,-0.00623128856825059,0.10673703350338842
224,0.06428225505048066,-0.02809326488068525,0.10988611508355191
225,-0.16156936208285777,-0.047149812308560655,0.1124748780558442
226,-0.3549036917419322,-0.058983640874790376,0.11557768299251603
227,-0.5273993966514664,-0.060191308755903554,0.1229828682013501
228,-0.6650660352510994,-0.05323084348399869,0.12991316631654434
229,-0.7207349469410474,-0.037047692681582915,0.12711647840582102
230,-0.5855509293725563,-0.014027280065394006,0.11797881768641184
231,-0.2813595145347614,0.0075330892576563535,0.1100447454375638
232,-0.032695586161172185,0.025013421176440735,0.10623815962985624
233,0.08257443030883362,0.035394516958830696,0.10310911437878588
234,0.09039156387670204,0.03604060920432352,0.10211765469987572
235,0.04424861514625327,0.030590598469659128,0.10938615749219388
236,0.027985212376500247,0.024255551621241035,0.11648738504865629
237,0.13398426076179804,0.01503450674801533,0.11524621336830024
238,0.27796691617880664,0.004018927983172207,0.1084381419496465
239,0.29632690867836176,-0.005549443858346561,0.10605727750467411
240,0.25792290330534695,-0.0139768147190095,0.10967115958511692
241,0.2552202018249608,-0.021035005712174405,0.11217029664645498
242,0.2899905511316715,-0.02910375625093092,0.11429075534678099
243,0.2734087791256893,-0.03722609154193082,0.11596107051797203
244,0.11669290698428922,-0.037917137292296746,0.11264004140111722
245,-0.07192758462856966,-0.027648586884086848,0.10506278275635456
246,-0.19406336557989695,-0.01573537997847265,0.0999859407472218
247,-0.26424392962395615,-0.009206999273076668,0.09692965197139194
248,-0.3341105471512885,-0.002931015326984614,0.09657400961929691
249,-0.4008366609795099,0.006457486845298895,0.09767656799841279
250,-0.3676609774619235,0.017709172580129398,0.09869044031758448
251,-0.16433421750078672,0.03085732227549768,0.10161171142435926
252,0.0650333417616675,0.04261946031807791,0.10579617056462283
253,0.2340123219239359,0.047244570257759605,0.10937917135294707
254,0.3420419388734537,0.04665957783852148,0.10824123638442731
255,0.3947543310337019,0.0438584479587839,0.10787033437919938
256,0.4227497984311111,0.037584584618305855,0.11251352310374202
257,0.4869618956613383,0.02495332047741954,0.1171254617271852
258,0.5031676700234885,0.0022182467214178726,0.11527006002429331
259,0.3435359024029111,-0.02327721007236903,0.10771073430803853
260,0.09884839936262421,-0.04178905986263083,0.10348892327094913
261,-0.13661255778909182,-0.05070029627008962,0.10834541110122597
262,-0.3303459654671052,-0.05466038103319709,0.1185959101043573
263,-0.4940174562834046,-0.05680471143109009,0.12658910205503926
264,-0.6361113422844836,-0.05236888132439376,0.12962919462738653
265,-0.709375578611183,-0.034906954729358126,0.12319494242898703
266,-0.6092591419747122,-0.00490327387215149,0.10955272995368998
267,-0.3166740741008537,0.021929320734118553,0.1000385169005234
268,-0.05405630649328678,0.034698219100346386,0.09596494400444218
269,0.08052914794391353,0.03434278842952668,0.09593252993242314
270,0.105319460429691,0.02849696191811635,0.09754357460220048
271,0.06617064163794412,0.02328921171616111,0.10062642947472933
272,0.04095248265780089,0.01959892005908305,0.1051903834233055
273,0.12848419674691,0.015321233189627876,0.11047968148765025
